qid	en	ja	p31_types
Q84087675	Dizionario di Storia	歴史辞典	written work
Q1374339	Draft History of Qing	清史稿	literary work
Q1342448	Engishiki	延喜式	ge and shi, written work
Q11064932	Engishiki Jinmyōchō	延喜式神名帳	literary work, religious text
Q11588824	Engishiki Jinmyōchō Studies	神名帳考証	written work
Q5674013	Hart's Rules	オックスフォード・ルール	literary work, style guide, technical standard
Q1345223	History of Yuan	元史	literary work
Q11588823	Jinmyōchō Kōshō	神名帳考證	written work
Q386073	New Book of Tang	新唐書	literary work
Q1053256	New History of Yuan	新元史	written work
Q1029706	New International Encyclopedia	新国際百科事典	literary work
Q1053542	Nihon Kiryaku	日本紀略	historical non-fiction work, literary work
Q1077029	Nihon Kōki	日本後紀	literary work
Q1052905	Nihon Montoku Tennō Jitsuroku	日本文徳天皇実録	literary work
Q1052981	Nihon Sandai Jitsuroku	日本三代実録	historical non-fiction work, literary work
Q1146980	Old Book of Tang	旧唐書	written work
Q1038639	Ruijū Kokushi	類聚国史	literary work
Q1041301	Shoku Nihon Kōki	続日本後紀	literary work
Q611399	Shoku Nihongi	続日本紀	literary work
Q19180675	Small Brockhaus and Efron Encyclopedic Dictionary	ブロックハウス・エフロン小百科事典	written work
Q8020	The Chicago Manual of Style	シカゴ・マニュアル・オブ・スタイル	style guide, written work
Q3181656	The Nuttall Encyclopædia	ナットール百科事典	literary work
Q11571092	Tokusen Jinmyōchō	特選神名牒	written work
