qid	en	ja	p31_types
Q2297	December 1	12月1日	1st, point in time with respect to recurrent timeframe
Q2544	May 1	5月1日	1st, point in time with respect to recurrent timeframe
Q2536	April 30	4月30日	30th, point in time with respect to recurrent timeframe
Q3015	November 30	11月30日	30th, point in time with respect to recurrent timeframe
Q135932838	ALA-LC romanization of Japanese	日本語のALA-LCラテン文字表記法	ALA-LC romanization, orthographic transcription, romanization of Japanese, transliteration
Q5043	Christianity	キリスト教	Abrahamic religion, major religious group
Q8002	African American Vernacular English	黒人英語	African American English, non-standard language
Q27969	Ainu	アイヌ語	Ainu, modern language, natural language
Q2840986	Southern Amami Ōshima	奄美大島南部方言	Amami Ōshima, modern language, natural language
Q2840988	Northern Amami Ōshima	北奄美大島方言	Amami Ōshima, modern language, natural language
Q3196527	Kikai	喜界島方言	Amami, Northern Ryukyuan, language, modern language
Q3530484	Tokunoshima	徳之島方言	Amami, Northern Ryukyuan, modern language, natural language
Q6144345	Southern American English	南部アメリカ英語	American English, dialect
Q1860	English	英語	Anglic, human language, language, literary language, macrolanguage, modern language, natural language, standard language
Q1346342	Anglic	アングロ語群	Anglo-Frisian, language family
Q105265074	canonical tag	正規タグ	Archive of Our Own quality, Wikibase reason for preferred rank
Q107316855	additional tag	追加タグ	Archive of Our Own tag
Q44661	New Zealand English	ニュージーランド英語	Australian and New Zealand English, dialect
Q44679	Australian English	オーストラリア英語	Australian and New Zealand English, dialect, ethnolect, natural language
Q2044560	Sylheti	シレット語	Bengali–Assamese, modern language, natural language
Q5378197	English Braille		Braille alphabet, Braille script
Q7884923	Unified English Braille	統一英語点字	Braille alphabet, Braille script
Q7985	received pronunciation	容認発音	British English, Standard English, accent
Q1553250	Scottish English	スコットランド英語	British English, dialect
Q2363292	Welsh English	ウェールズ英語	British English, dialect
Q135783850	BS 4812:1972	BS 4812:1972	British Standards, orthographic transcription
Q9288	Hebrew	ヘブライ語	Canaanite, Jewish languages, language, modern language, natural language
Q7269768	Quebec English	ケベック英語	Canadian English, dialect
Q111911970	Belizean English		Caribbean English, dialect
Q1321	Spanish	スペイン語	Castilian, West Iberian, human language, language, modern language, natural language
Q117759826	Category:Fu-sha		Category:Fuken-sha, Wikimedia category
Q48552277	Commons Institution page	コモンズ・インスティテューション・ページ	Commons namespace with file metadata, Wikimedia project, Wikimedia project page, Wikimedia template
Q1361489	Constitution Memorial Day	憲法記念日	Constitution Day, public holiday in Japan
Q14946043	Creative Commons Attribution-ShareAlike 3.0 Unported	CC BY-SA 3.0 非移植	Creative Commons license, free license, open license
Q18199165	Creative Commons Attribution-ShareAlike 4.0 International	クリエイティブ・コモンズ 表示-継承 4.0 国際	Creative Commons license, free license, open license
Q9056	Czech	チェコ語	Czech–Slovak languages, West Slavic, modern language, natural language
Q9058	Slovak	スロバキア語	Czech–Slovak languages, language, modern language
Q36206	Lak	ラク語	Dagestanian, modern language, natural language
Q96594976			Department of "Ancient and Modern Book Collection"
Q96599316			Department of "Ancient and Modern Book Collection"
Q811979	architectural structure	構造物	E25 Human-Made Feature, artificial physical structure, fixed construction, type of structure, work
Q875592	Japanese studies	日本学	East Asian studies, academic discipline, oriental studies
Q161652	Japanese people	日本人	East Asians, ethnic group
Q484464	Koreans	朝鮮民族	East Asians, ethnic group
Q6501380	Chinese people	中国人	East Asians, ethnic group, human population
Q7737	Russian	ロシア語	East Slavic, language, modern language, natural language
Q9581	Confucianism	儒教	Eastern philosophy, culture, philosophical movement, religion
Q67060607	Japan	ジャパン	English exonym, names of Japan
Q4567134	Caribbean English	英語 (カリブ)	English in the Commonwealth of Nations, dialect group
Q12738495	present perfect continuous		English tense, perfect tense, present tense
Q1068863	Hong Kong English	香港英語	English, dialect
Q1156228	South African English	南アフリカ英語	English, dialect
Q7033019	Nigerian English	ナイジェリア英語	English, dialect
Q23580217	European English	ヨーロッパ英語	English, dialect
Q603200	Jamaican English	ジャマイカ英語	English, dialects of English, modern language
Q784975	history of English	英語史	English, history, history of a language
Q3610939	Singapore English	シンガポール英語	English, language
Q17209329	Twenty-five Sacred Sites of Sugawara no Michizane	菅公聖蹟二十五拝	Enumeration of 25
Q18054963	The 25 Shrines of Rakuyo Tenmangu	洛陽天満宮二十五社順拝	Enumeration of 25
Q29051543	0 International	0 国際的	Ethnologue language status
Q115539084	Historika Wiki		Fandom wiki
Q3063249	FIPS 10-4	FIPS 10-4	Federal Information Processing Standard
Q9072	Estonian	エストニア語	Finnic, Uralic, macrolanguage, modern language, natural language
Q11123338	Senior Fourth Rank	正四位	Fourth Rank, court rank in Japan
Q11071127	Junior Fourth Rank	従四位	Fourth Rank, court rank in Japan, title of honor
Q3174312	free country	自由国家	Freedom House country rank
Q35768	Catalan Sign Language	カタルーニャ手話	French Sign Language family, language, modern language, sign language
Q5146	Portuguese	ポルトガル語	Galician–Portuguese, modern language, natural language
Q26721	West Germanic languages	西ゲルマン語群	Germanic languages, language family
Q4161006	Mino dialect	美濃弁	Gifu–Aichi, Japanese dialect
Q4161013	Hida dialect	飛騨弁	Gifu–Aichi, Japanese dialect
Q9142	Irish	アイルランド語	Goidelic, modern language, natural language
Q51199690	governor of Gifu Prefecture	岐阜県知事	Governor (Japan), position
Q9129	Greek	ギリシア語	Hellenic, Southern European language, modern language, natural language
Q11946202	butterfly	チョウ	Hexapoda, Q22708, organisms known by a particular common name
Q8641	Yiddish	イディッシュ語	High German, Jewish languages, West Germanic languages, macrolanguage, modern language, natural language
Q188	German	ドイツ語	High German, South Germanic, West Germanic languages, modern language
Q1568	Hindi	ヒンディー語	Hindustani, register
Q19771	G20	G20	Icosad, geopolitical group, intergovernmental organization, international organization
Q1139795	National Treasure of Japan	国宝	Important Cultural Property of Japan, cultural heritage, heritage designation, national treasure
Q1072875	National Archives of Japan	国立公文書館	Independent Administrative Institution, national archives
Q9089	Hinduism	ヒンドゥー教	Indian religions, culture, exonym, folk religion, lifestyle, major religious group, religion, state religion
Q748	Buddhism	仏教	Indian religions, lifestyle, major religious group, philosophical movement, religion, subject of depiction, world view
Q21200	Germanic languages	ゲルマン語派	Indo-European, language family
Q665624	Hiberno-English	アイルランド英語	Insular English, dialect, ethnolect
Q7979	British English	イギリス英語	Insular English, ethnolect, regiolect
Q652	Italian	イタリア語	Italo-Romance, Southern European language, modern language, natural language
Q10444949	Shinbutsu Reijō Junpai no Michi	神仏霊場巡拝の道	Japanese Buddhist pilgrimage, Shinto shrines by tradition, pilgrims' way
Q35601	Japanese Sign Language	日本手話	Japanese Sign Language family, sign language
Q1374325	Engi	延喜	Japanese era name
Q262529	Japanese missions to Tang China	遣唐使	Japanese missions to Imperial China, diplomatic mission
Q4212085	kanazukai	仮名遣い	Japanese orthography
Q1142255	Supreme Court of Japan	最高裁判所	Japanese state institution, supreme court
Q187659	kana	仮名	Japanese writing system, natural writing system, syllabary, unicase alphabet
Q5287	Japanese	日本語	Japonic, modern language, natural language
Q4173137	Jewish Encyclopedia of Brockhaus and Efron	ブロックハウス・エフロン・ユダヤ百科事典	Jewish encyclopedia
Q135249403	Gifu Prefectural Shrine Association	岐阜県神社庁	Jinja-cho
Q8108	Georgian	ジョージア語	Karto-Zan, literary language, modern language, natural language
Q1617	Urdu	ウルドゥー語	Khariboli, modern language, natural language, register, standard language
Q170556	Imperial crest of Japan	菊花紋章	Kikumon (chrysanthemum crests), national coat of arms
Q116763049	Submission	投稿	Know Your Meme quality, unverified entry or article
Q912125	Seven-Branched Sword	七支刀	Korean sword, archaeological record
