SET,SHRINE,JAWIKI,ITEM,WIKIDATA,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,TARGET NAME,TARGET LINK,STATUS,FIX,NOTE
Ise,屋乃波比伎神,"=ARRAYFORMULA(IF(B2:B="""","""",HYPERLINK(""https://ja.wikipedia.org/wiki/""&B2:B,B2:B)))",,"=ARRAYFORMULA(IF(D2:D="""","""",HYPERLINK(""https://www.wikidata.org/wiki/""&D2:D,D2:D)))",AUTOCHTHONOUS,正宮の神庭の守護神（社地そのものの守り神）,,,"=ARRAYFORMULA(IF(H2:H="""","""",HYPERLINK(""https://www.wikidata.org/wiki/""&H2:H,H2:H)))",NEEDS WORK - no item,,
Ise,川相神社,,,,AUTOCHTHONOUS,五十鈴川上流の水の神（明治の大水神社への同座は遷座であって系譜ではない）,,,,NEEDS WORK - no item,,
Ise,大河内神社,,,,AUTOCHTHONOUS,宮川の堤防・水の守護神として当地で祀られた地元神,,,,NEEDS WORK - no item,,
Ise,宇治乃奴鬼神社,,,,AUTOCHTHONOUS,当地の灌漑用水の神を倭姫命が定めた,,,,NEEDS WORK - no item,,
Ise,宮比神,,,,AUTOCHTHONOUS,内宮正宮御垣内の守護神（社殿を持たない）,,,,NEEDS WORK - no item,,
Ise,熊淵神社,,,,AUTOCHTHONOUS,石清水の守護神を倭姫命が当地に定めた,,,,NEEDS WORK - no item,,
Ise,打懸神社,,,,AUTOCHTHONOUS,鎮座地の名を負う在地の明神＝宮川堤防の守護神,,,,NEEDS WORK - no item,,
Ise,毛理神社,,,,AUTOCHTHONOUS,鎮座地の森の神木そのものが神,,,,NEEDS WORK - no item,,
Ise,井中神社,,,,AUTOCHTHONOUS,神田の井泉（湧水）そのものが神,,,,NEEDS WORK - no item,,
Ise,佐美長御前神社,,,,AUTOCHTHONOUS,在地の地主神／伊佐波登美神の子孫の霊,,,,NEEDS WORK - no item,,
Ise,牟弥乃神社,,,,AUTOCHTHONOUS,外城田川そのものの神,,,,NEEDS WORK - no item,,
