ACTION,SHRINE,ITEM,CLASS,P612 VALUE WANTED,SOURCE NAMED IN ARTICLE,WHY IT STOPPED,EVIDENCE (the sentence),FIX,NOTE
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/屋乃波比伎神"",""屋乃波比伎神"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",正宮の神庭の守護神（社地そのものの守り神）,redirect → 興玉神,祭神は社名と同じ屋乃波比伎神。正宮の神庭の守護神である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/川相神社"",""川相神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",五十鈴川上流の水の神（明治の大水神社への同座は遷座であって系譜ではない）,redirect → 大水神社,3社とも倭姫命が定めた神社であるといい、大水神社は山の神を、川相神社・熊淵神社は水の神を祀る。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大河内神社"",""大河内神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",宮川の堤防・水の守護神として当地で祀られた地元神,redirect → 志等美神社#大河内神社,志等美・大河内・打懸の3社は付近を流れる宮川の洪水から地域を守る堤防の守護神として祀られた。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宇治乃奴鬼神社"",""宇治乃奴鬼神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",当地の灌漑用水の神を倭姫命が定めた,redirect → 大土御祖神社,2社とも倭姫命の定めた神社である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宮比神"",""宮比神"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",内宮正宮御垣内の守護神（社殿を持たない）,redirect → 興玉神,3社とも社殿を持たない神社であり、祭神は内宮の守護神である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/熊淵神社"",""熊淵神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",石清水の守護神を倭姫命が当地に定めた,redirect → 大水神社,祭神は多支大刀自神。大水上命の子で、石清水の守護神である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/打懸神社"",""打懸神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",鎮座地の名を負う在地の明神＝宮川堤防の守護神,redirect → 志等美神社#打懸神社,志等美・大河内・打懸の3社は付近を流れる宮川の洪水から地域を守る堤防の守護神として祀られた。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/毛理神社"",""毛理神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",鎮座地の森の神木そのものが神,redirect → 河原神社 (伊勢市),毛理神社の祭神は木神。鎮座地の森の神木の神である。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/井中神社"",""井中神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",神田の井泉（湧水）そのものが神,redirect → 伊我理神社,井中神は、神田の井泉の神であるとされる。,,
CREATE ITEM,"=HYPERLINK(""https://ja.wikipedia.org/wiki/佐美長御前神社"",""佐美長御前神社"")",NO ITEM,AUTOCHTHONOUS,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874 (autochthonous)"")",在地の地主神／伊佐波登美神の子孫の霊,redirect → 佐美長神社,別の説では伊佐波登美神の子孫の霊を祀るとする。,,
