SET,SHRINE,ITEM,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,STATUS,EVIDENCE (the sentence),FIX,NOTE
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/坐摩神社"",""坐摩神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11425667"",""Q11425667"")",NETWORK,宮中（神祇官西院）の坐摩神,,NEEDS WORK,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/佐嘉神社"",""佐嘉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11383096"",""Q11383096"")",TRANSFER,松原神社,,NEEDS WORK,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/劔神社"",""劔神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11398386"",""Q11398386"")",TRANSFER,伊部郷座ヶ岳の素盞嗚尊神霊,,NEEDS WORK,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/忌部神社"",""忌部神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11490722"",""Q11490722"")",TRANSFER,五所神社（美馬郡西端山、現・境外摂社御所神社）,,NEEDS WORK,明治18年に眉山中腹の現在地を選定、五所神社を境外摂社とし、明治25年5月15日に現在地に遷座した。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/度津神社"",""度津神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q172382"",""Q172382"")",UNKNOWN,,,NEEDS WORK,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/石園座多久虫玉神社"",""石園座多久虫玉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11585337"",""Q11585337"")",UNKNOWN,,,NEEDS WORK,,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/屋乃波比伎神"",""屋乃波比伎神"")",NO ITEM,AUTOCHTHONOUS,正宮の神庭の守護神（社地そのものの守り神）,,NEEDS WORK,祭神は社名と同じ屋乃波比伎神。正宮の神庭の守護神である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/川相神社"",""川相神社"")",NO ITEM,AUTOCHTHONOUS,五十鈴川上流の水の神（明治の大水神社への同座は遷座であって系譜ではない）,,NEEDS WORK,3社とも倭姫命が定めた神社であるといい、大水神社は山の神を、川相神社・熊淵神社は水の神を祀る。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大河内神社"",""大河内神社"")",NO ITEM,AUTOCHTHONOUS,宮川の堤防・水の守護神として当地で祀られた地元神,,NEEDS WORK,志等美・大河内・打懸の3社は付近を流れる宮川の洪水から地域を守る堤防の守護神として祀られた。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宇治乃奴鬼神社"",""宇治乃奴鬼神社"")",NO ITEM,AUTOCHTHONOUS,当地の灌漑用水の神を倭姫命が定めた,,NEEDS WORK,2社とも倭姫命の定めた神社である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宮比神"",""宮比神"")",NO ITEM,AUTOCHTHONOUS,内宮正宮御垣内の守護神（社殿を持たない）,,NEEDS WORK,3社とも社殿を持たない神社であり、祭神は内宮の守護神である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/熊淵神社"",""熊淵神社"")",NO ITEM,AUTOCHTHONOUS,石清水の守護神を倭姫命が当地に定めた,,NEEDS WORK,祭神は多支大刀自神。大水上命の子で、石清水の守護神である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/打懸神社"",""打懸神社"")",NO ITEM,AUTOCHTHONOUS,鎮座地の名を負う在地の明神＝宮川堤防の守護神,,NEEDS WORK,志等美・大河内・打懸の3社は付近を流れる宮川の洪水から地域を守る堤防の守護神として祀られた。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/毛理神社"",""毛理神社"")",NO ITEM,AUTOCHTHONOUS,鎮座地の森の神木そのものが神,,NEEDS WORK,毛理神社の祭神は木神。鎮座地の森の神木の神である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/井中神社"",""井中神社"")",NO ITEM,AUTOCHTHONOUS,神田の井泉（湧水）そのものが神,,NEEDS WORK,井中神は、神田の井泉の神であるとされる。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/佐美長御前神社"",""佐美長御前神社"")",NO ITEM,AUTOCHTHONOUS,在地の地主神／伊佐波登美神の子孫の霊,,NEEDS WORK,別の説では伊佐波登美神の子孫の霊を祀るとする。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/牟弥乃神社"",""牟弥乃神社"")",NO ITEM,AUTOCHTHONOUS,外城田川そのものの神,,NEEDS WORK,外城田川の守護神で、大水上命の子である。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/田上大水御前神社"",""田上大水御前神社"")",NO ITEM,AUTOCHTHONOUS,度会氏祖先神を自らの古墳（車塚一号墳）上に祀る,,NEEDS WORK,田上大水御前神社の祭神は、小事神主の娘であり、斎王に奉仕したとされる宮子。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/神麻続機殿神社"",""神麻続機殿神社"")",NO ITEM,AUTOCHTHONOUS,機殿そのものの鎮守神／地元麻績部の祖先神,,NEEDS WORK,麻績部の祖先の天八坂彦命とする伝承がある。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/荒前神社"",""荒前神社"")",NO ITEM,AUTOCHTHONOUS,在地の海岸守護神が倭姫命を出迎え、その場に祀られた,,NEEDS WORK,倭姫命が二見を巡幸中、江神社を定めた後に荒前比賣命が倭姫命を出迎えたため,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/葦立弖神社"",""葦立弖神社"")",NO ITEM,AUTOCHTHONOUS,在地の産土神,,NEEDS WORK,祭神は玉移良比女命。宇治都比女命の子であるとされ、産土神であるという。,,
Ise,"=HYPERLINK(""https://ja.wikipedia.org/wiki/蚊野御前神社"",""蚊野御前神社"")",NO ITEM,AUTOCHTHONOUS,外城田川支流の川の神,,NEEDS WORK,蚊野神社の祭神・大神御蔭川神と同じく、外城田川の支流の川の神とされる。,,
