Logged in

Found 5277 pages in category

1. [[Abito Shrine]] - HAS template, keeping
2. [[Abo Shrine]] - HAS template, keeping
3. [[Abo Shrine (Moto‑Abo)]] - HAS template, keeping
4. [[Aburahi Shrine]] - HAS template, keeping
5. [[Abushina Shrine]] - HAS template, keeping
6. [[Achi Shrine (Q11657447)]] - HAS template, keeping
7. [[Achieno Shrine]] - HAS template, keeping
8. [[Achie‑nobe Shrine]] - HAS template, keeping
9. [[Achihaseno Shrine]] - HAS template, keeping
10. [[Achihayao Shrine]] - HAS template, keeping
11. [[Achiheisoheno Shrine]] - HAS template, keeping
12. [[Achiko Shrine]] - HAS template, keeping
13. [[Achiko Shrine (Izu Province)]] - NO template, DELETING
14. [[Achiko Shrine (Q135270277)]] - HAS template, keeping
15. [[Achikouisobu Shrine]] - HAS template, keeping
16. [[Achino Shrine]] - HAS template, keeping
17. [[Achino Shrine okumiya]] - HAS template, keeping
18. [[Achisukino Shrine]] - HAS template, keeping
19. [[Adachi Shrine]] - HAS template, keeping
20. [[Adachi Shrine (Kamikisaki)]] - HAS template, keeping
21. [[Adatara Shrine]] - HAS template, keeping
22. [[Adatara Shrine (Q135194444)]] - HAS template, keeping
23. [[Aekuni Shrine]] - HAS template, keeping
24. [[Afuchi Shrine]] - HAS template, keeping
25. [[Afukako Shrine]] - HAS template, keeping
26. [[Afukakotano- Shrine]] - HAS template, keeping
27. [[Afukamuyamano Shrine]] - HAS template, keeping
28. [[Afukamuyamano Shrine former site]] - HAS template, keeping
29. [[Afukano- Shrine]] - HAS template, keeping
30. [[Afuku Kahaku Shrine]] - HAS template, keeping
31. [[Agata Shrine (Gifu)]] - HAS template, keeping
32. [[Agatanushi Shrine (Minokamo)]] - HAS template, keeping
33. [[Aguasa Shrine]] - HAS template, keeping
34. [[Aguchi Shrine]] - HAS template, keeping
35. [[Ahachino Shrine]] - HAS template, keeping
36. [[Ahachino Shrine (Harima Province)]] - NO template, DELETING
37. [[Ahachino Shrine (Izumi Province)]] - NO template, DELETING
38. [[Ahachino Shrine (Q135229657)]] - HAS template, keeping
39. [[Ahano Shrine]] - HAS template, keeping
40. [[Ahano Shrine (Iga Province)]] - NO template, DELETING
41. [[Ahano Shrine (Izumi Province)]] - NO template, DELETING
42. [[Ahano Shrine (Q135039173)]] - HAS template, keeping
43. [[Ahano Shrine (Q135039244)]] - HAS template, keeping
44. [[Ahanono Shrine]] - HAS template, keeping
45. [[Ahasano Shrine]] - HAS template, keeping
46. [[Ahashimano-isahano Shrine]] - HAS template, keeping
47. [[Ahichino Shrine]] - HAS template, keeping
48. [[Ahimino Shrine]] - HAS template, keeping
49. [[Ahita Shrine]] - HAS template, keeping
50. [[Ahitano Shrine]] - HAS template, keeping
51. [[Ai Shrine]] - HAS template, keeping
52. [[Aijikaue Shrine (Legendary Site C)]] - HAS template, keeping
53. [[Ajiga Shrine]] - HAS template, keeping
54. [[Ajiga Shrine (Ise Province)]] - NO template, DELETING
55. [[Ajiga Shrine (Q135186739)]] - HAS template, keeping
56. [[Ajika Shrine]] - HAS template, keeping
57. [[Ajiko Shrine]] - HAS template, keeping
58. [[Ajimano Shrine]] - HAS template, keeping
59. [[Ajimino Shrine]] - HAS template, keeping
60. [[Akaba Shrine]] - HAS template, keeping
61. [[Akabo Shrine]] - HAS template, keeping
62. [[Akafuchino Shrine]] - HAS template, keeping
63. [[Akagi Shrine]] - HAS template, keeping
64. [[Akahikono Shrine]] - HAS template, keeping
65. [[Akahono Shrine]] - HAS template, keeping
66. [[Akakino Shrine former site]] - HAS template, keeping
67. [[Akakunino Shrine]] - HAS template, keeping
68. [[Akamino Shrine]] - HAS template, keeping
69. [[Akanabe Shrine]] - HAS template, keeping
70. [[Akanta Shrine]] - HAS template, keeping
71. [[Akao Shibutare Kōribe Shrine]] - HAS template, keeping
72. [[Akao Shibutaru Gunbe Shrine]] - HAS template, keeping
73. [[Akaou Shrine]] - HAS template, keeping
74. [[Akaruhimenomikoto Shrine]] - HAS template, keeping
75. [[Akatano Shrine]] - HAS template, keeping
76. [[Akatanushino Shrine]] - HAS template, keeping
77. [[Aki Shrine]] - HAS template, keeping
78. [[Akiba Shrine (Ise Province)]] - NO template, DELETING
79. [[Akiba Shrine (Q135186229)]] - HAS template, keeping
80. [[Akiru Shrine]] - HAS template, keeping
81. [[Akishika Shrine]] - HAS template, keeping
82. [[Akitomi Shrine]] - HAS template, keeping
83. [[Akono Shrine]] - HAS template, keeping
84. [[Akotanino Shrine]] - HAS template, keeping
85. [[Akuhino Shrine]] - HAS template, keeping
86. [[Akunami Shrine]] - HAS template, keeping
87. [[Akuto Shrine]] - HAS template, keeping
88. [[Ama-no-Iwato-wake no Kami Shrine]] - HAS template, keeping
89. [[Ama-no-iwato-wake-toyotamahimeno Shrine]] - HAS template, keeping
90. [[Ama-no-iwato-wake-toyotamahimeno Shrine (Awa Province (Tokushima))]] - NO template, DELETING
91. [[Ama-no-iwato-wake-toyotamahimeno Shrine (Q135270444)]] - HAS template, keeping
92. [[Amahakarino Shrine]] - HAS template, keeping
93. [[Amahibiki-no-Mikoto Shrine]] - HAS template, keeping
94. [[Amahinatorino- Shrine]] - HAS template, keeping
95. [[Amakashi-ni-imasu Shrine]] - HAS template, keeping
96. [[Amakohino Shrine]] - HAS template, keeping
97. [[Amamikoso Shrine]] - HAS template, keeping
98. [[Amamurakumo Shrine]] - HAS template, keeping
