page_title,qid,xml_file
Abito Shrine,Q135195036,Abito Shrine.xml
Abo Shrine,Q85884328,Abo Shrine.xml
Abo Shrine (Moto‑Abo),Q135193375,Abo Shrine (Moto‑Abo).xml
Aburahi Shrine,Q11554359,Aburahi Shrine.xml
Abushina Shrine,Q11657364,Abushina Shrine.xml
Achi Shrine (Q11657447),Q11657447,Achi Shrine (Q11657447).xml
Achieno Shrine,Q135099002,Achieno Shrine.xml
Achie‑nobe Shrine,Q135195253,Achie‑nobe Shrine.xml
Achihaseno Shrine,Q135040230,Achihaseno Shrine.xml
Achihayao Shrine,Q11657712,Achihayao Shrine.xml
Achiheisoheno Shrine,Q135040568,Achiheisoheno Shrine.xml
Achiko Shrine,Q135039659,Achiko Shrine.xml
Achiko Shrine (Q135270277),Q135270277,Achiko Shrine (Q135270277).xml
Achikouisobu Shrine,Q135070027,Achikouisobu Shrine.xml
Achino Shrine,Q135039913,Achino Shrine.xml
Achino Shrine okumiya,Q135194069,Achino Shrine okumiya.xml
Achisukino Shrine,Q135040969,Achisukino Shrine.xml
Adachi Shrine,Q115739544,Adachi Shrine.xml
Adachi Shrine (Kamikisaki),Q135193313,Adachi Shrine (Kamikisaki).xml
Adatara Shrine,Q11451521,Adatara Shrine.xml
Adatara Shrine (Q135194444),Q135194444,Adatara Shrine (Q135194444).xml
Afuchi Shrine,Q65260948,Afuchi Shrine.xml
Afukako Shrine,Q135186246,Afukako Shrine.xml
Afukakotano- Shrine,Q135039287,Afukakotano- Shrine.xml
Afukamuyamano Shrine,Q135039277,Afukamuyamano Shrine.xml
Afukamuyamano Shrine former site,Q135186196,Afukamuyamano Shrine former site.xml
Afukano- Shrine,Q135039281,Afukano- Shrine.xml
Afuku Kahaku Shrine,Q11451153,Afuku Kahaku Shrine.xml
Agata Shrine (Gifu),Q11608141,Agata Shrine (Gifu).xml
Aguasa Shrine,Q85884332,Aguasa Shrine.xml
Aguchi Shrine,Q11655187,Aguchi Shrine.xml
Ahachino Shrine,Q135039182,Ahachino Shrine.xml
Ahachino Shrine (Q135229657),Q135229657,Ahachino Shrine (Q135229657).xml
Ahano Shrine,Q135038804,Ahano Shrine.xml
Ahano Shrine (Q135039173),Q135039173,Ahano Shrine (Q135039173).xml
Ahano Shrine (Q135039244),Q135039244,Ahano Shrine (Q135039244).xml
Ahanono Shrine,Q135039930,Ahanono Shrine.xml
Ahasano Shrine,Q135039939,Ahasano Shrine.xml
Ahashimano-isahano Shrine,Q135039455,Ahashimano-isahano Shrine.xml
Ahichino Shrine,Q135040534,Ahichino Shrine.xml
Ahimino Shrine,Q135040300,Ahimino Shrine.xml
Ahita Shrine,Q11657481,Ahita Shrine.xml
Ahitano Shrine,Q135040419,Ahitano Shrine.xml
Ai Shrine,Q11657591,Ai Shrine.xml
Aijikaue Shrine (Legendary Site C),Q135186396,Aijikaue Shrine (Legendary Site C).xml
Ajiga Shrine,Q135186738,Ajiga Shrine.xml
Ajiga Shrine (Q135186739),Q135186739,Ajiga Shrine (Q135186739).xml
Ajika Shrine,Q11657713,Ajika Shrine.xml
Ajiko Shrine,Q110858812,Ajiko Shrine.xml
Ajimano Shrine,Q135194649,Ajimano Shrine.xml
Ajimino Shrine,Q135041427,Ajimino Shrine.xml
Akaba Shrine,Q20042898,Akaba Shrine.xml
Akabo Shrine,Q11635898,Akabo Shrine.xml
Akafuchino Shrine,Q135040608,Akafuchino Shrine.xml
