Wikidata QID,Number of Pages,Pages
Q10123258,2,Category:Japanese legal compendia; Category:Legal compendia
Q10126436,2,Category:History of Tsuyama; Category:History of Tsuyama City
Q10225252,2,Category:Fukui Domain; Category:Fukui domain
Q104539297,2,Izumo no Iwai Shrine (disambiguation); Izumo-no-Iwai Shrine (Yorii Town)
Q106478123,2,Chikata Shrine (Kanda); Chikatsu Shrine (Ono)
Q107022358,2,Tate Shrine; Tate Shrine (Tsurugi)
Q10933259,4,Sexagenary cycle german style; Template:Sexagenary cycle; Template:Sexagenary cycle comprehensive; Template:Ten Heavenly Stems and Earthly Branches
Q110066542,2,Template:Beppyo Shrines; Template:近代社格制度
Q11255725,3,Tsuruno-yu Onsen (Akita); Tsuruno-yu Onsen (Hokkaido); Tsurunoyu Onsen
Q11277704,2,Sangoku Sōden In'yō Kankatsu Hoki Naiden Kin'u Gyokuto Shū; Shinnaiden
Q113498608,2,Sagiyama Kofun; Sagiyama Kofun (Tottori)
Q113498764,2,Isezuka Kofun; Isezuka Kofun (Chūō City)
Q11356650,2,Mikumano Shrine; Mikumano Shrine (Kakegawa)
Q11361047,2,Shimotsuke no Komaro; Shimotsukeno no Komaro
Q11364246,2,Nakayama Shrine; Nakayama Shrine (Tottori Daisen)
Q11369609,2,Kume no Miagata Shrine; Kumenomiagata Shrine
Q11371433,2,Futatsuzuka Kofun (Sendai); Futazuka Kofun (disambiguation)
Q11381233,2,Hakusan-yabu Kofun; Ōtsukayama Kofun
Q11381529,2,Tomobayashi Shrine; Tomobayashiuji Shrine
Q11387088,2,Shidori Shrine (Fujinomiya); Shizuri Shrines
Q11387216,2,Kenmunakata Tomino Mikoto Hikokamiwake Shrine; Takeminakata Tomi no Mikoto Hikokamiwake Shrine (Nagano City Hako Shimizu)
Q11392794,2,Hyōzu Shrine (Tanba); Hyōzu Shrine (disambiguation)
Q11398386,2,Tsurugi Shrine; Tsurugi Shrine (Hōfu)
Q11432211,2,Oi Shrine; Oi Shrine (disambiguation)
Q11432350,2,"Ōtomo Shrine (Saku); Ōtomo Shrine (Saku, Mochizuki)"
Q11433996,2,Ōtsuka Kofun Cluster (Ichikawa Misato Town); Ōtsuka Kofun Cluster (disambiguation)
Q11437359,2,Ōtsu Shrine; Ōtsu Shrine (Ise)
Q11437361,2,Otsu Shrine; Ōtsu Shrine (Habikino)
Q11451878,2,Munakata Shrine; Munakata Shrine (Sakurai)
Q11459658,2,"Omuro Sengen Shrine; Omuro Sengen Shrine (Ōasomi, Fujiyoshida)"
Q11468880,2,Yamamoto Hachimangū; Yamamoto Hachimangū (Yao City)
Q11470054,2,Kurikara sword; Sannō Gongen
Q11481301,2,Tokoyo-Hime Shrine; Tokoyokihime Shrine
Q11483495,2,Heguri Nimasukishi Shrine; Heguri-nimasu Kishi Shrine
Q11489356,2,"Goryo Shrine; Goryō Shrine (Hatori, Fujisawa)"
Q11491513,2,"Shikobuchi Jinja (Takashima City, Azumi-gawa Town, Nakano); Shikobuchi Shrine"
Q11493038,2,Okami Shrine (Hirakata); Okami Shrine (Kishiwada)
Q11496923,2,Tajikarao Shrine; Tejikarao Shrine (Kakamigahara)
Q11505112,2,Himukai Daijingu; Himukai-daijingū
Q11515320,2,Kai Fudoki Hill; Yamanashi Prefecture Sone Kyuryo Park
Q11516217,2,Tsukiyomi Shrine; Tsukiyomi Shrine (Kyoto)
Q11517327,2,Asakura Shrine; Asakura Shrine (Kōchi)
Q11537864,2,Sakurai Shrine; Sakurai Shrine (Sakai)
