lang,count
ja,25228
en,11164
id,10013
zh,2224
tr,1036
fr,893
de,658
ko,604
arz,599
nl,547
zh-hant,507
zh-hk,368
zh-hans,364
es,256
my,227
zh-cn,217
ru,213
bo,206
pl,196
fa,154
mul,152
it,149
cs,135
th,135
vi,131
ca,129
zh-tw,129
pt,98
sl,97
si,96
uk,92
gan,91
sv,87
yue,73
eu,72
ms,65
hu,64
he,60
wuu,57
nb,56
fi,46
eo,41
ur,38
el,38
ta,38
ar,37
nan,35
bn,33
ka,33
ro,33
sh,32
hi,30
en-gb,30
az,30
en-us,25
hy,24
ml,22
te,20
da,18
pt-br,16
bg,16
gl,16
km,16
cy,14
hr,14
as,14
sk,14
tl,13
lt,13
be,13
et,13
ast,12
ban,12
mr,12
ne,12
oc,12
mk,12
pnb,11
en-ca,11
sr,11
la,11
tt,11
nan-latn-pehoeji,11
nan-latn-tailo,11
mai,10
be-tarask,10
pa,9
war,9
zh-sg,9
uz,9
or,9
lzh,9
lv,8
mt,8
jv,8
de-ch,8
bcl,8
br,8
lo,8
cdo,8
kn,7
sa,7
mn,7
dz,7
new,6
sco,6
mad,6
zh-mo,5
min,5
ba,5
nn,5
tok,5
ceb,5
shn,5
bho,4
gu,4
kk,4
zh-my,4
sq,4
sat,4
sr-ec,4
af,4
sw,4
sr-el,4
bxr,4
dty,3
is,3
bs,3
ckb,3
ha,3
ga,3
gd,3
nan-hani,3
nan-hant,3
tg,2
ilo,2
mnw,2
su,2
an,2
gsw,2
ia,2
ie,2
io,2
lb,2
nds,2
ce,2
gor,2
kab,2
mhr,2
mzn,2
ug,2
bar,2
li,2
pi,2
pms,2
scn,2
hak,2
rki,2
blk,2
azb,2
bbc,2
mag,1
ary,1
mi,1
tet,1
am,1
anp,1
awa,1
crh,1
frr,1
gcr,1
gn,1
hif,1
kw,1
mni,1
pam,1
pdc,1
qu,1
sgs,1
udm,1
xmf,1
yi,1
sd,1
tt-cyrl,1
fj,1
mnc,1
wo,1
zu,1
ps,1
ti,1
rup,1
tyv,1
bm,1
co,1
de-at,1
frc,1
frp,1
fur,1
jam,1
kg,1
lij,1
mg,1
nap,1
nds-nl,1
nrm,1
pap,1
pcd,1
prg,1
rgn,1
rm,1
sc,1
vec,1
vls,1
vmf,1
vo,1
wa,1
tcy,1
xal,1
ryu,1
hyw,1
ms-arab,1
