Page Name,Wikidata QID
Kōshin,Q3082157
Yang Earth Dog,Q904922
Yang Earth Dragon,Q118701
Yang Earth Horse,Q905011
Yang Earth Monkey,Q904781
Yang Earth Rat,Q1062052
Yang Earth Tiger,Q1061986
Yang Fire Dog,Q1062512
Yang Fire Dragon,Q904721
Yang Fire Horse,Q1062045
Yang Fire Monkey,Q1061831
Yang Fire Rat,Q1062017
Yang Fire Tiger,Q767248
Yang Metal Dog,Q904484
Yang Metal Dragon,Q1062146
Yang Metal Horse,Q1062141
Yang Metal Rat,Q904964
Yang Metal Tiger,Q1063199
Yang Water Dog,Q904937
Yang Water Dragon,Q1062581
Yang Water Horse,Q1062004
Yang Water Monkey,Q1062030
Yang Water Rat,Q904972
Yang Water Tiger,Q1062922
Yang Wood Dog,Q1062917
Yang Wood Dragon,Q904754
Yang Wood Horse,Q904930
Yang Wood Monkey,Q1062011
Yang Wood Rat,Q1190890
Yang Wood Tiger,Q904409
Yin Earth Goat,Q904801
Yin Earth Ox,Q1061992
Yin Earth Pig,Q904335
Yin Earth Rabbit,Q1062557
Yin Earth Rooster,Q905305
Yin Earth Snake,Q1062039
Yin Fire Goat,Q905292
Yin Fire Ox,Q1062543
Yin Fire Pig,Q1062894
Yin Fire Rabbit,Q1061999
Yin Fire Rooster,Q201551
Yin Fire Snake,Q905311
Yin Metal Goat,Q1062873
Yin Metal Ox,Q904956
Yin Metal Pig,Q905052
Yin Metal Rabbit,Q1062275
Yin Metal Rooster,Q904743
Yin Metal Snake,Q1062057
Yin Water Goat,Q1062599
Yin Water Ox,Q267521
Yin Water Pig,Q904914
Yin Water Rabbit,Q904471
Yin Water Rooster,Q655662
Yin Water Snake,Q905297
Yin Wood Goat,Q1062025
Yin Wood Ox,Q599762
Yin Wood Pig,Q1062067
Yin Wood Rabbit,Q904791
Yin Wood Rooster,Q185265
Yin Wood Snake,Q905031
