Original Title,Japanese Title,Japanese Bracket Content,Bracket QID,English Label,Proposed New Title
Achi Shrine (Q11657447),阿智神社 (阿智村),阿智村,Q1203279,Achi,Achi Shrine (Achi)
Amanokaguyama Shrine (Q98082987),天香山神社,,,,
Amatsukasahiko Shrine (Q107410067),天津賀佐彦神社,,,,
Hachiman Shrine (Q134927474),八幡神社 (下田市吉佐美),下田市吉佐美,,,
Hajikami Shrine (Q11275441),㯮椒神社,,,,
Hakusan Shrine (Q11579589),白山神社 (三木町),三木町,Q1205980,Miki,Hakusan Shrine (Miki)
Hayabusa Shrine (Q135021848),隼神社 (京都市),京都市,Q34600,Kyoto,Hayabusa Shrine (Kyoto)
Hioki Shrine (Q11510250),日置神社 (高島市),高島市,Q845794,Takashima,Hioki Shrine (Takashima)
Hiruko Shrine (Q106852693),蛭子神社 (那賀町),那賀町,Q1205685,Naka,Hiruko Shrine (Naka)
Ii Shrine (Q11666643),飯神社,,,,
Ikeda Shrine (Q134926975),池田神社 (静岡市),静岡市,Q174691,Shizuoka,Ikeda Shrine (Shizuoka)
Ishizukuri Shrine (Q11676453),鹽津神社,,,,
Iwai Shrine (Q85882705),石坐神社,,,,
Izumi Shrine (Q11395685),出水神社 (加賀市),加賀市,Q120103,Kaga,Izumi Shrine (Kaga)
Kamo Shrine (Q106301088),加茂神社 (さいたま市),さいたま市,Q134635,Saitama,Kamo Shrine (Saitama)
Kanda Shrine (Q11590647),神田神社 (東白川村),東白川村,Q1202765,Higashishirakawa,Kanda Shrine (Higashishirakawa)
Kashima Shrine (Q135069030),鹿島神社 (香芝市),香芝市,Q696643,Kashiba,Kashima Shrine (Kashiba)
Kataoka Shrine (Q28682738),片岡神社 (吉田町),吉田町,Q1202789,Yoshida,Kataoka Shrine (Yoshida)
Kattamine Shrine (Q65249271),刈田嶺神社 (刈田岳),刈田岳,,,
Kawara Shrine (Q11667602),香春神社,,,,
Kawara Shrine (Q17209206),川原神社 (伊勢市),伊勢市,Q328067,Ise,Kawara Shrine (Ise)
Kawata Shrine (Q11479033),川田神社 (湖南市),湖南市,Q857194,Konan,Kawata Shrine (Konan)
Kinomiya Shrine (Q119929624),来宮神社 (伊豆市八幡),伊豆市八幡,,,
Kotoshironushi Shrine (Q48758503),事代主神社 (阿波市),阿波市,Q791587,Awa,Kotoshironushi Shrine (Awa)
Kumano Shrine (Q11568963),熊野神社 (高島市),高島市,Q845794,Takashima,Kumano Shrine (Takashima)
Kusanagi Shrine (Q11368944),久佐奈岐神社,,,,
Make Shrine (Q11498617),摩氣神社,,,,
Matsubara Shrine (Q11529439),松原神社 (春日井市),春日井市,Q26101,Kasugai,Matsubara Shrine (Kasugai)
Matsuo Shrine (Q11529679),松尾神社 (亀岡市),亀岡市,Q633996,Kameoka,Matsuo Shrine (Kameoka)
Mefu Shrine (Q11429659),売布神社 (松江市),松江市,Q207321,Matsue,Mefu Shrine (Matsue)
Mifune Shrine (Q17214615),御船神社 (多気町),多気町,Q1203963,Taki,Mifune Shrine (Taki)
Miho Shrine (Q11489249),御穂神社,,,,
Mii Shrine (Q11488771),御井神社 (各務原市),各務原市,Q641491,Kakamigahara,Mii Shrine (Kakamigahara)
Mishima Shrine (Q134888252),箕島神社,,,,
