Local Title,Jawiki Interwiki
Funazu Shrine,ja:舟津神社
Hachiman Usa Shrine Oracle Collection,ja:八幡宇佐宮御託宣集
Hayasasurahime,ja:速佐須良比売神
Hozumi Shrine,ja: 穂積神社
Kajiwara Shrine,ja:梶原神社
Kinri Koban,ja:禁裏小番
Matsumae Kagura,ja:松前神楽
Ministry of Popular Affairs (Meiji period),ja:民部省 (明治時代)
Nagasaki Tōshō-gū,ja:長崎東照宮
Shinomiya Manor,ja:四宮荘
Sōji Hajime,ja:奏事始
Tenno-no-Mori,ja:天王の杜
Tsubaki Market,ja:海柘榴市 (大和国)
Uga Shrine,ja:宇賀神社
"Uga Shrine (Tako Town, Iizasa)",ja:宇賀神社 (多古町飯笹)
Ōno Clan (Higo Province),ja:大野氏 (肥後国)
