QID,Page
Q11505291,1-day onsen facility
Q11353006,First White Water Star
Q17209277,26-Rank cap system
Q135655116,36 Dōji
Q30014464,72 pentads
Q106301088,Kamo Shrine (Saitama)
Q11392062,Kuchi Shrine
Q11486075,Fu Hachimangu
Q11457275,Fukuchi Shrine
Q119929720,Gosho Shrine
Q11555561,Hahaki Shrine
Q38278473,Hahime Shrine
Q43594654,Hahō Shrine
Q131932258,Kumaku Shrine
Q134928573,Minowa Shrine
Q134930534,"Mishima Shrine (Aono, Minamiizu)"
Q134930713,Mishima Shrine (Minamiizu )
Q66764741,Fujiuchi Shrine
Q119929665,Funayama Shrine
Q134930376,Hajikama Shrine
Q11555598,Hajikami Shrine
Q134930702,Kunitama Shrine
Q134927674,Hachiman Shrine (Otoi)
Q134930206,"Hachiman Shrine (Koura, Minamiizu)"
Q11594015,Fukuōji Shrine
Q11456095,Fuji Sengen Shrine (Togo Town)
Q11554908,Izumianashi Shrine
Q134930157,Habuhime-no-Mikoto Shrine
Q1183634,A1 Decan Lists
Q1183635,A2 Decan Lists
Q303855,Ab (decan)
Q303840,Ab-Schetui
Q4663470,Abare Festival
Q11607230,Abashiri Shrine
Q2975203,Abe clan
Q11450333,Abe no Ariyo
Q1150151,Abe no Seimei
Q11450335,Abe no Yasuchika
Q11450336,Abe no Yasunaga
Q11450302,Abe no Yoshihira
Q11657249,Abe Ōji Shrine
Q122574604,Abedani Kofun
Q11657965,Abeno Shrine
Q319775,Abesches
Q135195036,Abito Shrine
Q85884328,Abo Shrine
Q11554359,Aburahi Shrine
Q11657364,Abushina Shrine
Q11657465,Abuyama Kofun
Q337624,Acala
Q109594403,Achi clan
Q11657445,Achi Shrine
Q11657447,Achi Shrine (Achi Village)
Q11657446,Achi Shrine (Kurashiki)
Q135099002,Achieno Shrine
Q135040230,Achihaseno Shrine
Q135040568,Achiheisoheno Shrine
Q135039659,Achiko Shrine
Q135270277,Achiko Shrine (Q135270277)
Q135070027,Achikouisobu Shrine
Q135039913,Achino Shrine
Q135194069,Achino Shrine okumiya
Q135040969,Achisukino Shrine
Q11644442,Acidic springs
Q4059812,Acronychic
Q4677796,Acts of Worship
Q11648153,Acupuncture Hakase
Q11489239,Adachi Myokengu
Q115739544,Adachi Shrine
Q135193313,Adachi Shrine (Kamikisaki)
Q11451553,Adachi Yoshikage
Q11636998,Adachiyama
Q11451521,Adatara Shrine
Q17190840,Aedo Hashihime Shrine
Q11499487,Aekuni Shrine
Q65260948,Afuchi Shrine
Q135186246,Afukako Shrine
Q135039287,Afukakotano- Shrine
Q135039277,Afukamuyamano Shrine
Q135186196,Afukamuyamano Shrine former site
Q135039281,Afukano- Shrine
Q11451153,Afuku Kahaku Shrine
Q11657692,Aga Shrine
Q11582689,Agata no Inukai clan
Q11608136,Agata Shrine
Q11608138,Agata Shrine (Gero City)
Q11608137,Agata Shrine (Ōamishirasato)
Q11608141,Agata Shrine (Gifu)
Q10746487,Agatanushi
Q11582625,Agatanushi Shrine
Q11608132,Agatanushi Shrine (Minokamo)
Q70447980,Age of the Gods
Q122552778,Agemizo Tenjinzuka Kofun
Q1009519,Agency for Cultural Affairs
Q106287303,Ageshima Kofun
Q11655187,Aguchi Shrine
Q85884332,Aguma Shrine
Q135039182,Ahachino Shrine
Q135229657,Ahachino Shrine (Q135229657)
Q135038804,Ahano Shrine
Q135039173,Ahano Shrine (Q135039173)
Q135039244,Ahano Shrine (Q135039244)
Q135039930,Ahanono Shrine
Q135039939,Ahasano Shrine
Q135039455,Ahashimano-isahano Shrine
Q135040534,Ahichino Shrine
Q135040300,Ahimino Shrine
Q11657481,Ahita Shrine
Q135040419,Ahitano Shrine
Q11282212,AICEL Shura Hall
Q4696584,Aichi Gokoku Shrine
Q135186396,Aijikaue Shrine (Legendary Site C)
Q11657591,Ai Shrine
Q2827917,Aiki Shrine
Q11581944,Ainame Festival
Q11498102,Airborne Parachute Unit
Q11256803,Aizen Festival
Q11381253,Aizu Tajima Gion Festival
Q56350355,Aizu-hime-no-Kami
Q135186738,Ajiga Shrine
Q135186739,Ajiga Shrine (Q135186739)
Q11657713,Ajika Shrine
Q110858812,Ajiko Shrine
Q11417045,Ajima Shrine
Q135194649,Ajimano Shrine
Q135041427,Ajimino Shrine
Q506610,Ajisukitakahikone
Q11417036,Ajiyoshi Futagoyama Kofun
Q20042898,Akaba Shrine
Q11635898,Akabo Shrine
Q17191031,Akabori Chausuyama Kofun
Q135040608,Akafuchino Shrine
Q135039965,Akagi Shrine
Q131275527,Akagi Shrine (Fujimi Town Yokomuro)
Q11635468,Akagi Shrines
Q135039578,Akahikono Shrine
Q117848511,Akaruhimenomikoto Shrine
Q135039839,Akahono Shrine
Q11635823,Akaiwa Shrine
Q123349012,Akaizuka Kofun
Q135194281,Akakino Shrine former site
Q135040544,Akakunino Shrine
Q135039844,Akamino Shrine
Q4700239,Akamonue Kofun
Q11617261,Akanabe Shrine
Q17191164,Akane Shrine
Q48758374,Akanta Shrine
Q117452953,Akao Shibutare Kōribe Shrine
Q135069462,Akaou Shrine
Q555212,Akaruhime-no-Kami
Q11635398,Akasaka Kaminoyama Shrine
Q11635409,Akasaka Tennōzan Kofun
Q11635401,Akasakaimai Tumuli
Q11635561,Akasaki Shrine
Q108487216,Akashi no Kuni no Miyatsuko
Q135041010,Akatano Shrine
Q135098951,Akatanushino Shrine
Q85480062,Akatsuchiyama Kofun
Q11635793,Akayu Onsen
Q11635795,Akayu Onsen (Niigata)
Q11512013,Akeai Kofun
Q1351074,"Aki District, Hiroshima"
Q11657607,Aki Shrine
Q2680724,Akiba Gongen
Q11595842,Akiba Shrine
Q135186229,Akiba Shrine (Q135186229)
Q11595841,Akiba Shrines
Q11595836,Akibayama Kofun Cluster
Q84638424,Akidono Minami Kofun
Q500413,Akihasan Hongū Akiha Shrine
Q11657213,Akiru Shrine
Q135070119,Akishika Shrine
Q11595542,Akita Gokoku Shrine
Q4701224,Akita Kantō
Q17191063,Akita Suwa Shrine
Q85884553,Akitomi Shrine
Q135041060,Akono Shrine
Q135040700,Akotanino Shrine
Q756612,Akshobhya
Q135039560,Akuhino Shrine
Q2829166,Akuma (folklore)
Q28682730,Akunami Shrine
Q83070704,Akura Takatsuka Kofun
Q18700408,Akuro O
Q11657135,Akuto Shrine
Q11635899,Akō Gishi Festival
Q11657264,Akōbō Kofun Cluster
Q2648719,All-Devourer
Q11416420,Alum springs
Q15900642,Ama (female diver)
Q11559330,Ama Clan Genealogy
Q17191773,Ama Kazukime Shrine
Q135027312,Ama no iwa to wake no kami Shrine
Q9495537,Ama People
Q55529579,Ama-no-Inukai clan
Q126914107,Ama-no-iwafune
Q11443184,Ama-no-Iwatate Shrine
Q10940542,Ama-no-Iwato-wake no Kami
Q135019513,Ama-no-Iwato-wake no Kami Shrine
Q135041351,Ama-no-iwato-wake-toyotamahimeno Shrine
Q135270444,Ama-no-iwato-wake-toyotamahimeno Shrine (Q135270444)
Q135069203,Ama-no-Kaguyama Shrine
Q10939616,Ama-no-Oshihi
Q55528867,Amabe Caste
Q65272445,Amabe clan
Q22117785,Amagasaki Ebisu Shrine
Q2575609,Amago clan
Q135041209,Amahakarino Shrine
Q135039865,Amahibiki-no-Mikoto Shrine
Q135040747,Amahinatorino- Shrine
Q11574285,Amakashi-ni-imasu Shrine
Q135041158,Amakohino Shrine
Q11658015,Amamikoso Shrine
Q18236531,Amamikyu
Q11450943,Amamiyama Kofun
Q135198111,Amamurakumo Shrine
Q135041330,Amamurakumono Shrine
Q2841005,Amanawa Shinmei Shrine
Q135197900,Amano Hachiman Shrine
Q135041512,Amano Shrine
