Page Title,Wikidata QID
1-day onsen facility,Q11505291
20-Year Plan for One Million Families,Q18234309
200 Famous Japanese Mountains,Q11086204
2003 Murder of Japanese Diplomats in Iraq,Q11265641
2009 Summer Kōshien,Q60405
26-Rank cap system,Q17209277
36 Dōji,Q135655116
72 pentads,Q30014464
A1 Decan Lists,Q1183634
A2 Decan Lists,Q1183635
AICEL Shura Hall,Q11282212
Ab (decan),Q303855
Ab-Schetui,Q303840
Abare Festival,Q4663470
Abashiri Shrine,Q11607230
Abe clan,Q2975203
Abe no Ariyo,Q11450333
Abe no Seimei,Q1150151
Abe no Yasuchika,Q11450335
Abe no Yasunaga,Q11450336
Abe no Yoshihira,Q11450302
Abe Ōji Shrine,Q11657249
Abedani Kofun,Q122574604
Abeno Shrine,Q11657965
Abesches,Q319775
Abuyama Kofun,Q11657465
Acala,Q337624
Achi Shrine,Q11657445
Achi Shrine (Kurashiki),Q11657446
Achi clan,Q109594403
Achihayao Shrine,Q11657712
Acidic springs,Q11644442
Acronychic,Q4059812
Acts of Worship,Q4677796
Acupuncture Hakase,Q11648153
Adachi Myokengu,Q11489239
Adachi Yoshikage,Q11451553
Adachiyama,Q11636998
Aedo Hashihime Shrine,Q17190840
Aekuni Shrine,Q11499487
Aga Shrine,Q11657692
Agata Shrine,Q11608136
Agata Shrine (Gero City),Q11608138
Agata Shrine (Ōamishirasato),Q11608137
Agata no Inukai clan,Q11582689
Agatanushi,Q10746487
Agatanushi Shrine,Q11582625
Agatanushi Shrine (Minokamo),Q11608132
Age of the Gods,Q70447980
Agemizo Tenjinzuka Kofun,Q122552778
Agency for Cultural Affairs,Q1009519
Ageshima Kofun,Q106287303
Aguchi Shrine,Q11655187
Ahachino Shrine,Q135039182
Ahano Shrine,Q135038804
Ahita Shrine,Q11657481
Ai Shrine,Q11657591
Aichi Gokoku Shrine,Q4696584
Aiki Shrine,Q2827917
Ainame Festival,Q11581944
Airborne Parachute Unit,Q11498102
Aizen Festival,Q11256803
Aizu Tajima Gion Festival,Q11381253
Aizu-hime-no-Kami,Q56350355
Ajima Shrine,Q11417045
Ajisukitakahikone,Q506610
Ajiyoshi Futagoyama Kofun,Q11417036
Akabo Shrine,Q11635898
Akabori Chausuyama Kofun,Q17191031
Akagi Shrine (Fujimi Town Yokomuro),Q131275527
Akagi Shrines,Q11635468
Akaiwa Shrine,Q11635823
Akaizuka Kofun,Q123349012
Akamonue Kofun,Q4700239
Akane Shrine,Q17191164
Akao Shibutare Kōribe Shrine,Q117452953
Akaruhime-no-Kami,Q555212
Akaruhimenomikoto Shrine,Q117848511
Akasaka Kaminoyama Shrine,Q11635398
Akasaka Tennozan Kofun,Q11635409
Akasakaimai Tumuli,Q11635401
Akasaki Shrine,Q11635561
Akashi no Kuni no Miyatsuko,Q108487216
Akatsuchiyama Kofun,Q85480062
Akayu Onsen,Q11635793
Akayu Onsen (Niigata),Q11635795
Akeai Kofun,Q11512013
"Aki District, Hiroshima",Q1351074
Aki Shrine,Q11657607
Akiba Gongen,Q2680724
Akiba Shrine,Q11595842
Akiba Shrines,Q11595841
Akibayama Kofun Cluster,Q11595836
Akidono Minami Kofun,Q84638424
Akihasan Hongū Akiha Shrine,Q500413
Akiru Shrine,Q11657213
Akita Gokoku Shrine,Q11595542
Akita Kantō,Q4701224
Akita Suwa Shrine,Q17191063
Ako Goshi Festival,Q11635899
Akshobhya,Q756612
Akuma (folklore),Q2829166
Akura Takatsuka Kofun,Q83070704
Akuro O,Q18700408
Akuto Shrine,Q11657135
Akōbō Kofun Cluster,Q11657264
All-Devourer,Q2648719
Alum springs,Q11416420
Ama (female diver),Q15900642
Ama Clan Genealogy,Q11559330
Ama Kazukime Shrine,Q17191773
Ama People,Q9495537
Ama-no-Inukai clan,Q55529579
Ama-no-Iwato-wake no Kami,Q10940542
Ama-no-Oshihi,Q10939616
Ama-no-iwafune,Q126914107
Amabe Caste,Q55528867
Amabe clan,Q65272445
Amagasaki Ebisu Shrine,Q22117785
Amago clan,Q2575609
Amakashi-ni-imasu Shrine,Q11574285
Amamikoso Shrine,Q11658015
Amamikyu,Q18236531
Amamiyama Kofun,Q11450943
Amanawa Shinmei Shrine,Q2841005
Amano-Iwato,Q3231835
Amanohashidate,Q259727
Amanohohinomikotono Shrine,Q135038794
Amanoiwatate Shrine,Q11443184
Amanoiwato Shrine,Q2841102
Amanoiwato Shrine (Fukuchiyama),Q11442563
Amanokakoyamano- Shrine,Q135039033
Amanokume no Mikoto,Q10939945
Amanomichine,Q10940767
Amanosagiri-no-Kami,Q135330332
Amanotanagao Shrine,Q11442606
Amaoshio no mikoto,Q97613650
Amaterasu,Q455602
Amaterasu Sumemioya Shrine,Q20038509
Amaterasu Ōmikami Takakura Shrine & Iwato Shrine,Q11442907
Amato Hime-no-Mikoto,Q121355874
Amatomi no Mikoto,Q24899653
Amatsu Shrine (Narashino City),Q11442801
Amatsu-Mikaboshi,Q4740636
Amatsuhikone,Q10940228
Amatsuihatowakeno Shrine,Q135039024
Amatsuihatowakewakahimeno Shrine,Q135038769
Amatsuka Kofun,Q11442478
Amatsukami,Q60994492
Amatsukunitama-no-Mikoto,Q135113177
Amayukawata Shrine,Q63891125
Amazake,Q455990
Amduat,Q460509
Ame no Hohi,Q10940685
Ame no Murakumo,Q91088537
Ame no Wakahiko,Q10940674
Ame-no-Fuyukinu,Q48744862
Ame-no-Hibaraooshinadomi-no-Kami,Q60996386
Ame-no-Hiwashi Shrine (disambiguation),Q65270357
Ame-no-Ikutama,Q97184246
Ame-no-Kaguyama,Q10940849
Ame-no-Koyane,Q2564508
Ame-no-Mahitotsu-no-Mikoto,Q10016750
Ame-no-Mikage-no-Kami,Q134879671
Ame-no-Mikumari-toyoura Shrine,Q135098895
Ame-no-Minakanushi,Q2842779
Ame-no-Miya Shrine,Q30934659
Ame-no-Oshikumone,Q91088537
Ame-no-Shirahano Shrine,Q11442597
Ame-no-Tokotachi,Q10939047
Ame-no-Tsudoechine,Q55533659
Ame-no-Uzume,Q462803
Ame-no-Yukawata,Q52319907
Ame-no-ohabari,Q10939046
Ame-no-torifune,Q10731425
Ame-no-ukihashi,Q108376881
Amefutotama-no-Mikoto Shrine,Q11442508
Ameku-gū,Q11442211
Amenohiboko,Q713100
Amenohoakari,Q10940411
Amenoihasuhino Shrine,Q135038843
Amenomiya Kofun Cluster,Q11659618
Amenophis Festivals,Q462580
Amenotakechi Shrine,Q54153272
Amenotaneko,Q106107027
Ami Hama Chausuyama Kofun,Q55522478
Amidaji Kofun Cluster,Q116776991
Amino Chōshiyama Kofun,Q11607242
Amitābha,Q236242
Amoghapasha,Q11361835
Amoghasiddhi,Q597586
Amonotoyototsu-hime,Q10940731
Amun-Ra,Q481554
Amun-Re Festival,Q481558
An (Shinto),Q2844863
Anafukino Shrine,Q135038817
Anagahayama Kofun,Q111657088
Anakannon Kofun,Q11597258
Anamizu Ōmiya,Q11597236
Anashi-Nimasu Hyōzu Shrine,Q11597229
Anashinoohohiyauzuno Shrine,Q135098834
Ancestors of the Emperor,Q11581090
Ancestral shrine,Q249027
Ancient Egyptian Day,Q1669420
Ancient Egyptian Lunar Calendar,Q1944246
Ancient Egyptian Valley Temple,Q1585619
Ancient Egyptian cryptography,Q447064
Ancient Japanese Census Registration System,Q11410913
Anderayama Kofun,Q130455352
Andon-yama Kofun,Q11626169
Anegasaki Tenjinyama Kofun,Q11447263
Anekoji Street,Q11447242
Anesaki Futagozuka Kofun,Q11447258
Anesaki Kofun Group,Q17191614
Anesaki Shrine,Q11447235
Anesaki district,Q27500978
Anfuku-ji (Kashiwara),Q11451150
Ani Shrine,Q11450252
Anju-in,Q11450265
Ankokoji (Chino City),Q20043040
Annual event,Q11483816
Anpuku-ji Temple,Q11451148
Anrakuju-in,Q2852420
Antoku Ōzuka Kofun,Q125236214
Anumi Shrine,Q11657487
Aoba Shrine,Q2857954
Aoi Matsuri,Q773085
Aoki Shrine,Q128845393
Aomori Gokoku Shrine,Q21652327
Aosamurai,Q11661103
Aoshima Shrine,Q2857985
Aoso Shrine,Q11662833
Aotsuka Kofun,Q11661131
Aoyama Kumano Shrine,Q11568955
Aozuka Kofun (Kannonji City),Q11661130
April (Lunisolar),Q839352
April 1 (Lunisolar),Q839301
April 10 (Lunisolar),Q839167
April 11 (Lunisolar),Q838941
April 12 (Lunisolar),Q839183
April 13 (Lunisolar),Q839173
April 14 (Lunisolar),Q839045
April 15 (Lunisolar),Q839077
April 16 (Lunisolar),Q839296
April 17 (Lunisolar),Q839398
April 18 (Lunisolar),Q839394
April 19 (Lunisolar),Q839333
April 2 (Lunisolar),Q839120
April 20 (Lunisolar),Q839311
April 21 (Lunisolar),Q839373
April 22 (Lunisolar),Q839306
April 23 (Lunisolar),Q839362
April 24 (Lunisolar),Q839640
April 25 (Lunisolar),Q839510
April 26 (Lunisolar),Q839623
April 27 (Lunisolar),Q839450
April 28 (Lunisolar),Q839506
April 29 (Lunisolar),Q839489
April 3 (Lunisolar),Q838906
April 30 (Lunisolar),Q839471
April 4 (Lunisolar),Q838910
April 5 (Lunisolar),Q838972
April 6 (Lunisolar),Q838869
April 7 (Lunisolar),Q839052
April 8 (Lunisolar),Q839007
April 9 (Lunisolar),Q838863
Arahitogami,Q521834
Arai Hakuseki,Q467616
Arakashi Shrine,Q11618763
Arakawa River (Yamanashi),Q11618500
Arakawato Hime,Q97539561
Araki Shrine (Uchi district),Q120324086
Arakida clan,Q11618716
Arakura Fuji Asama Shrine,Q105949368
Aramatsuri-no-Miya,Q2859485
Aramino Shrine,Q135038798
Araogawa Shrine (Naruko Onsen),Q11618879
Araogawa Shrine (Osaki City Iwadeyama Ikezuki),Q11618878
Arashima Kofun Cluster,Q122942300
Aratawake,Q17216467
Archaeological excavation,Q959782
Argha,Q11656525
Aridagawa River,Q8378912
Arihono Shrine,Q135039175
Arikawa Shrine,Q11516392
Arikoyama Castle,Q11516348
Arima Shrine,Q11516720
Arioka Kofun Cluster,Q107605129
Aritōshi Shrine,Q11625900
Aritōshi Shrine (Izumisano),Q11625900
Aritōshi Shrine (Tanabe),Q11625904
Artificial Hot Spring,Q11375977
Asahi Tenjinyama Kofun,Q11517469
Asai Shrine,Q11556982
Asai Shrine (Takaoka Ishizutsumi),Q115187945
Asaka Shrine,Q11657390
Asakozuka Kofun,Q17214570
Asakuma Shrine,Q17191186
Asakuma Shrine (disambiguation),Q16276586
Asakura Kofun,Q18989915
Asakura Shrine,Q11517327
Asakura Shrine (Kōchi),Q11517327
Asakusa,Q720644
Asakusa Fuji Sengen Shrine,Q117411837
Asakusa Shrine,Q670049
Asashiro Shrine,Q11517252
Asato-Hachimangū,Q11451643
Ashihara Shrine,Q17191305
Ashihara no Nakatsukuni,Q1096244
Ashinaga Shrine,Q11637062
Ashinataka-no-Kami,Q55533749
Ashinazuchi and Tenazuchi,Q643763
Ashitaka Shrine,Q11637069
Ashiyu,Q725522
Ashizumi Jinja / Yukisugi Tenmangū,Q11657432
Ashizumi Shrine,Q11657433
Aso Pink Stone,Q106301371
Aso Shrine,Q715639
"Aso Shrine (Hashima, Gifu)",Q11657662
Aso clan,Q11657653
Ason,Q4807592
Association of Shinto Shrines,Q908077
Astronomical events,Q751989
Asuka,Q11665953
Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine,Q135039012
Asuka Shrine,Q11658011
Asuka Stone Carvings,Q11665937
"Asuka, Yamato",Q752394
Asuka-ni-Imasu Shrine,Q11665959
Asukabe Shrine,Q11665970
Asukanoyamakuchino Shrine,Q135098850
Asukata Shrine (Kakamigahara City),Q124481960
Asukatano Shrine,Q135038790
Asura (Buddhism),Q1637262
Atago Faith,Q11493823
Atago Fire Festival,Q11493854
Atago Gongen,Q1101132
Atago Matsuri,Q11493868
Atago Matsuri (Tanba City),Q48745772
Atago Shrine,Q11493863
Atago Shrine (Ageo),Q128866607
Atago Shrine (Gujō),Q11493869
Atago Shrine (Kameoka),Q11493857
Atago Shrine (Kuki Honcho),Q11493855
Atago Shrine (Kyoto),Q713021
Atago Shrine (Matsushima),Q11493864
Atago Shrine (Sendai),Q11493856
Atago Shrine (Shiroi),Q11493865
Atago Shrine (Tendō),Q11493860
Atago Shrine (Tokyo),Q2868748
"Atago Shrine (Toyosato, Tome)",Q20042964
Atago Shrine (Tsuchiura),Q11493858
Atago Shrine (Yonezawa City/Toyama),Q11493866
Atagoyama Cave Tombs,Q11493845
Atagoyama Kofun,Q11493844
Atagoyama Kofun (Mito),Q11493842
Atagozuka Kofun,Q28154560
Atagozuka Kofun (Mibu),Q17988414
Atagozuka Kofun (Shimotsuke),Q38279188
Atahimeno Shrine,Q135038962
Atami Onsen,Q11569090
Atayuta Shrine,Q11657360
Athlete Voyeurism,Q109594455
Ato no Sukune,Q11450750
Ato no Ōtari,Q83680939
Atobe Dancing Nembutsu,Q28691027
August (Lunisolar),Q841072
August 1 (Lunisolar),Q840103
August 10 (Lunisolar),Q840142
August 11 (Lunisolar),Q840149
August 12 (Lunisolar),Q840295
August 13 (Lunisolar),Q840292
August 14 (Lunisolar),Q840163
August 15 (Lunisolar),Q835516
August 16 (Lunisolar),Q840140
August 17 (Lunisolar),Q840155
August 18 (Lunisolar),Q840278
August 19 (Lunisolar),Q840369
August 2 (Lunisolar),Q840066
August 20 (Lunisolar),Q840168
August 21 (Lunisolar),Q840225
August 22 (Lunisolar),Q840093
August 23 (Lunisolar),Q840342
August 24 (Lunisolar),Q840034
August 25 (Lunisolar),Q840095
August 26 (Lunisolar),Q840395
August 27 (Lunisolar),Q840411
August 28 (Lunisolar),Q840180
August 29 (Lunisolar),Q840048
August 3 (Lunisolar),Q840073
August 30 (Lunisolar),Q840315
August 4 (Lunisolar),Q840014
August 5 (Lunisolar),Q840100
August 6 (Lunisolar),Q840382
August 7 (Lunisolar),Q840221
August 8 (Lunisolar),Q840029
August 9 (Lunisolar),Q840134
Autumn Matsuri,Q11595783
Aviation Shrines,Q30319396
Awa Province,Q419412
Awa Seven Lucky Gods Pilgrimage,Q11657506
Awa Shrine,Q705547
Awa Shrine (disambiguation),Q79727319
Awa Tanuki Gassen,Q10564964
Awa Village,Q11657550
Awa-Miko Shrine,Q17192448
Awa-shi,Q65291985
Awaga Daimyojin Mototsufumi,Q136720350
Awaga Shrine,Q11604651
Awashima Shrine (Kainan),Q11604597
Awashima Shrine (Uto City),Q11604598
Awashima Shrine (Wakayama),Q7007362
Awashima-no-Kami,Q1575740
Awata Shrine,Q11604632
Ayamezuka Kofun,Q11619951
Ayashi no Taue Odori,Q24864987
Ayato-Kunaka Shrine,Q11607305
Ayazuka Kofun,Q106509721
Ayukai Hachimangu,Q11674156
Azayama Shrine,Q131342165
Azuma Kofun,Q17191453
Azuma Shrine,Q11416639
Azuma Shrine (Gotemba),Q119929631
Azuma Shrine (Kisarazu City),Q11416641
Azuma Shrine (Nakanojo),Q131275531
Azuma Shrine (Ninomiya Town),Q11416640
Azuma Shrine (Yokohama),Q134926948
Azuma-asobi,Q11528414
Azumi no Muraji Hamako,Q55407357
Azumi people,Q3377806
Azumi-no-isora,Q1755974
Baekje Annals,Q11244191
Baikihira Kofun,Q61750527
Baizuka,Q11658220
Baktiu,Q804527
Bakuya Kofun,Q11570540
Banana-type myth,Q11327952
Banchō Sarayashiki,Q1369219
Banshū Autumn Matsuri,Q11498705
Banzan Kofun,Q65274142
Baronial Houses,Q11610202
Basho-zuka Kofun,Q28608903
Bashoukeoisei,Q11428085
Bastet Festival,Q810587
Bath Additive,Q2869238
Bath tax,Q11388992
Bekkyū Ōyamazumi Shrine,Q11396681
Bengala,Q1054292
Benkei festival,Q18339240
Benkei-ga-ana Kofun,Q11486937
Bentenjima (Nemuro),Q11486910
Bentenyama Kofun,Q17216710
Benzaiten,Q818468
Benzaiten (Shiroi),Q11486977
Benzaiten Shrine,Q11486979
Benzaiten shrines,Q818468
Beppu Hatto Onsen Festival,Q11396697
Bessho Chausuyama Kofun,Q22120261
Bettō-ji,Q11396755
Bicarbonate springs,Q11567142
Bikuniyama Cave Tomb Cluster,Q17224170
Bingo Gokoku Shrine,Q11387373
Bingo no Kuni Fudoki,Q11387368
Bipedal ring pattern,Q117086855
Bitchū-no-kuni Sōjagū,Q11608173
Biwazuka Kofun,Q17230002
Bizen Kurazuka Kofun,Q11387347
Bizen-no-Kuni Sōjagū,Q11387324
Bobata Onsen,Q11547236
Boden Kofun Group,Q55464290
Bodice,Q930924
Bohai Sea,Q181969
Bohol Sea,Q242326
Bokeyama Kofun,Q11338602
Book of the Day,Q997784
Book of the Night,Q136721327
Boutros Boutros-Ghali,Q1257
Bovidae in Chinese mythology,Q19839924
Box-type Sarcophagus,Q17221566
Brahmi (disambiguation),Q897331
Brahmin,Q47140
Brave (web browser),Q22906900
Brazilian Highlands,Q118899
Brazilian schools in Japan,Q11222665
Breakthrough (military),Q2920535
Breath of Fire,Q904008
Breech-loading swivel gun,Q11246676
Briar (software),Q18210428
Brine spring,Q11428612
British Isles,Q38272
British Israelism,Q2302742
British royal family,Q645968
Buddhist ethics,Q550068
Buke,Q2927809
Bungo no Kuni Fudoki,Q11633698
Bunrei,Q195793
Buppōshōryū-ji,Q111436290
