term	qid	wd_en	desc	mine_ja	wd_ja	mine_zh	wd_zh	differs
All Saints	Q165386	All Saints	British girl group	諸聖人	オール・セインツ	诸圣	聖女合唱團	ja,zh,ko
Saint Andrew	Q43399	Andrew the Apostle	religious figure of the Christian 	アンデレ	アンデレ	安德肋	安得烈	zh,ko
Saint Anne	Q164294	Saint Anne	mother of Virgin Mary in Christian	アンナ	アンナ	亚纳	聖安妮	zh
Saint Anthony	Q170547	Anthony the Great	Egyptian Christian monk, hermit, a	アントニオ	大アントニオス	安多尼	聖安東尼	ja,zh,ko
Saint Barbara	Q192816	Saint Barbara	early Christian saint and martyr, 	バルバラ	バルバラ	巴尔巴拉	白芭蕾	zh
Saint Boniface	Q160445	Saint Boniface	8th‑century Anglo‑Saxon bishop and	ボニファティウス	聖ボニファティウス	波尼法爵	圣波尼法爵	ja,zh
Saint Catherine	Q179718	Catherine of Alexandria	Egyptian missionary, saint depicte	カタリナ	アレクサンドリアのカタリナ	加大肋纳	亚历山大的加大肋纳	ja,zh,ko
Saint Christ	Q1218032	Saint-Christ-Briost	Commune in Somme, France	キリスト		基督	圣克里斯特-布里约斯特	zh
Saint Christopher	Q193507	Saint Christopher	saint in the Catholic and Orthodox	クリストフォロス	クリストフォロス	圣基道	聖克里斯多福	zh,ko
Corpus Christi	Q49242	Corpus Christi	city and county seat of Nueces Cou	聖体	コーパス・クリスティ	基督圣体	科珀斯克里斯蒂	ja,zh,ko
Saint Demetrius	Q106772315	Saint Demetrius	painting by Dimitar Simon	デメトリオス		德米特里		
Saint Elijah	Q133507	Elijah	Biblical prophet	エリヤ	エリヤ	厄里亚	以利亞	zh
Saint Francis	Q676555	Francis of Assisi	Italian Catholic saint, friar, dea	フランチェスコ	アッシジのフランチェスコ	方济各	亞西西的方濟各	ja,zh,ko
Saint George	Q48438	Saint George	Christian saint and martyr (died 3	ゲオルギオス	ゲオルギオス	乔治	圣乔治	zh,ko
Saint Isidore	Q3462458	Saint-Isidore	municipality in Chaudière-Appalach	イシドロ		依西多禄		
Saint James	Q28723548	Saint-James	commune in Manche, France	ヤコブ	サン＝ジェームズ	雅各	圣雅姆	ja,zh
Saint John	Q2082	St. John's	capital and largest city of the pr	ヨハネ	セイント・ジョンズ	约翰	聖約翰斯	ja,zh,ko
Saint John the Baptist	Q40662	John the Baptist	1st-century Jewish itinerant preac	洗礼者ヨハネ	洗礼者ヨハネ	施洗约翰	施洗約翰	zh
Saint Joseph	Q918737	Saint-Joseph	commune in Martinique, France	ヨセフ		若瑟	圣约瑟夫	zh
Saint Lawrence	Q509090	Saint Lawrence	parish of Jersey in the Channel Is	ラウレンティウス		老楞佐		
Saint Mamas	Q532019	Mammes of Caesarea	semi-legendary child-martyr	マメス	聖ママス	玛默德	凱撒利亞的馬梅斯	ja,zh
Saint Marina	Q24039028	Saint Marina	painting by Francisco de Zurbarán	マリナ		玛丽娜		
Saint Martin	Q126125	Saint-Martin	French overseas collectivity, part	マルティヌス	サン・マルタン	玛尔定	法屬聖馬丁	ja,zh,ko
Saint Mary	Q345	Mary	mother of Jesus Christ	マリア	聖母マリア	玛利亚	圣母玛利亚	ja,zh
Saint Matthew	Q43600	Matthew the Apostle	Christian evangelist and apostle (	マタイ	マタイ	玛窦	馬太	zh
Saint Maurice	Q274327	Saint-Maurice	commune in Val-de-Marne, France	マウリティウス	サン＝モーリス	毛里丘	圣莫里斯	ja,zh,ko
Saint Michael	Q45581	Michael	archangel in Jewish, Christian, an	ミカエル	ミカエル	弥额尔	米迦勒	zh
Saint Nicholas	Q44269	Saint Nicholas	4th-century Christian bishop and s	ニコラオス	ミラのニコラオス	尼古拉	圣尼古拉	ja,zh,ko
Our Lady	Q345	Mary	mother of Jesus Christ	聖母	聖母マリア	圣母	圣母玛利亚	ja,zh,ko
Our Lady Help of Christians	Q1895556	Mary Help of Christians	title of the Virgin Mary	キリスト信者の扶助者聖母	扶助者聖マリア	进教之佑	圣母进教之佑瞻礼	ja,zh
Our Lady Joy of All Who Sorrow	-	NO MATCH						
Our Lady Queen of Heaven	Q26521357	Our Lady Queen of Heaven	Catholic church in Bayswater, Lond	天の元后		天上元后		
Our Lady Queen of Poland	Q11745453	Our Lady Queen of Poland church in Świebodzin	church building in Świebodzin, Pol	ポーランドの元后聖母		波兰之后圣母		
