qid	title	candidate_kana	lead
Q17226402	上御井神社	かみのみいのじんじゃ	上御井神社（かみのみいのじんじゃ）は、伊勢神宮豊受大神宮（外宮）の所管社。外宮の宮域内、末社の大津神社のさらにその奥に鎮座するが、一般の参拝者が立ち入ることができない場所にあるため、付近から遥拝する。
Q17213708	下御井神社	しものみいのじんじゃ	下御井神社（しものみいのじんじゃ）は、伊勢神宮豊受大神宮（外宮）の所管社。外宮の宮域内、別宮の多賀宮に至る石段の右側、土宮に向かって左側に鎮座する。別名は少宮（わかみや）。
Q17214144	久具都比賣神社	くぐつひめじんじゃ	久具都比賣神社（くぐつひめじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。倭姫命が定めた神社である。 宮川沿いに鎮座し、社地の一部が浸水することがある。
Q687168	伊勢神宮	いせじんぐう	伊勢神宮（いせじんぐう）は、日本の三重県伊勢市にある神社。正式名称は「神宮」（じんぐう）である。他の神宮と区別するために、「伊勢」の地名を冠し伊勢神宮と通称される。出雲国は天照大神であるが、持統天皇から天照大御神を祀り天皇は祭祀とされるようになる。 「伊勢の神宮」、または親しみを込めて「お伊勢さん」「大神宮さん」とも称される。古来、最高の特別格の宮とされ、現在は神社本庁の本宗（ほんそう。全ての神社の上に立つ神社）であり、「日本国民の総氏神」とされる。 律令国家体制における神祇体系のうちで最高位を占め、平安時代には二十二社の中のさらに上七社の1社となった。また、神階が授与されたことのない神社の一つ。明治時代から太平洋戦争前までの近代社格制度においては、全ての神社の上に位置する神社として社格の対象外とされた。
Q17209205	佐美長神社	さみながじんじゃ	佐美長神社（さみながじんじゃ）は、伊勢神宮皇大神宮（内宮）の別宮である伊雑宮の所管社である。本項目では、佐美長神社と同じ境内にある、伊雑宮所管社の佐美長御前神社（さみながみまえじんじゃ）についても記述する。
Q17225472	加努弥神社	かぬみじんじゃ	加努弥神社（かぬみじんじゃ）は、伊勢神宮皇大神宮（内宮）の末社。内宮の末社16社のうち、第9位である。
Q18337174	園相神社	そないじんじゃ	園相神社（そないじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第3位である。 神宮の御園を守る神を祀る。
Q17224770	坂手国生神社	さかてくなりじんじゃ	坂手国生神社（さかてくなりじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。 社名は坂の上に鎮座することに由来し、灌漑用水の神を祀る。
Q17229062	多岐原神社	たきはらじんじゃ	多岐原神社（たきはらじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。土地の神が倭姫命を助けたことから、倭姫命が定め祀った神社である。 宮川沿いに鎮座し、境内の木立の中に川のせせらぎが響く。
Q17222702	大土御祖神社	おおつちみおやじんじゃ	大土御祖神社（おおつちみおやじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。本項目では、大土御祖神社と同座する、内宮末社の宇治乃奴鬼神社（うじのぬきじんじゃ）についても記述する。 2社とも倭姫命の定めた神社である。
Q17223627	大山祇神社 (伊勢市)	おおやまつみじんじゃ	大山祇神社（おおやまつみじんじゃ）は、伊勢神宮皇大神宮（内宮）の所管社。内宮の宮域内、宇治橋東詰から東に進むと衛士見張所があり、見張所付近に子安神社と並び鎮座する。
Q17223392	大水神社	おおみずじんじゃ	大水神社（おおみずじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。本項目では、大水神社と同座する、内宮末社の川相神社（かわあいじんじゃ）および熊淵神社（くまぶちじんじゃ）についても記述する。 3社とも倭姫命が定めた神社であるといい、大水神社は山の神を、川相神社・熊淵神社は水の神を祀る。
Q17222697	大津神社 (伊勢市)	おおつじんじゃ	大津神社（おおつじんじゃ）は、伊勢神宮豊受大神宮（外宮）の末社。外宮の宮域内にあり、北御門脇の小道沿いにある度会国御神社のさらに奥へ進んだところに鎮座する。
Q17227047	奈良波良神社	ならはらじんじゃ	奈良波良神社（ならはらじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第22位である。 社名の奈良波良は「楢原」を意味し、周辺地域がナラの木の多い原野であったことが窺われる。
Q17222830	子安神社 (伊勢市)	こやすじんじゃ	子安神社（こやすじんじゃ）は、伊勢神宮皇大神宮（内宮）の所管社。内宮の宮域内、宇治橋東詰から東に進むと衛士見張所があり、見張所付近に大山祇神社と並び鎮座する。 社名の通り、安産祈願に訪れる人が多い。
Q17194134	宇須乃野神社	うすののじんじゃ	宇須乃野神社（うすののじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。外宮の摂社16社のうち第14位である。本項目では、宇須乃野神社と同座する、外宮末社の県神社（あがたじんじゃ、縣神社 とも表記）についても記述する。 2社とも、山田原を構成する原野の1つである宇須野（宇須乃野）にゆかりの深い神社である。
Q17225978	小俣神社	おばたじんじゃ	小俣神社（おばたじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。外宮の摂社16社のうち第16位であり、外宮摂社としては唯一宮川の外側（西岸）に鎮座する。
Q17223513	山末神社	やまずえじんじゃ	山末神社（やまずえじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。外宮の摂社16社のうち第13位である。
Q17209206	川原神社 (伊勢市)	かわらじんじゃ	川原神社（かわらじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。
Q17230412	御稲御倉	みしねのみくら	御稲御倉（みしねのみくら、ごとうのみくら）は、伊勢神宮皇大神宮（内宮）の所管社。御稲御倉神（みしねのみくらのかみ）とも称する。内宮の宮域内、荒祭宮に向かう道の途中に鎮座する。 小さいながら、内宮と同じ唯一神明造の神社である。
Q17214615	御船神社 (多気町)	みふねじんじゃ	御船神社（みふねじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。本項目では、御船神社と同座する牟弥乃神社（むみのじんじゃ）についても記述する。 どちらも川の神を祀る神社である。
Q17211721	御食神社 (伊勢市)	みけじんじゃ	御食神社（みけじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。外宮の摂社16社のうち第15位である。 地域住民からは産土神として信仰され、「辰神さん」と呼ばれている。
Q17211291	志宝屋神社	しおやじんじゃ	志宝屋神社（しおやじんじゃ）は、伊勢神宮豊受大神宮（外宮）の末社。外宮の末社8社のうち第8位である。 祭神は塩業の神であり、鎮座地の三重県伊勢市大湊町では、かつて製塩業が盛んに行われていた。
Q17212285	志等美神社	しとみじんじゃ	志等美神社（しとみじんじゃ）は、伊勢神宮豊受大神宮（外宮）の摂社。本記事では志等美神社と同じ社地にある外宮摂社の大河内神社（おおこうちじんじゃ）、外宮末社の打懸神社（うちかけじんじゃ）、3社を境内に包摂する旧村社の上社（かみのやしろ）についても記述する。 伊勢神宮に属する125社のうちで神階を有するのは志等美・大河内・打懸の3社のみである。
Q11516220	月讀宮	つきよみのみや	月讀宮（つきよみのみや）は、三重県伊勢市中村町にある神社。伊勢神宮皇大神宮（内宮）別宮。式内社。「月読宮」と略字表記される場合がある。 第62回神宮式年遷宮では、内宮の遷御の約1年後の2014年（平成26年）10月6日午後8時に遷御が行われた。
Q17191186	朝熊神社 (伊勢市)	あさくまじんじゃ	朝熊神社（あさくまじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社としては第1位である。本記事では朝熊神社と同じ社地にある内宮摂社の朝熊御前神社（あさくまみまえじんじゃ）についても記述する。 朝熊神社は内宮の中でも格式の高い神社であり、他の摂社以下の神社に比べ多くの祭祀が行われる。
Q17229533	朽羅神社	くちらじんじゃ	朽羅神社（くちらじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第12位である。 祭神は農耕神で、境内は水田の中に浮かぶ緑の小島のように見える。
Q17218865	棒原神社	すぎはらじんじゃ	棒原神社（すぎはらじんじゃ）は、伊勢神宮皇大神宮（内宮）の摂社。内宮の摂社27社のうち第23位である。 昴（すばる）に由来する神を祀り、この地域で星を利用した占いが行われていたことが窺える。
