shrine	subject	class	verdict	target	via	source
亀山八幡宮 (下関市)	Q11370831	TRANSFER	ITEM	Q715632	宇佐神宮	宇佐神宮
亀山八幡宮 (佐世保市)	Q11370833	TRANSFER	ITEM	Q715632	宇佐神宮	宇佐神宮
亀山神社 (呉市清水)	Q11370879	TRANSFER	ITEM	Q715632	宇佐神宮	宇佐神宮
五社神社・諏訪神社	Q11372582	TRANSFER	ITEM	Q714559	春日大社	春日大社
井草八幡宮	Q11373756	NETWORK	ITEM	Q261637	八幡神	八幡神（源氏の八幡信仰）
今宮戎神社	Q11376859	TRANSFER	ITEM	Q692714	八坂神社	八坂神社
伊勢山皇大神宮	Q11378990	TRANSFER	ITEM	Q687168	伊勢神宮	伊勢神宮
佐嘉神社	Q11383096	TRANSFER	AMBIGUOUS		松原神社 (disambiguation page)	松原神社
八幡朝見神社	Q11391001	TRANSFER	ITEM	Q701403	鶴岡八幡宮	鶴岡八幡宮
八重垣神社	Q3571285	TRANSFER	ITEM	Q11664579	須我神社	須我神社
大原野神社	Q3594020	TRANSFER	ITEM	Q714559	春日大社	春日大社
大宮八幡宮 (杉並区)	Q10934922	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮
大杉神社	Q11435950	TRANSFER	ITEM	Q705542	大神神社	大神神社
土佐神社	Q704890	TRANSFER	ITEM	Q11675401	鳴無神社	鳴無神社
坐摩神社	Q11425667	NETWORK	NO_ARTICLE			宮中（神祇官西院）の坐摩神
伊曽乃神社	Q11379396	TRANSFER	ITEM	Q687168	伊勢神宮	伊勢神宮
住吉神社 (小樽市)	Q11381867	NETWORK	ITEM	Q1114013	住吉神	住吉神（総本社は住吉大社、勧請元社名なし）
冨士山下宮小室浅間神社	Q11459659	NETWORK	ITEM	Q653180	inferred head: 富士山本宮浅間大社	富士山・浅間大神（二合目からの勧請説は記事が否定）
函館八幡宮	Q11395952	NETWORK	ITEM	Q261637	八幡神	八幡神（勧請元社名なし）
劔神社	Q11398386	TRANSFER	NO_ARTICLE			伊部郷座ヶ岳の素盞嗚尊神霊
北口本宮冨士浅間神社	Q11401286	TRANSFER	ITEM	Q11395081	冨士御室浅間神社	冨士御室浅間神社
北海道神宮	Q710826	TRANSFER	ITEM	Q2264720	神祇官	神祇官（東京の北海道鎮座神祭）
太皷谷稲成神社	Q11444477	TRANSFER	ITEM	Q714828	伏見稲荷大社	伏見稲荷大社
宇佐神宮	Q715632	TRANSFER	ITEM	Q11432652	大分八幡宮	大分八幡宮
千栗八幡宮	Q11405620	NETWORK	ITEM	Q715632	宇佐八幡宮	宇佐八幡宮（五所別宮の一）
吉備津彦神社	Q500763	NETWORK	ITEM	Q712824	吉備津神社	吉備津神社（本宮）
吉備津神社 (福山市)	Q6404042	TRANSFER	ITEM	Q712824	吉備津神社	吉備津神社
吉田神社	Q713177	TRANSFER	ITEM	Q714559	春日大社	春日大社
吉野神宮	Q11414497	TRANSFER	ITEM	Q3572667	吉水神社	吉水神社
安房神社	Q705547	NETWORK	ITEM	Q11442508	天太玉命神社	天太玉命神社（忌部氏祖神・阿波忌部の東遷）
一之宮貫前神社	Q10863796	TRANSFER	ITEM	Q130456565	咲前神社	咲前神社
三嶋大社	Q650772	TRANSFER	ITEM	Q703904	大山祇神社	大山祇神社
上川神社	Q11358960	NETWORK	ITEM	Q455602	天照大神	天照大神（本社の由来記載なし。太宰府天満宮分霊は境内社）
中山神社	Q11364246	TRANSFER	ITEM	Q135646238	吉備中山	吉備中山（吉備津彦神社／吉備津神社の地）
師岡熊野神社	Q11481110	NETWORK	ITEM	Q11568925	熊野大権現	熊野大権現（熊野三山）
帯廣神社	Q11481193	TRANSFER	ITEM	Q710826	札幌神社	札幌神社（現・北海道神宮）
平塚八幡宮	Q11482330	TRANSFER	ITEM	Q715632	宇佐神宮	宇佐神宮
平濱八幡宮	Q11483250	NETWORK	ITEM	Q710098	石清水八幡宮	石清水八幡宮（平浜別宮）
平野神社	Q738971	TRANSFER	ITEM	Q862509	平城京	田村後宮（平城京、今木神の旧鎮座地）
寒河江八幡宮	Q11457413	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮（京都男山八幡宮）
射楯兵主神社	Q11458547	NETWORK	ITEM	Q65320	伊和神社	伊和神社（伊和大神＝兵主大神）／播磨の伊和族
尾山神社	Q998709	TRANSFER	ITEM	Q125927189	宇多須神社	卯辰八幡社（現・宇多須神社）
忌部神社	Q11490722	TRANSFER	AMBIGUOUS		五所神社 (disambiguation page)	五所神社（美馬郡西端山、現・境外摂社御所神社）
志和稲荷神社	Q11490845	TRANSFER	ITEM	Q714828	伏見稲荷大社	伏見稲荷大社
日枝神社 (千代田区)	Q702042	TRANSFER	ITEM	Q11509531	仙波日枝神社	仙波日枝神社（川越・無量寿寺鎮守）
日枝神社 (富山市)	Q11509530	NETWORK	ITEM	Q11470054	山王権現	日吉神社（日枝山麓）／山王権現信仰
日牟禮八幡宮	Q11509681	TRANSFER	ITEM	Q715632	宇佐八幡	宇佐八幡（宇佐神宮）
春日大社	Q714559	TRANSFER	ITEM	Q706499	鹿島神宮	鹿島神宮（あわせて香取神宮・枚岡神社）
春日神社 (大分市)	Q11513662	TRANSFER	ITEM	Q714559	春日大社	春日大社
東京大神宮	Q11524717	TRANSFER	ITEM	Q687168	伊勢神宮	伊勢神宮（皇大神宮）
柞原八幡宮	Q195715	TRANSFER	ITEM	Q715632	宇佐八幡宮	宇佐八幡宮（宇佐神宮）
桜山八幡宮	Q11537980	NETWORK	ITEM	Q261637	八幡大神	八幡大神（応神天皇）
櫛田神社 (福岡市)	Q865839	TRANSFER	ITEM	Q11544726	櫛田神社 (松阪市)	櫛田神社 (松阪市)
武水別神社	Q11546041	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮
水戸東照宮	Q11548625	NETWORK	ITEM	Q1190456	東照宮	東照宮（東照大権現・徳川家康）
氷川神社	Q703633	TRANSFER	ITEM	Q11528832	杵築大社	杵築大社（出雲大社）
氷川神社 (川越市)	Q11549607	NETWORK	ITEM	Q11549596	氷川神	氷川神（大宮氷川神社・氷川信仰）
浅間神社 (笛吹市)	Q11557476	TRANSFER	ITEM	Q1071160	摂社	山宮神社（摂社・元宮）
深志神社	Q11560040	TRANSFER	ITEM	Q662176	北野天満宮	北野天満宮
湯島天満宮	Q335606	NETWORK	ITEM	Q382005	菅原道真	菅原道真（天神信仰／天満宮）※勧請元の社名なし
熊野神社 (南陽市)	Q288312	TRANSFER	ITEM	Q10403700	熊野三山	熊野三山（紀伊国熊野権現）
熱田神宮	Q482065	TRANSFER	ITEM	Q687168	伊勢神宮	伊勢神宮（皇大神宮）
琴崎八幡宮	Q11573763	TRANSFER	ITEM	Q715632	宇佐神宮	宇佐神宮（宇佐八幡）
甲宗八幡神社	Q11577728	TRANSFER	ITEM	Q715632	宇佐八幡宮	宇佐八幡宮（男山遷座途次の分祀）
白山神社 (新潟市中央区一番堀通町)	Q11579595	TRANSFER	ITEM	Q704702	白山比咩神社	白山比咩神社
白峯神宮	Q705635	TRANSFER	ITEM	Q929682	讃岐国	白峯陵・頓証寺殿（讃岐国）
盛岡八幡宮	Q11581351	TRANSFER	ITEM	Q710098	石清水八幡宮	石清水八幡宮
石上神宮	Q708859	TRANSFER	ITEM	Q11453221	宮中	宮中（宇摩志麻治命の斎場。一説に石上布都魂神社）
石清水八幡宮	Q710098	TRANSFER	ITEM	Q715632	宇佐神宮	宇佐神宮
祐徳稲荷神社	Q251682	TRANSFER	ITEM	Q714828	伏見稲荷大社	伏見稲荷大社
神明神社 (福井市)	Q11590317	TRANSFER	ITEM	Q687168	伊勢神宮	伊勢神宮（内宮・皇大神宮）
神柱宮	Q3192663	TRANSFER	ITEM	Q687168	伊勢神宮	伊勢神宮
神田明神	Q717682	NETWORK	ITEM	Q696362	inferred head: 出雲大社	出雲系氏族の祖神・大己貴命
福山八幡宮	Q11592011	NETWORK	ITEM	Q261637	八幡神	八幡神
秋田諏訪宮	Q17191063	NETWORK	ITEM	Q218813	諏訪大社	諏訪大社（建御名方富命・諏訪大祝家）
