action	shrine	qid	class	p612_value_wanted	detail	evidence	jawiki
CREATE ITEM	井中神社	—	AUTOCHTHONOUS	Q135508874	redirect → 伊我理神社	井中神は、神田の井泉の神であるとされる。	https://ja.wikipedia.org/wiki/%E4%BA%95%E4%B8%AD%E7%A5%9E%E7%A4%BE
CREATE ITEM	佐美長御前神社	—	AUTOCHTHONOUS	Q135508874	redirect → 佐美長神社	別の説では伊佐波登美神の子孫の霊を祀るとする。	https://ja.wikipedia.org/wiki/%E4%BD%90%E7%BE%8E%E9%95%B7%E5%BE%A1%E5%89%8D%E7%A5%9E%E7%A4%BE
CREATE ITEM	大河内神社	—	AUTOCHTHONOUS	Q135508874	redirect → 志等美神社#大河内神社	志等美・大河内・打懸の3社は付近を流れる宮川の洪水から地域を守る堤防の守護神として祀られた。	https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%B2%B3%E5%86%85%E7%A5%9E%E7%A4%BE
CREATE ITEM	宇治乃奴鬼神社	—	AUTOCHTHONOUS	Q135508874	redirect → 大土御祖神社	2社とも倭姫命の定めた神社である。	https://ja.wikipedia.org/wiki/%E5%AE%87%E6%B2%BB%E4%B9%83%E5%A5%B4%E9%AC%BC%E7%A5%9E%E7%A4%BE
CREATE ITEM	宮比神	—	AUTOCHTHONOUS	Q135508874	redirect → 興玉神	3社とも社殿を持たない神社であり、祭神は内宮の守護神である。	https://ja.wikipedia.org/wiki/%E5%AE%AE%E6%AF%94%E7%A5%9E
CREATE ITEM	屋乃波比伎神	—	AUTOCHTHONOUS	Q135508874	redirect → 興玉神	祭神は社名と同じ屋乃波比伎神。正宮の神庭の守護神である。	https://ja.wikipedia.org/wiki/%E5%B1%8B%E4%B9%83%E6%B3%A2%E6%AF%94%E4%BC%8E%E7%A5%9E
CREATE ITEM	川相神社	—	AUTOCHTHONOUS	Q135508874	redirect → 大水神社	3社とも倭姫命が定めた神社であるといい、大水神社は山の神を、川相神社・熊淵神社は水の神を祀る。	https://ja.wikipedia.org/wiki/%E5%B7%9D%E7%9B%B8%E7%A5%9E%E7%A4%BE
CREATE ITEM	打懸神社	—	AUTOCHTHONOUS	Q135508874	redirect → 志等美神社#打懸神社	志等美・大河内・打懸の3社は付近を流れる宮川の洪水から地域を守る堤防の守護神として祀られた。	https://ja.wikipedia.org/wiki/%E6%89%93%E6%87%B8%E7%A5%9E%E7%A4%BE
CREATE ITEM	朝熊御前神社	—	NETWORK	?	redirect → 朝熊神社 (伊勢市)	その後、朝熊神社の隣に朝熊御前神社が建てられ、鏡宮神社は朝熊神社から独立した神社となった。	https://ja.wikipedia.org/wiki/%E6%9C%9D%E7%86%8A%E5%BE%A1%E5%89%8D%E7%A5%9E%E7%A4%BE
CREATE ITEM	毛理神社	—	AUTOCHTHONOUS	Q135508874	redirect → 河原神社 (伊勢市)	毛理神社の祭神は木神。鎮座地の森の神木の神である。	https://ja.wikipedia.org/wiki/%E6%AF%9B%E7%90%86%E7%A5%9E%E7%A4%BE
