Q134957578|Lmin|"Kuil Koyasu"
Q135460729|Lzh-hk|"日吉神社"
Q17229311|Lth|"ศาลเจ้า โทงะ"
Q11555372|Lcdo|"huák ông sê"
Q135707883|Lcdo|"huák gái sê"
Q135446530|Lid|"Wihara Chōen-ji"
Q135709085|Lzh|"曹源寺"
Q134595555|Lceb|"Templong Inari"
Q135115308|Lceb|"Templong Kōshō-ji"
Q11659439|Lvi|"Chùa Sōrin-ji"
Q135444142|Lkm|"ចោជុឥន មំទិរ"
Q135154645|Lel|"Ιερό Οντακε"
Q124496421|Lsl|"Tempelj Džingu-dži"
Q135259541|Lzh-sg|"星宫神社"
Q11394898|Lla|"Templum Enryū-ji"
Q135579293|Lnb|"Iwafune Inari-helligdommen"
Q135462458|Ltr|"Oyamazumi Tapınağı"
Q134956653|Llt|"Takeši Sokus maldykla"
Q134988948|Lzh-tw|"鎌倉神社"
Q134604603|Lshn|"ၼေၼေႃၵမိ မံၻိရ"
