=== RANKING SEQUENCE ANOMALIES ===
These parents have non-sequential rankings:

  Q11442961 (Tennōgū Ōtoshi Shrine): rankings=[2], expected=[1]
  Q11659237 (Ogami Shrine (Tonami City)): rankings=[2], expected=[1]
  Q135039294 (Hatada Shrine): rankings=[2, 3], expected=[1, 2]
  Q135039517 (Ueno Shrine): rankings=[1, 2, 2, 3, 4, 5, 6, 7], expected=[1, 2, 3, 4, 5, 6, 7, 8]
  Q135039520 (Katayamano Shrine): rankings=[0, 1, 2, 2], expected=[0, 1, 2, 3]
  Q135040569 (Miheno Shrine): rankings=[2, 3], expected=[1, 2]
  Q135040778 (Nimasukarakuniitateno Shrine): rankings=[0, 0, 0, 3, 4], expected=[0, 1, 2, 1, 2]
  Q135041216 (Momoiyamano Shrine): rankings=[2], expected=[1]
  Q135041251 (Warihimeno Shrine): rankings=[2, 3], expected=[1, 2]

=== MULTIPLE P13677 — NEEDS MANUAL REVIEW ===
These items have multiple P13677 statements.
Add the correct P958 qualifier manually.

QID	Label	Parent	Ranking	P13677_count	Link_type
Q11610732	Miminashi Yamaguchi Shrine	parent=Q135039027 (Meharano- Shrine)	ranking=2	P13677_count=2	via P460
Q98082987	Amanokaguyama Shrine	parent=Q135039029 (Unehino- Shrine)	ranking=2	P13677_count=2	via P460
Q98082987	Amanokaguyama Shrine	parent=Q135039033 (Amanokakoyamano- Shrine)	ranking=1	P13677_count=2	via P460
Q11608777	Migukurumitama Shrine	parent=Q135039108 (Tokarino Shrine)	ranking=1	P13677_count=2	via P460
Q11586779	Iwatsuta Shrine	parent=Q135039162 (Ihatsutano- Shrine)	ranking=1	P13677_count=2	via P460
Q135270127	Iketano Shrine	parent=Q135039219 (Iketano Shrine)	ranking=0	P13677_count=2	via P460
Q11379327	Ikota Shrine	parent=Q135039219 (Iketano Shrine)	ranking=2	P13677_count=2	via P460
Q11379248	Iwashizu Shrine	parent=Q135039221 (Iwashitsuno Shrine)	ranking=2	P13677_count=2	via P460
Q135270129	Wokatano Shrine	parent=Q135039222 (Wokatano Shrine)	ranking=0	P13677_count=2	via P460
Q135206858	Okata Shrine	parent=Q135039222 (Wokatano Shrine)	ranking=2	P13677_count=2	via P460
Q705297	Nishinomiya Shrine	parent=Q135039223 (Ohokuninushino Shrine)	ranking=1	P13677_count=2	via P460
Q17228423	Kōzaki Shrine & Komori Shrine & Arasaki Shrine	parent=Q135039267 (Kamusakino Shrine)	ranking=1	P13677_count=2	via P460
Q17228121	Katada Shrine	parent=Q135039268 (Wemurano Shrine)	ranking=2	P13677_count=2	via P460
Q17225818	Yuta Shrine	parent=Q135039270 (Raiden Shrine)	ranking=2	P13677_count=2	via P460
Q135186675	E Shrine	parent=Q135039365 (Ohowino Shrine)	ranking=4	P13677_count=2	via P460
Q22120521	Miyake Shrine	parent=Q135039366 (Miyakeno Shrine)	ranking=2	P13677_count=3	via P460
Q135186675	E Shrine	parent=Q135039367 (Eno Shrine)	ranking=2	P13677_count=2	via P460
Q135186710	Kandate Iino Takaichi Shrine	parent=Q135039374 (Takaichino Shrine)	ranking=1	P13677_count=2	via P460
Q135186711	Iino Shrine	parent=Q135039374 (Takaichino Shrine)	ranking=2	P13677_count=2	via P460
Q135186711	Iino Shrine	parent=Q135039382 (Ihinono Shrine)	ranking=1	P13677_count=2	via P460
Q135186710	Kandate Iino Takaichi Shrine	parent=Q135039382 (Ihinono Shrine)	ranking=2	P13677_count=2	via P460
Q22120521	Miyake Shrine	parent=Q135039393 (Ohokano- Shrine)	ranking=0	P13677_count=3	via P460
Q11512854	Hoshinomiya-sha Shrine	parent=Q135039546 (Kamutsuchikamano Shrine)	ranking=2	P13677_count=2	via P460
Q135190252	Rokusho Shrine	parent=Q135039595 (Takane Shrine)	ranking=2	P13677_count=3	via P460
Q135190252	Rokusho Shrine	parent=Q135039596 (Rokusho Shrine)	ranking=2	P13677_count=3	via P460
Q135190252	Rokusho Shrine	parent=Q135039597 (Wakayamatono Shrine)	ranking=2	P13677_count=3	via P460
Q134930633	Habuhime Shrine (Shimoda)	parent=Q135039636 (Hafuhimeno- Shrine)	ranking=0	P13677_count=2	via P460
Q30925511	Sengen Shrine	parent=Q135039637 (Ikamuhimeno- Shrine)	ranking=2	P13677_count=2	via P460
Q110915859	Oshaku Shrine	parent=Q135039642 (Hayashino- Shrine)	ranking=0	P13677_count=5	via P460
Q134893133	Sutou Shrine	parent=Q135039642 (Hayashino- Shrine)	ranking=1	P13677_count=2	via P460
Q110915859	Oshaku Shrine	parent=Q135039644 (Katasukano- Shrine)	ranking=0	P13677_count=5	via P460
Q134930277	Ninomiya Shrine	parent=Q135039645 (Yasuno- Shrine)	ranking=0	P13677_count=3	via P460
Q135192783	Ninomiya Shrine (Tsubota)	parent=Q135039645 (Yasuno- Shrine)	ranking=1	P13677_count=3	via P460
Q134930277	Ninomiya Shrine	parent=Q135039648 (Kamino- Shrine)	ranking=0	P13677_count=3	via P460
