Q11084040	FIX	sanctuaire de Hsinchu	->	sanctuaire d’Hsinchu
Q705310	FIX	sanctuaire de Hakone	->	sanctuaire d’Hakone
Q335618	FIX	sanctuaire Kumano de Hayatama	->	sanctuaire Kumano d’Hayatama
Q11509681	FIX	sanctuaire Hachiman de Himure	->	sanctuaire Hachiman d’Himure
Q22119953	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q38276670	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579592	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579593	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579595	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579596	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579597	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579598	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q11579601	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q60988642	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q111825429	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q73437674	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q75009681	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q77439413	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q128866711	FIX	sanctuaire de Hachiman	->	sanctuaire d’Hachiman
Q115299763	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q131314846	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q131925946	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q117834884	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q119929662	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
Q123114960	FIX	sanctuaire de Hakusan	->	sanctuaire d’Hakusan
