qid	ja	kana	en_label	jawiki	lead_reading	lead
Q109767660	豊栄稲荷神社	ほうえいいなりじんじゃ	Toyosaka Inari Shrine			
Q11084040	新竹神社	しんちくじんじゃ	Hsinchu Shrine	新竹神社	しんちくじんじゃ	新竹神社（しんちくじんじゃ）は、日本統治時代の台湾新竹州新竹市客雅（現新竹市北区）にあった神社である。
Q111040360	長間神社	ながんまじんじゃ	Nagamma Shrine			
Q11393653	兵庫縣神戸護國神社	ひょうごけんこうべごこくじんじゃ	Hyogo Kobe Gokoku Shrine	兵庫縣神戸護國神社	ひょうごけんこうべごこくじんじゃ	兵庫縣神戸護國神社（ひょうごけんこうべごこくじんじゃ）は、兵庫県神戸市灘区篠原北町にある神社（護国神社）である。兵庫県東部（丹波・摂津・淡路）14市出身の英霊53,257柱を祀る。境内敷地は2200坪あり、散華された英霊を慰めるために境内並びに神社前の道路（主要地方道山麓線）に桜が植樹されている。
Q11400330	勝手神社	かつてじんじゃ	Katte Shrine	勝手神社	かつてじんじゃ	勝手神社（かつてじんじゃ）とは奈良県吉野郡吉野町にある神社。祭神は『和漢三才図会』に「勝手社 祭神一座 愛鬘命（うけりのみこと／うけのりのみこと）」とある。また、「受鬘命」とも表記される。現在の主祭神は天忍穂耳命とされている。大山祇命・久久能智命・木花佐久夜比咩命・苔虫命・葉野比咩命が配祀されている。
Q11438318	大祁於賀美神社	おおおかみじんじゃ	Takeokami Shrine	大祁於賀美神社		大祁於賀美神社（たけおかみじんじゃ / おおけおかみじんじゃ / おおおかみじんじゃ）は、大阪府羽曳野市にある神社である。式内社で、旧社格は村社。 「太祁於賀美神社」とも書き、高龗神（たかおかみ「水の神」）を祀る。
Q11447985	孕神社	はらうみじんじゃ	Harami Shrine	孕神社	はらうみじんじゃ	孕神社（はらうみじんじゃ、はらみじんじゃ）は、長崎県南松浦郡新上五島町赤尾郷に鎮座する神社である。
Q11457393	寒川神社	さむかわじんじゃ	Samugawa Shrine	寒川神社 (千葉市)	さむかわじんじゃ	寒川神社（さむかわじんじゃ）は、千葉県千葉市中央区にある神社である。式内小社、旧社格は村社。
Q11499585	敬満神社	きょうまんじんじゃ	Keiman Shrine	敬満神社		敬満神社（けいまんじんじゃ/きょうまんじんじゃ）は、静岡県島田市阪本にある神社。式内社（名神大社）で、旧社格は郷社。
Q11555416	波々伯部神社	ほうかべじんじゃ	Hohokabe Shrine	波々伯部神社	ほほかべじんじゃ	波々伯部神社（ほほかべじんじゃ、ほうかべじんじゃ）は、兵庫県丹波篠山市波々伯部・宮ノ前にある神社。旧社格は県社。「丹波の祇園さん」とも呼ばれる。
Q11556513	洲崎神社	すさきじんじゃ	Sunosaki Shrine	洲崎神社		洲崎神社（すさきじんじゃ/すのさきじんじゃ）は、千葉県館山市洲崎にある神社。式内社（大社）論社で、江戸時代に安房国一宮とされた。旧社格は県社。 御手洗山中腹に鎮座する。
Q11565717	潮江天満宮	うしおえてんまんぐう	Shioe Tenmangū	潮江天満宮	うしおえてんまんぐう	潮江天満宮（うしおえてんまんぐう）は、高知県高知市天神町にある神社。旧社格は県社で、現在は別表神社。 「潮江天満宮」は通称であり、正式名称は「天満宮」。市南半分の産土神であり、高知市の中心部に鎮座することもあって、初詣では土佐国一宮の土佐神社をしのぎ市内最多の参拝者を集める。
Q11565730	潮目天満神社	しおのめてんまんじんじゃ	Shiome Tenman Shrine	潮目天満神社	しおのめてんまんじんじゃ	潮目天満神社（しおのめてんまんじんじゃ）は、長崎県新上五島町七目郷に鎮座する神社である。
Q11583957	矢切神社	やきりじんじゃ	Yagiri Shrine	矢切神社	やきりじんじゃ	矢切神社（やきりじんじゃ）は、千葉県松戸市下矢切にある神社である。
Q11584226	矢留大神宮	やどみだいじんぐう	Yadome-daijingu	矢留大神宮	やどみだいじんぐう	矢留大神宮（やどみだいじんぐう）は、福岡県柳川市矢留町にある神社。単に大神宮とも呼ばれる。祭神は天照皇大神。旧社格は村社。
Q11633342	豊受大神社	とゆけだいじんじゃ	Toyōke Daijinja	豊受大神社	とゆけだいじんじゃ	豊受大神社（とゆけだいじんじゃ）は、京都府福知山市大江町天田内にある神社。旧社格は府社。元伊勢伝承地の1つ。
Q11676455	鹽竈神社	しおがまじんじゃ	Shigama Shrine	鹽竈神社 (仙台市宮城野区)	しおがまじんじゃ	鹽竈神社（しおがまじんじゃ）は、宮城県仙台市宮城野区のJR仙台駅東口の初恋通沿いにある神社。「名掛丁塩釜神社」とも呼ばれる。当社は、同県塩竈市にある鹽竈神社の仮宮を端緒とし、現在は島崎藤村が下宿していた三浦屋の跡地に建つ。
Q118358805	斉斉哈爾神社	チチハルじんじゃ	Qiqihar Shrine	斉斉哈爾神社	チチハルじんじゃ	斉斉哈爾神社（チチハルじんじゃ）はかつて満州国龍江省斉斉哈爾市（現在の中華人民共和国黒竜江省チチハル市）に存在した神社。
Q124392557	香港神社	ほんこんじんじゃ	Hong Kong Shrine	香港神社	ホンコンじんじゃ	香港神社（ホンコンじんじゃ）はかつて香港に存在した神社である。大正公園（現在の香港動植物公園）に位置し、社格は官社である。祭神は天照大神。遺構はまったく現存していない。 香港最初の神社は香港日本人小学校（現在の香港国民学校）に位置し、1935年に創建した。大正公園にある香港神社は1942年10月から工事を開始した。1945年1月に地鎮祭が行われ、同じ年の2月8日に竣工した。
Q125688027	櫟谷七野神社	いちいだにななのじんじゃ	Ichidani Nanano Shichino Kasuga Shrine (Kamigyo Kyoto)			
Q131283920	天照皇大神社	てんしょうこうだいじんじゃ	Tenshō Daijinja			
Q134957407	和物所稲荷神社	あえもんじょいなりじんじゃ	Wamonoshoinari Shrine			
Q135459328	石上神社	いしがみじんじゃ	Isonokami Shrine			
Q135461322	八幡神社	やはたじんじゃ	Hachiman Shrine			
