# name_in_kana batch 11, answered locally 2026-08-24 from the LEAD in each work-file.
#
# The detector flagged ONE and it is a FALSE POSITIVE of a new sub-shape: 旧字体 vs 新字体.
# The item is 香川縣護國神社, the lead opens 香川県護国神社 — 縣/県 and 國/国 are the same
# characters in old and new forms, one shrine. Same class as the 利雁/利鴈 and 尾崎/尾﨑 cases
# the detector already tolerates, but by a different mechanism. See Q11667575.
Q11648360	KANA: れいのみまえしゃ
Q11650775	KANA: くわやまじんじゃ
Q11651155	KANA: ちんこくしゅこくじんじゃ
# 登記上の名称 is 氷川神社; the ITEM is 鎮守氷川神社, so the fuller name is taken
Q11651161	KANA: ちんじゅひかわじんじゃ
Q11651303	KANA: かがみじんじゃ
# lead writes あぶみだ きつきじんじゃ with a space; spaces are dropped
Q11651340	KANA: あぶみだきつきじんじゃ
Q11651927	KANA: ながやじんじゃ
Q11652880	KANA: ながさきけんごこくじんじゃ
Q11653283	KANA: ながはまはちまんぐう
Q11653315	KANA: ながはまじんじゃ
Q11653351	KANA: ながたきはくさんじんじゃ
# a Shingon temple, not a shrine — admitted by Emma's 2026-08-05 "is it a nameable place" rule,
# the same way 歓喜院 was in an earlier batch
Q11653682	KANA: はせでら
Q11654827	KANA: ながのじんじゃ
Q11655234	KANA: かいせいざんだいじんぐう
Q11655374	KANA: まぶしじんじゃ
# 関戸明神（せきどみょうじん）is an alternative name, not the reading of this one
Q11655695	KANA: せきだいみょうじんしゃ
Q11656182	KANA: せきせみまるじんじゃ
Q11656548	KANA: くらがりのもりはちまんしゃ
# 闘鶏神社 / 鬪鷄神社 are other spellings; the item's 鬪雞神社 is the 文化財指定名称
Q11656593	KANA: とうけいじんじゃ
Q11657135	KANA: あくとじんじゃ
# 阿倍王子（あべのおうじ）is the FORMER name; the current one is taken
Q11657249	KANA: あべおうじじんじゃ
Q11657360	KANA: あたゆたじんじゃ
Q11657364	KANA: あぶしなじんじゃ
Q11657390	KANA: あざかじんじゃ
Q11657446	KANA: あちじんじゃ
Q11657447	KANA: あちじんじゃ
Q11657481	KANA: あびたじんじゃ
Q11657487	KANA: あぬみじんじゃ
Q11657564	KANA: あわじんじゃ
Q11657607	KANA: あきじんじゃ
Q11657662	KANA: あそじんじゃ
Q11657681	KANA: あづさみてんじんじゃ
Q11657682	KANA: あずらじんじゃ
Q11657692	KANA: あがじんじゃ
# を is historical kana but the lead states it and the value is hiragana, so it passes the gate
Q11657712	KANA: あちはやをじんじゃ
Q11657713	KANA: あぢかじんじゃ
Q11657965	KANA: あべのじんじゃ
Q11658011	KANA: あすかじんじゃ
Q11658473	KANA: すえあらたじんじゃ
Q11659052	KANA: おきじんじゃ
Q11659061	KANA: おきつしまじんじゃ
Q11659063	KANA: おきつしまじんじゃ
Q11659119	KANA: すずめのみやじんじゃ
Q11659204	KANA: おやまじんじゃ
Q11659212	KANA: おたけひえじんじゃ
# 雄琴神社 is おごと in Ōtsu and おこと in Mibu — same kanji, each lead states its own
Q11659231	KANA: おごとじんじゃ
Q11659232	KANA: おことじんじゃ
Q11659237	KANA: おがみじんじゃ
Q11659243	KANA: ゆうぐんじんじゃ
# 難波八坂神社 is called out by the lead as a misspelling
Q11659527	KANA: なんばやさかじんじゃ
Q11659562	KANA: なんばじんじゃ
Q11659781	KANA: あまたらしじんじゃ
Q11659839	KANA: ゆきがやはちまんじんじゃ
Q11660145	KANA: れいようさきじんじゃ
# lead gives two readings, いかづちじんじゃ、かみなりじんじゃ — first taken
Q11660191	KANA: いかづちじんじゃ
Q11660222	KANA: らいでんじんじゃ
Q11660683	KANA: れいきゅうじんじゃ
Q11660689	KANA: れいこうでんてんまんぐう
Q11660876	KANA: きりしまみねじんじゃ
# a shrine that no longer exists and the former name of 霧島神宮 — still a nameable place
Q11660899	KANA: きりしまじんじゃ
# お初天神 is the 通称, not taken
Q11660942	KANA: つゆのてんじんしゃ
Q11661448	KANA: あおかたじんじゃ
Q11662744	KANA: あおばじんじゃ
Q11662780	KANA: あおがはらじんじゃ
# 静神社 is しず in Naka and しずか in Kyōtango — each lead states its own
Q11663648	KANA: しずじんじゃ
Q11663650	KANA: しずかじんじゃ
Q11664481	KANA: すすきがわじんじゃ
Q11664487	KANA: すくくじんじゃ
# NO_LEAD ×3, the three Okazaki 須佐之男神社. 須佐之男 is Susanoo and sibling items answered
# from their own leads in an earlier batch give すさのおじんじゃ. GUESS, so no source.
Q11664491	GUESS: すさのおじんじゃ
Q11664492	GUESS: すさのおじんじゃ
Q11664493	GUESS: すさのおじんじゃ
Q11664501	KANA: すさじんじゃ
Q11664502	KANA: すさじんじゃ
Q11664503	KANA: すさじんじゃ
Q11664606	KANA: すはまじんじゃ
Q11664823	KANA: すがじんじゃ
Q11664824	KANA: すがじんじゃ
Q11664826	KANA: すがじんじゃ
Q11664846	KANA: すずじんじゃ
Q11664934	KANA: ずかわじんじゃ
Q11665771	KANA: とびはたはちまんぐう
Q11665784	KANA: ひろうじんじゃ
Q11665839	KANA: ひこうじんじゃ
Q11665893	KANA: ひだてんまんぐう
Q11665906	KANA: ひだとうしょうぐう
Q11665917	KANA: ひだそうじゃ
Q11665970	KANA: あすかべじんじゃ
Q11665977	KANA: あすかたじんじゃ
Q11666643	KANA: いいじんじゃ
Q11666644	KANA: いいづみじんじゃ
Q11666684	KANA: いいでさんじんじゃ
# a DISAMBIGUATION page — the lead states no reading and only points at 甲賀市 / 湖南市.
# Disambiguation pages are the excluded class, not a nameable place, so no reading is derived.
Q11666695	NO_KANA: disambiguation page, points at 飯道神社 (甲賀市) and 飯道神社 (湖南市)
Q11666749	KANA: いいがおかはちまんぐう
Q11666826	KANA: やぎじんじゃ
Q11666999	KANA: にぎつじんじゃ
Q11667143	KANA: かぐはしじんじゃ
Q11667186	KANA: かとりじんじゃ
Q11667188	KANA: かとりじんじゃ
Q11667192	KANA: かとりじんじゃ
# FALSE-POSITIVE MISMATCH, see header. 縣/県 and 國/国 are 旧字体/新字体 of the same characters.
Q11667575	KANA: かがわけんごこくじんじゃ
