# name_in_kana batch 3, answered locally 2026-08-23 from the LEAD in each work-file.
# Same rules as batches 1-2. Three answers are not KANA and each says why.
Q11433666	KANA: おおくにぬしじんじゃ
Q11433670	KANA: おおくにたまじんじゃ
Q11434447	KANA: おおみやじんじゃ
Q11434448	KANA: おおみやじんじゃ
Q11434451	KANA: おおみやじんじゃ
Q11434452	KANA: おおみやじんじゃ
Q11434527	KANA: たいしょうぐんじんじゃ
# みちどいごう is the PLACE 道土井郷, not the shrine
Q11434672	KANA: おおやまづみじんじゃ
Q11434673	KANA: おおやまづみじんじゃ
Q11434674	KANA: おおやまづみじんじゃ
Q11434676	KANA: おおやまじんじゃ
Q11434677	KANA: おおやまじんじゃ
Q11434948	KANA: おおじまいなりじんじゃ
Q11435083	KANA: おおあらしてんじんしゃ
Q11435126	KANA: おおかわかみびらふじんじゃ
Q11435394	KANA: おおばじんじゃ
Q11435435	KANA: おおみけじんじゃ
# 大日本国一宮記 is a MUROMACHI-PERIOD TEXT in 『群書類従』, not a shrine. Same class as
# 住吉大社神代記, which the builder already excludes as a literary work — this one reached
# the target set anyway. No P1814 from this pipeline.
Q11435648	NO_KANA: not a shrine — a Muromachi-period text (ichinomiya list in Gunsho Ruijū)
# あば is the PLACE 阿波, not the shrine
Q11435950	KANA: おおすぎじんじゃ
Q11436046	KANA: おおむらじんじゃ
Q11436160	KANA: だいとうじんじゃ
Q11436757	KANA: おおとしじんじゃ
Q11436759	KANA: おおとしじんじゃ
Q11436877	KANA: おおえじんじゃ
Q11437230	KANA: おおあらいいそさきじんじゃ
Q11437361	KANA: おおつじんじゃ
Q11437362	KANA: おおつじんじゃ
Q11437955	KANA: おおたじんじゃ
Q11438336	KANA: おおみわじんじゃ
# おほ is the PLACE 於保, not the shrine
Q11438337	KANA: おおじんじゃ
Q11438357	KANA: だいいなりじんじゃ
Q11438451	KANA: おおささはらじんじゃ
Q11438549	KANA: おおごじんじゃ
# あつえ is the PLACE 温江, not the shrine
Q11438782	KANA: おおむしじんじゃ
Q11438783	KANA: おおむしじんじゃ
Q11439410	KANA: たいきゅうじんじゃ
Q11439622	KANA: おおのひよしじんじゃ
Q11439718	KANA: おおのじんじゃ
Q11441628	KANA: おおさかごこくじんじゃ
Q11441891	KANA: たいりょうじんじゃ
Q11441938	KANA: おおまじんじゃ
Q11441990	KANA: おおとりじんじゃ
Q11442563	KANA: あまのいわとじんじゃ
Q11442798	KANA: あまつじんじゃ
Q11442801	KANA: あまつじんじゃ
Q11442822	KANA: てんまんぐう
# つづきはまのうらごう is the PLACE 続浜ノ浦郷, not the shrine
Q11442852	KANA: てんまんじんじゃ
Q11442855	KANA: てんまんじんじゃ
# 天照皇大神: あまてらすすめおおかみ / てんしょうこうたいじん — first taken
Q11442909	KANA: あまてらすすめおおかみ
Q11442961	KANA: てんのうぐうおおとしじんじゃ
# 天社土御門神道 is a RELIGIOUS ORGANISATION (宗教団体) with a head office, not a shrine.
Q11443187	NO_KANA: not a shrine — a religious organisation (Tsuchimikado Shintō)
# 天神社 is てんじんしゃ in Kawachinagano and Fukushima-ku, but てんじんじゃ in Nishitōkyō —
# same kanji, different readings, all three stated in their own leads
Q11443280	KANA: てんじんしゃ
Q11443281	KANA: てんじんしゃ
Q11443284	KANA: てんじんじゃ
Q11443286	KANA: てんじんじんじゃ
Q11443289	KANA: てんじんじんじゃ
Q11443290	KANA: てんじんじんじゃ
Q11443392	KANA: てんじくじんじゃ
Q11444367	KANA: おおたじんじゃ
Q11444477	KANA: たいこだにいなりじんじゃ
Q11445942	KANA: おくひかわじんじゃ
Q11446997	KANA: みょうぎじんじゃ
Q11447413	KANA: ひめじまじんじゃ
# あいこごう is the PLACE 相河郷, not the shrine
Q11447444	KANA: ひめじんじゃ
Q11447884	KANA: こやすはちまんじんじゃ
Q11448020	KANA: こうしじんじゃ
# 宇奈岐日女神社: うなぐひめ / うなきひめ / うなぎひめ — first taken
Q11449252	KANA: うなぐひめじんじゃ
Q11449527	KANA: うばとじんじゃ
Q11449531	KANA: うわせじんじゃ
Q11449800	KANA: うつのみやじんじゃ
Q11450181	KANA: あくみかんべしんめいしゃ
Q11450228	KANA: やすいじんじゃ
Q11450674	KANA: あびろみじんじゃ
Q11451158	KANA: あさかくにつこじんじゃ
# 安閑神社: the lead carries NO reading at all — "安閑神社は、滋賀県高島市にある神社である".
# Derived from the shrine's namesake, Emperor 安閑 あんかん, whose reading is not in doubt.
# GUESS, so it carries no source.
Q11451663	GUESS: あんかんじんじゃ
Q11451877	KANA: むなかたじんじゃ
# とび is the PLACE 外山, not the shrine
Q11451878	KANA: むなかたじんじゃ
Q11452556	KANA: ほうとくさんいなりたいしゃ
# あみあげ is the PLACE 網上, not the shrine
Q11452902	KANA: まろうどじんじゃ
Q11453539	KANA: みやじじんじゃ
Q11453994	KANA: みやぎけんごこくじんじゃ
Q11454564	KANA: みやざきじんじゃ
Q11455616	KANA: すくなかわたじんじゃ
Q11455657	KANA: しゅくいんとんぐう
Q11455839	KANA: とみつかはちまんぐう
Q11456095	KANA: ふじせんげんじんじゃ
Q11456842	KANA: とやまけんごこくじんじゃ
Q11457434	KANA: さむたじんじゃ
Q11458557	KANA: いみずじんじゃ
Q11459158	KANA: こゆるぎじんじゃ
Q11459659	KANA: ふじさんしもみやおむろせんげんじんじゃ
Q11461218	KANA: こまつじんじゃ
Q11462864	KANA: おものいみじんじゃ
Q11463538	KANA: こすげじんじゃ
Q11464224	KANA: おのじんじゃ
Q11464225	KANA: おのじんじゃ
