# name_in_kana batch 8, answered locally 2026-08-24 from the LEAD in each work-file.
#
# FIRST BATCH WITH THE MISMATCH WARNING LIVE. The builder flagged two work-files where
# the lead is about a different name, and both were genuine — neither would have been
# obvious from the answer format alone.
Q11575047	KANA: うぶたじんじゃ
Q11575072	KANA: さんれいじんじゃ
Q11576281	KANA: たわらじんじゃ
Q11576656	KANA: たしまじんじゃ
Q11576975	KANA: たむらじんじゃ
Q11577264	KANA: たみのじんじゃ
Q11577577	KANA: ゆきじんじゃ
Q11577728	KANA: こうそうはちまんじんじゃ
Q11577946	KANA: こうどのすみよしじんじゃ
Q11579002	KANA: かさもりいなりじんじゃ
Q11579553	KANA: はくさんちゅうきょじんじゃ
Q11579588	KANA: はくさんじんじゃ
# 白山神社 (三木町) is しらやま, not はくさん — its own lead says so
Q11579589	KANA: しらやまじんじゃ
Q11579590	KANA: はくさんじんじゃ
Q11579591	KANA: はくさんじんじゃ
Q11579593	KANA: はくさんじんじゃ
Q11579597	KANA: はくさんじんじゃ
# 白山神社 (湖南市): はくさん / しらやま — first taken
Q11579598	KANA: はくさんじんじゃ
Q11579599	KANA: はくさんじんじゃ
Q11579600	KANA: はくさんじんじゃ
Q11579601	KANA: はくさんじんじゃ
Q11579670	KANA: しらさきはちまんぐう
Q11579699	KANA: しらかわはちまんじんじゃ
Q11579758	KANA: しらはたはちまんだいじん
Q11580219	KANA: しろいしじんじゃ
Q11580499	KANA: しらひげじんじゃ
Q11580591	KANA: しらとりじんじゃ
Q11580592	KANA: しらとりじんじゃ
Q11580594	KANA: しらとりじんじゃ
Q11580595	KANA: しらとりじんじゃ
# 白鳥神社 is しろとり in Higashikagawa and Gujō, しらとり elsewhere — each lead states its own
Q11580596	KANA: しろとりじんじゃ
Q11580598	KANA: しらとりじんじゃ
Q11580599	KANA: しらとりじんじゃ
Q11580600	KANA: しろとりじんじゃ
# 百濟王神社 is the lead's spelling of 百済王神社
Q11580795	KANA: くだらおうじんじゃ
Q11580841	KANA: もずはちまんぐう
Q11580916	KANA: かいちゅういなりじんじゃ
Q11581010	KANA: こうたいじんじゃ
Q11582423	KANA: おうがだいじんじゃ
Q11582526	KANA: そうまじんじゃ
Q11582527	KANA: そうまじんじゃ
Q11583405	KANA: さなだじんじゃ
Q11583921	KANA: やはぎじんじゃ
Q11583922	KANA: やはぎじんじゃ
Q11584040	KANA: やのみやじんじゃ
Q11585161	KANA: いしづくりじんじゃ
# 石切劔箭神社 is the lead's spelling of 石切剣箭神社
Q11585189	KANA: いしきりつるぎやじんじゃ
Q11585540	KANA: いしやまじんじゃ
Q11585576	KANA: いわおかじんじゃ
Q11586369	KANA: いしかわごこくじんじゃ
Q11586490	KANA: いしまきじんじゃ
Q11586511	KANA: いわくらじんじゃ
Q11586806	KANA: いしうらじんじゃ
# 石神社 is いしがみしゃ in Ōme and いわじんじゃ in Kashiwara — same kanji, both stated
Q11587133	KANA: いしがみしゃ
Q11587134	KANA: いわじんじゃ
Q11587231	KANA: いそべじんじゃ
Q11587235	KANA: いわつつこわけじんじゃ
Q11587273	KANA: いしづちじんじゃ
Q11587697	KANA: すずりいてんまんぐう
Q11587925	KANA: いわふねだいじんじゃ
Q11587926	KANA: いわふねじんじゃ
Q11588026	KANA: いそらじんじゃ
Q11588443	KANA: ぎおんじんじゃ
Q11588528	KANA: おじぎみじんじゃ
# 神倉神社: かみくら / かんのくら — first taken
Q11588748	KANA: かみくらじんじゃ
Q11588777	KANA: みつるぎじんじゃ
Q11589654	KANA: こうざきじんじゃ
# NO LEAD, both Okazaki 神明宮. しんめいぐう is the plain reading, and Q11590293 神明宮 in the
# same batch and the same city states しんめいぐう in its own lead.
Q11590289	GUESS: しんめいぐう
Q11590290	GUESS: しんめいぐう
Q11590293	KANA: しんめいぐう
Q11590307	KANA: しんめいしゃ
Q11590312	KANA: しんめいじんじゃ
Q11590314	KANA: しんめいじんじゃ
Q11590315	KANA: しんめいじんじゃ
Q11590317	KANA: しんめいじんじゃ
Q11590318	KANA: しんめいじんじゃ
Q11590486	KANA: かみつじんじゃ
# かんど is the PLACE 神土
Q11590647	KANA: かんだじんじゃ
Q11590885	KANA: かんだにじんじゃ
Q11590985	KANA: かんのじんじゃ
Q11591788	KANA: ふくずみいつくしまじんじゃ
Q11592011	KANA: ふくやまはちまんぐう
Q11593701	KANA: ふくしまいなりじんじゃ
Q11593728	KANA: ふくしまけんごこくじんじゃ
Q11595179	KANA: あきつじんじゃ
Q11595842	KANA: あきばじんじゃ
# MISMATCH, flagged by the builder. The item is 秋葉神社・三座宮稲荷神社, a PAIR; the lead is
# about 秋葉神社（あきばじんじゃ）と三座稲荷（さんざいなり）— it gives 三座 as さんざ but names
# 三座稲荷, not 三座宮稲荷神社. The 宮 in this item's name is read either ぐう or のみや and the
# lead settles neither, so the compound cannot be assembled better than character-by-character.
# That is the case the TASK says to answer NO_KANA for.
Q11595844	NO_KANA: lead covers 秋葉神社 and 三座稲荷; this item's 三座宮稲荷神社 half is not read anywhere
Q11596110	KANA: ちちぶいまみやじんじゃ
Q11596141	KANA: ちちぶおんたけじんじゃ
Q11596288	KANA: ひえたじんじゃ
Q11596454	KANA: いなさじんじゃ
Q11596691	KANA: いなげじんじゃ
# 稻田神社 is a spelling variant
Q11596799	KANA: いなだじんじゃ
# MISMATCH, flagged by the builder. Item is 柳原稲荷神社; the lead is a bare 稲荷神社
# （いなりじんじゃ）. 柳原 is やなぎはら — the lead's own text says 足立区柳原, and Q11534153
# 柳原神社 やなぎはらじんじゃ was answered from its own lead in batch 6.
