# name_in_kana batch 5, answered locally 2026-08-23 from the LEAD in each work-file.
# Same rules as batches 1-4.
#
# Three items are not shrines but ARE nameable places, so they stay in by Emma's
# 2026-08-05 rule — "the rule is 'is it a nameable place', NOT 'is it a shrine'":
# 御厨人窟 a sea cave, and 平松王子 / 市野々王子, two Kumano 王子 sites of which one no
# longer exists. Each has a real reading stated in its own lead.
Q11465762	KANA: みやけじんじゃ
Q11466743	KANA: やまぐちだいじんぐう
Q11467400	KANA: やまぐちじんじゃ
Q11468879	KANA: やまもとはちまんぐう
Q11469587	KANA: やまざくらじんじゃ
# しずめ is the PLACE 鎮目, not the shrine
Q11469625	KANA: やまなしおかじんじゃ
Q11469626	KANA: やまなしおかじんじゃ
Q11470582	KANA: やまだじんじゃ
# ふなさきごう is the PLACE 船崎郷
Q11470799	KANA: やまじんじゃ
# 山神神社: lead gives やまがみ、やまのかみじんじゃ — first taken, completed to じんじゃ.
# きりふるさと is the PLACE 桐古里郷.
Q11470801	KANA: やまがみじんじゃ
Q11471104	KANA: やまさかじんじゃ
Q11472835	KANA: おかざきてんまんぐう
Q11474404	KANA: いわやまじんじゃ
Q11475335	KANA: いわづてんまんぐう
Q11477585	KANA: かわかみじんじゃ
Q11478109	KANA: かわいじんじゃ
Q11478285	KANA: かわしまじんじゃ
Q11479033	KANA: かわたじんじゃ
Q11479035	KANA: かわたじんじゃ
Q11479036	KANA: かわたじんじゃ
Q11479957	KANA: たつみじんじゃ
Q11480101	KANA: いちばいなりじんじゃ
Q11480541	KANA: いちきしまじんじゃ
# 市野々王子 — a Kumano 王子 site, a nameable place
Q11480731	KANA: いちののおうじ
Q11480773	KANA: ふだてんじんしゃ
Q11481653	KANA: ときわじんじゃ
Q11482033	KANA: ひらいじんじゃ
# せんげんちょう is the PLACE 浅間町
Q11482330	KANA: ひらつかはちまんぐう
Q11482369	KANA: へいじょうじんじゃ
# 平松王子 — 10th of the Kumano 九十九王子, no longer extant; still a nameable place
Q11483087	KANA: ひらまつおうじ
Q11483206	KANA: へいせんじはくさんじんじゃ
Q11483234	KANA: ひらゆじんじゃ
Q11483240	KANA: ひらがたじんじゃ
Q11483973	KANA: さちのみやじんじゃ
Q11485625	KANA: ひろせじんじゃ
Q11486003	KANA: こうしんしゃ
Q11486075	KANA: ふはちまんぐう
Q11486438	KANA: ひろたじんじゃ
Q11486979	KANA: べんざいてんぐう
Q11487076	KANA: ゆげじんじゃ
Q11487078	KANA: ゆげじんじゃ
Q11487798	KANA: いやたかじんじゃ
# 彩帆香取神社: the lead writes さいぱん かとりじんじゃ with a space; spaces are dropped
Q11488000	KANA: さいぱんかとりじんじゃ
Q11488762	KANA: みかみじんじゃ
Q11488771	KANA: みいじんじゃ
Q11488772	KANA: みいじんじゃ
Q11488774	KANA: みいじんじゃ
# 御厨人窟 — a sea cave (海蝕洞), not a shrine, but a nameable place with a real reading
Q11488835	KANA: みくろど
Q11488965	KANA: おんたけじんじゃ
Q11488966	KANA: おんたけじんじゃ
Q11488984	KANA: みゆきもりてんじんぐう
Q11489359	KANA: ごりょうじんじゃ
Q11489360	KANA: ごりょうじんじゃ
Q11489361	KANA: ごりょうじんじゃ
Q11489364	KANA: ごりょうじんじゃ
Q11489606	KANA: とくやまだいじんぐう
Q11489852	KANA: とくしまびざんてんじんじゃ
Q11490723	KANA: いんべじんじゃ
Q11490726	KANA: いんべじんじゃ
Q11490808	KANA: しじきじんじゃ
Q11491130	KANA: しじきはぐろじんじゃ
Q11491514	KANA: しこぶちじんじゃ
# 意賀美神社 is おがみ in Kishiwada and おかみ in Hirakata — same kanji, both stated
Q11493040	KANA: おがみじんじゃ
Q11493042	KANA: おかみじんじゃ
# 意非神社: おい / いひ — first taken
Q11493043	KANA: おいじんじゃ
Q11493796	KANA: えひめけんごこくじんじゃ
Q11493855	KANA: あたごじんじゃ
Q11493857	KANA: あたごじんじゃ
Q11493858	KANA: あたごじんじゃ
Q11493859	KANA: あたごじんじゃ
Q11493861	KANA: あたごじんじゃ
Q11493867	KANA: あたごじんじゃ
Q11493869	KANA: あたごじんじゃ
Q11495289	KANA: かいこじんじゃ
Q11495425	KANA: なるこてんじんしゃ
Q11496660	KANA: とがくしじんじゃ
Q11496939	KANA: たむけやまはちまんぐう
Q11496995	KANA: てごさきじんじゃ
Q11499487	KANA: あえくにじんじゃ
Q11499708	KANA: しきつまつのみや
Q11500742	KANA: いかるがじんじゃ
Q11501746	KANA: しんぐうくまのじんじゃ
Q11502106	KANA: にいかわじんじゃ
Q11503581	KANA: にいがたけんごこくじんじゃ
# 新田神社: にった / にいた — first taken
Q11503757	KANA: にったじんじゃ
Q11503945	KANA: しんらじんじゃ
Q11505052	KANA: ひよしとうしょうぐう
Q11505066	KANA: ひよしじんじゃ
Q11505069	KANA: ひよしじんじゃ
Q11505071	KANA: ひよしじんじゃ
Q11505072	KANA: ひよしじんじゃ
Q11505074	KANA: ひよしじんじゃ
Q11505341	KANA: ひまねきはちまんだいじんじゃ
Q11509530	KANA: ひえじんじゃ
Q11509531	KANA: ひえじんじゃ
Q11509532	KANA: ひえじんじゃ
Q11509533	KANA: ひえじんじゃ
Q11509534	KANA: ひえじんじゃ
Q11509681	KANA: ひむれはちまんぐう
Q11510248	KANA: ひおきじんじゃ
