# name_in_kana batch, answered locally 2026-08-23 from the LEAD in each work-file.
# All 60 leads state the reading in the opening parenthetical, so every answer is
# KANA (the lead states it) and none is GUESS (derived). Where the lead gives two
# readings separated by / or 、 the FIRST is taken — that is the article's primary.
# Spelling notes in the parenthetical (旧字体, 公式表記, alternate kanji) are not
# readings and are ignored.
Q10863796	KANA: いちのみやぬきさきじんじゃ
Q11354664	KANA: みわじんじゃ
Q11355073	KANA: みやけじんじゃ
Q11357406	KANA: みわじんじゃ
Q11360119	KANA: かみこそじんじゃ
Q11364246	KANA: なかやまじんじゃ
Q11364249	KANA: なかやまじんじゃ
Q11364920	KANA: なかがわじんじゃ
Q11366320	KANA: なかひかわじんじゃ
Q11368606	KANA: にゅうじんじゃ
Q11368810	KANA: のぎたじんじゃ
Q11369376	KANA: くがじんじゃ
Q11369609	KANA: くめのみあがたじんじゃ
Q11379315	KANA: いぬじんじゃ
# 伊富利部神社: lead gives いふりべ、いほりべ — first taken
Q11379320	KANA: いふりべじんじゃ
Q11379322	KANA: いざなぎじんじゃ
Q11379323	KANA: いざなぎじんじゃ
Q11379324	KANA: いざなぎじんじゃ
Q11379365	KANA: いざなぎじんじゃ
# 伊曽乃神社: 旧字体 伊曾乃神社 is a spelling variant, not a reading
Q11379396	KANA: いそのじんじゃ
# 伊達神社 (和歌山): いたて/いだて — first taken
Q11380847	KANA: いたてじんじゃ
Q11380848	KANA: いだてじんじゃ
Q11380920	KANA: いざなぎじんじゃ
Q11381858	KANA: すみよしじんじゃ
Q11381863	KANA: すみよしじんじゃ
Q135732	KANA: おおあがたじんじゃ
Q172253	KANA: あまつじんじゃ
Q172417	KANA: こたじんじゃ
# 厳島神社: 公式表記 嚴島神社 is a spelling variant, not a reading
Q191763	KANA: いつくしまじんじゃ
# 倭文神社: しとり/しずり — first taken
Q245734	KANA: しとりじんじゃ
Q246447	KANA: うべじんじゃ
Q251160	KANA: おおがみやまじんじゃ
Q276779	KANA: きふねじんじゃ
Q276831	KANA: みたみじんじゃ
# 江田神社: the second parenthetical あわきがはらちょう is the PLACE 阿波岐原町, not the shrine
Q3047222	KANA: えだじんじゃ
Q3109957	KANA: ごきそはちまんぐう
Q3136198	KANA: ひらききじんじゃ
Q3194327	KANA: かわはらじんじゃ
# 枚岡神社: いずもいちょう is the PLACE 出雲井町, not the shrine
Q32422	KANA: ひらおかじんじゃ
Q3313076	KANA: みほじんじゃ
Q335618	KANA: くまのはやたまたいしゃ
Q3461072	KANA: さだじんじゃ
Q3517214	KANA: てぢからおじんじゃ
Q3530344	KANA: とがじんじゃ
# 都萬神社: 都万神社 is an alternate kanji spelling, not a reading
Q3541658	KANA: つまじんじゃ
Q3541675	KANA: つのじんじゃ
Q3571285	KANA: やえがきじんじゃ
Q482065	KANA: あつたじんぐう
Q545397	KANA: みたはちまんじんじゃ
Q546197	KANA: おおみわじんじゃ
# 宇治上神社: うじがみ/うじかみ — first taken
Q583589	KANA: うじがみじんじゃ
Q6404042	KANA: きびつじんじゃ
Q650253	KANA: たかまひこじんじゃ
Q701414	KANA: いなばじんじゃ
Q703633	KANA: ひかわじんじゃ
# 丹生都比売神社: にうつひめ/にぶつひめ — first taken; 丹生都比賣神社 is a spelling variant
Q705154	KANA: にうつひめじんじゃ
# 真清田神社: 旧字体 眞淸田神社 is a spelling variant, not a reading
Q705916	KANA: ますみだじんじゃ
Q714828	KANA: ふしみいなりたいしゃ
Q715639	KANA: あそじんじゃ
Q738971	KANA: ひらのじんじゃ
