# name_in_kana batch 6, answered locally 2026-08-23 from the LEAD in each work-file.
# Same rules as batches 1-5.
#
# Two items are not shrines and stay in under Emma's 2026-08-05 "is it a nameable
# place" rule, which already admits a forest, a mountain, a sea cave and a kofun:
# 歓喜院 a Kōyasan Shingon temple, and 水分れ公園 a park. Both are physical places with
# a reading stated in their own lead. This is NOT the class that gets excluded — that
# is people, disambiguation pages, festivals, texts and organisations.
# さなみ is the PLACE 酒波
Q11510250	KANA: ひおきじんじゃ
Q11510623	KANA: ひのじんじゃ
Q11510876	KANA: あさくらじんじゃ
# 早吸日女神社: はやすいひめ / はやすひめ — first taken; 速吸日女神社 is a spelling variant
Q11511196	KANA: はやすいひめじんじゃ
# 星宮社: ほしみやしゃ / ほしのみやしゃ — first taken
Q11512854	KANA: ほしみやしゃ
Q11512856	KANA: ほしのみやじんじゃ
Q11512857	KANA: ほしのみやじんじゃ
Q11512981	KANA: ほしじんじゃ
Q11513607	KANA: かすがやまじんじゃ
Q11513659	KANA: かすがじんじゃ
Q11513660	KANA: かすがじんじゃ
Q11513662	KANA: かすがじんじゃ
Q11513666	KANA: かすがじんじゃ
Q11513667	KANA: かすがじんじゃ
Q11513668	KANA: かすがじんじゃ
Q11513669	KANA: かすがじんじゃ
Q11513673	KANA: かすがじんじゃ
Q11513674	KANA: かすがじんじゃ
Q11513675	KANA: かすがじんじゃ
Q11513676	KANA: かすがじんじゃ
Q11513677	KANA: かすがじんじゃ
Q11513678	KANA: かすがじんじゃ
Q11513679	KANA: かすがじんじゃ
Q11516040	KANA: つきさむじんじゃ
# 月讀神社 is a spelling variant of 月読神社
Q11516217	KANA: つきよみじんじゃ
Q11516219	KANA: つきよみじんじゃ
Q11517252	KANA: あさしろじんじゃ
Q11517328	KANA: あさくらじんじゃ
Q11517375	KANA: あさみやじんじゃ
# 木島坐天照御魂神社 is a spelling variant
Q11518370	KANA: このしまにますあまてるみたまじんじゃ
Q11519653	KANA: すえよしぐう
Q11520104	KANA: ほんあまぬまいなりじんじゃ
Q11520431	KANA: もとむらじんじゃ
# 旧字体 札幌護國神社 is a spelling variant
Q11521480	KANA: さっぽろごこくじんじゃ
Q11521944	KANA: すぎやまじんじゃ
Q11521945	KANA: すぎやまじんじゃ
Q11521946	KANA: すぎやまじんじゃ
Q11523063	KANA: むらとみじんじゃ
Q11523148	KANA: むらやまじんじゃ
# 來宮神社 is the lead's spelling of 来宮神社
Q11523682	KANA: きのみやじんじゃ
Q11523763	KANA: くまたじんじゃ
Q11526673	KANA: あずまやぬまじんじゃ
Q11528549	KANA: とうごうじんじゃ
Q11528718	KANA: しののめじんじゃ
Q11528773	KANA: ひがしこうづぐう
Q11529437	KANA: まつばらじんじゃ
Q11529439	KANA: まつばらじんじゃ
Q11529679	KANA: まつのおじんじゃ
Q11529911	KANA: まつやまとうしょうぐう
Q11531224	KANA: まつもとじんじゃ
Q11532402	KANA: まつさかじんじゃ
Q11534153	KANA: やなぎはらじんじゃ
Q11534678	KANA: くにじまじんじゃ
Q11534888	KANA: しばたじんじゃ
Q11535866	KANA: くりはらじんじゃ
Q11536487	KANA: ねずじんじゃ
# くりす is the PLACE 栗栖
Q11536999	KANA: ももたろうじんじゃ
Q11537573	KANA: くわづてんじんじゃ
# 桑田神社: くわだ / くわた — first taken
Q11537594	KANA: くわだじんじゃ
# 櫻井神社 is a spelling variant
Q11537864	KANA: さくらいじんじゃ
# 正字 櫻山八幡宮 is a spelling variant
Q11537980	KANA: さくらやまはちまんぐう
Q11538005	KANA: さくらじまじんじゃ
Q11538638	KANA: うめだしんめいぐう
Q11538640	KANA: うめだじんじゃ
Q11538723	KANA: なぎじんじゃ
Q11538748	KANA: なしのきじんじゃ
Q11540839	KANA: しいおじんじゃ
Q11540893	KANA: すぎのもりじんじゃ
Q11541236	KANA: くすながじんじゃ
Q11541842	KANA: えのもとじんじゃ
Q11542244	KANA: くすもとじんじゃ
Q11543413	KANA: よこたじんじゃ
Q11543603	KANA: じゅげじんじゃ
Q11543604	KANA: じゅげじんじゃ
Q11543654	KANA: からふとじんじゃ
Q11544292	KANA: きつもとじんじゃ
Q11544300	KANA: たちばなじんじゃ
# 橘樹神社 (横浜市): the lead writes たちばな じんじゃ with a space; spaces are dropped
Q11544301	KANA: たちばなじんじゃ
Q11544302	KANA: たちばなじんじゃ
Q11544341	KANA: たちばなじんじゃ
Q11544512	KANA: はたものじんじゃ
Q11544725	KANA: くしだじんじゃ
Q11544726	KANA: くしだじんじゃ
Q11544820	KANA: さくらがおかだいじんぐう
# 歓喜院 — a Kōyasan Shingon TEMPLE, not a shrine, but a nameable place. めぬま is the
# PLACE 妻沼.
Q11545320	KANA: かんぎいん
# じんでんまち is the PLACE 神田町
Q11545369	KANA: しょうはちまんじんじゃ
# 正ノ宮正八幡神社 is a 別称 (alternative name), not this shrine's reading
Q11545371	KANA: しょうはちまんじんじゃ
Q11547445	KANA: ひめこそじんじゃ
Q11547466	KANA: ひじやまじんじゃ
# 水分れ公園 — a PARK, not a shrine, but a nameable place with a stated reading
Q11548302	KANA: みわかれこうえん
Q11548384	KANA: みなくちじんじゃ
Q11548437	KANA: すいてんぐうひらぬまじんじゃ
Q11548589	KANA: みとはちまんぐう
Q11548940	KANA: すいかてんまんぐう
Q11548962	KANA: すいむじんじゃ
Q11549494	KANA: すいきょうてんまんぐう
Q11549548	KANA: ひかみあねごじんじゃ
Q11549598	KANA: ひかわてんまんじんじゃ
Q11549599	KANA: ひかわにょたいじんじゃ
Q11549608	KANA: ひかわじんじゃ
