# name_in_kana batch 9, answered locally 2026-08-24 from the LEAD in each work-file.
#
# The builder flagged ONE mismatch this tranche and it was a FALSE POSITIVE — Q11613492
# 舊府神社, led as 舊府（旧府）神社（ふるふじんじゃ）, where the first parenthetical is a
# kanji gloss inside the name rather than the reading. lead_subject() now drops
# parentheticals with no kana in them, and the case is pinned by a test. Answered KANA.
Q11599937	KANA: かさのもりいなり
# 大六天 — a 小祠 (small wayside shrine), a nameable place
Q11602400	KANA: だいろくてん
Q11602401	KANA: だいろくてんじんじゃ
# 筑摩神社 is つかま in Matsumoto and ちくま in Maibara — same kanji, both stated
Q11602833	KANA: つかまじんじゃ
Q11602835	KANA: ちくまじんじゃ
Q11603067	KANA: つつもりじんじゃ
Q11603763	KANA: しのくらじんじゃ
Q11604160	KANA: よねやまじんじゃ
Q11604590	KANA: あわしまじんじゃ
Q11604597	KANA: あわしまじんじゃ
Q11604598	KANA: あわしまじんじゃ
Q11604632	KANA: あわたじんじゃ
Q11605265	KANA: もみじはちまんぐう
Q11605635	KANA: すさのをのみことじんじゃ
Q11605639	KANA: すさのおじんじゃ
Q11605640	KANA: すさのおのみことじんじゃ
Q11606721	KANA: むすぶじんじゃ
# 次桜王子・続桜王子 are alternative names, not readings
Q11607012	KANA: つぎざくらおうじ
Q11607144	KANA: つなしきてんまんぐう
Q11607145	KANA: つなしきてんまんじんじゃ
Q11607146	KANA: つなしきてんじんしゃ
# 綾戸國中神社 is the lead's spelling of 綾戸国中神社
Q11607305	KANA: あやとくなかじんじゃ
Q11607699	KANA: そうじゃじんじゃ
Q11607954	KANA: せんもりいなりじんじゃ
Q11608132	KANA: あがたぬしじんじゃ
Q11608138	KANA: あがたじんじゃ
Q11608139	KANA: あがたじんじゃ
Q11608141	KANA: あがたじんじゃ
Q11608230	KANA: おりひめじんじゃ
Q11608231	KANA: おりはたじんじゃ
Q11608754	KANA: みまさかそうじゃぐう
Q11608777	KANA: みぐくるみたまじんじゃ
Q11608847	KANA: みわじんじゃ
Q11608848	KANA: みわじんじゃ
Q11608849	KANA: みわじんじゃ
Q11608850	KANA: みわじんじゃ
Q11608851	KANA: みわじんじゃ
Q11609908	KANA: ぐんまけんごこくじんじゃ
Q11610064	KANA: はくいじんじゃ
Q11610436	KANA: はぐろじんじゃ
Q11610654	KANA: おいまつじんじゃ
Q11611103	KANA: ひじりじんじゃ
# のう is the PLACE 能生
Q11611996	KANA: のうはくさんじんじゃ
Q11612891	KANA: たまでよりまつりきたるさかとけじんじゃ
# FALSE-POSITIVE MISMATCH, see header. 旧府 is a kanji gloss inside the name.
Q11613492	KANA: ふるふじんじゃ
Q11614347	KANA: ふなこしじんじゃ
# 花の窟神社 is an alternative spelling given inside the reading paren
Q11615617	KANA: はなのいわやじんじゃ
Q11616123	KANA: なむらじんじゃ
Q11616250	KANA: わかみやはちまんぐう
Q11616251	KANA: わかみやはちまんぐう
# lead writes わかみや はちまんぐう with a space; spaces are dropped
Q11616252	KANA: わかみやはちまんぐう
Q11616253	KANA: わかみやはちまんぐうしゃ
Q11616254	KANA: わかみやはちまんぐう
Q11616255	KANA: わかみやはちまんしゃ
Q11616256	KANA: わかみやはちまんしゃ
Q11616259	KANA: わかみやはちまんじんじゃ
Q11616282	KANA: わかみやじんじゃ
Q11616283	KANA: わかみやじんじゃ
Q11616430	KANA: わかまつじんじゃ
Q11616594	KANA: わかいずみいなりじんじゃ
Q11617261	KANA: あかなべじんじゃ
Q11617266	KANA: いばらすみよしじんじゃ
Q11617940	KANA: ちゃのきいなり
Q11618139	KANA: くさどいなりじんじゃ
Q11618229	KANA: くさなぎじんじゃ
Q11618386	KANA: あらいじんじゃ
Q11618837	KANA: こうじんじゃ
Q11619012	KANA: おぎくぼはちまんじんじゃ
Q11619169	KANA: すがはらてんまんぐう
Q11619209	KANA: すがわらじんじゃ
Q11619211	KANA: すがわらじんじゃ
Q11619212	KANA: すがわらじんじゃ
Q11619213	KANA: すがわらじんじゃ
Q11619344	KANA: すごうじんじゃ
Q11619345	KANA: すごうじんじゃ
Q11619835	KANA: きくちじんじゃ
Q11620360	KANA: はぎわらじんじゃ
Q11620515	KANA: かやづじんじゃ
Q11621087	KANA: かつしかじんじゃ
# がもう is the PLACE 蒲生; the shrine is かもう
Q11621338	KANA: かもうはちまんじんじゃ
Q11621340	KANA: かもうはちまんじんじゃ
Q11621385	KANA: かまたじんじゃ
Q11623940	KANA: ふじしまじんじゃ
Q11625493	KANA: こがいくにじんじゃ
Q11625523	KANA: じゃいけじんじゃ
Q11625590	KANA: えびすじんじゃ
Q11625902	KANA: ありとおしじんじゃ
Q11625903	KANA: ありとおしじんじゃ
Q11625904	KANA: ありとおしじんじゃ
Q11627141	KANA: にしくぼじんじゃ
# 西代神社: 正式には にしんだいじんじゃ, 通称 にしだいじんじゃ — the OFFICIAL one is taken,
# per the TASK rule that a 通称 is not the shrine's name
Q11627197	KANA: にしんだいじんじゃ
# 西奈彌 is the lead's spelling of 西奈弥
Q11627587	KANA: せなみはぐろじんじゃ
Q11628949	KANA: にしみずしろやさかじんじゃ
Q11629158	KANA: にしてるじんじゃ
Q11629779	KANA: にしのじんじゃ
Q11629957	KANA: さいいんかすがじんじゃ
Q11630006	KANA: にしたかいどしょうあんいなりじんじゃ
Q11630690	KANA: すみのみやじんじゃ
Q11630870	KANA: つのさくひこじんじゃ
Q11631218	KANA: こはたじんじゃ
