# name_in_kana answers read locally, 2026-08-04, from each work-file's own LEAD.
# Applied with:
#   python shinto_miraheze/apply_local_answers.py --queue name_in_kana \
#       --answers local_answers/name_in_kana_2026-08-04.tsv --apply
#   python shinto_miraheze/collect_name_in_kana.py
#
# Every reading below is the parenthetical the lead opens with. Where the lead
# gives two, the FIRST is taken (御香宮神社 ごこうのみや/ごこうぐう, 豊受大神宮 pattern).
#
# Not answered, and why:
#   Q11544511 機殿神社   — the joint article for 神服織機殿神社 + 神麻続機殿神社. Its lead
#                         opens with those two names, not its own; 「両社を合わせて
#                         両機殿（機殿神社）と呼ぶ」 is the only mention of the pair name
#                         and it carries no reading. Left pending on purpose.
#   Q7137401 水谷川忠起  — a PERSON (Meiji priest, 春日大社宮司), not a shrine. The
#                         reading みやがわ ただおき is right, but a shrine queue writing
#                         to a person item is a target-set defect to fix upstream,
#                         not to work around here. Left pending; see queue.md A0.
#
# Two that ARE answered but are not shrines either — Q5367406 春日山原始林 (a primeval
# forest) and Q7797685 宮中三殿 (the three palace sanctuaries). Their readings are
# plainly correct and P1814 is not shrine-specific, so they go out; they are noted
# because they show the same target-set leak as 水谷川忠起.
#
Q3936981	KANA: たいほくてんまんぐうしゃ
Q421597	KANA: おくにじんじゃ
Q464291	KANA: かみゆげじんじゃ
Q498698	KANA: めかりじんじゃ
Q500368	KANA: しずおかせんげんじんじゃ
Q500413	KANA: あきはさんほんぐうあきはじんじゃ
Q500955	KANA: いまみやじんじゃ
Q501266	KANA: ののみやじんじゃ
Q5367406	KANA: かすがやまげんしりん
Q5507355	KANA: ふじせんげんじんじゃ
Q6102414	KATAKANA: ハワイいづもたいしゃ
Q6370171	KANA: かれんこうじんじゃ
Q642681	KANA: ぜにあらいべんざいてんうがふくじんじゃ
Q6540880	KANA: ごこうのみやじんじゃ
Q674313	KANA: しんめいしゃ
Q6939049	KANA: たまざとしゃ
Q6939220	KANA: しょうかじんじゃ
Q704636	KANA: なみのうえぐう
Q705121	KANA: みなせじんぐう
Q708670	KANA: おうごんじんじゃ
Q710359	KANA: くまのなちたいしゃ
Q713072	KANA: たかおじんじゃ
Q717682	KANA: かんだみょうじん
Q7684357	KANA: とうえんじんじゃ
Q7797685	KANA: きゅうちゅうさんでん
Q7960795	KANA: わかみやいなりじんじゃ
Q8010918	KANA: えんぺいぐんおうし
Q840967	KATAKANA: アメリカつばきおおかみやしろ
Q870911	KANA: ぎふごこくじんじゃ
Q924940	KANA: うみはちまんぐう
Q961396	KANA: とよくにじんじゃ
Q998709	KANA: おやまじんじゃ
