Q16	Canada
Q20	Norway
Q21	England
Q27	Ireland
Q28	Hungary
Q29	Spain
Q30	United States
Q33	Finland
Q34	Sweden
Q35	Denmark
Q36	Poland
Q37	Lithuania
Q38	Italy
Q40	Austria
Q41	Greece
Q43	Turkey
Q45	Portugal
Q48	Asia
Q52	Wikipedia
Q55	Netherlands
Q77	Uruguay
Q79	Egypt
Q95	Google
Q96	Mexico
Q98	Pacific Ocean
Q114	Kenya
Q115	Ethiopia
Q117	Ghana
Q142	France
Q145	United Kingdom
Q148	People's Republic of China
Q150	French
Q152	fish
Q155	Brazil
Q159	Russia
Q180	Wikimedia Foundation
Q181	Jimmy Wales
Q182	English
Q183	Germany
Q185	Q185
Q188	German
Q212	Ukraine
Q222	Albania
Q227	Azerbaijan
Q230	Georgia
Q233	Malta
Q235	Monaco
Q236	Montenegro
Q242	Belize
Q244	Barbados
Q252	Indonesia
Q256	Turkish
Q258	South Africa
Q262	Algeria
Q263	Wikisource
Q315	language
Q334	Singapore
Q349	sport
Q361	World War I
Q362	World War II
Q367	Wikibooks
Q369	Wikiquote
Q370	Wikiversity
Q373	Wikivoyage
Q398	Bahrain
Q399	Armenia
Q403	Serbia
Q408	Australia
Q419	Peru
Q423	North Korea
Q424	Cambodia
Q458	European Union
Q465	DBpedia
Q506	flower
Q574	Timor-Leste
Q652	Italian
Q664	New Zealand
Q668	India
Q672	Tuvalu
Q676	prose
Q678	Tonga
Q683	Samoa
Q685	Solomon Islands
Q686	Vanuatu
Q691	Papua New Guinea
Q695	Palau
Q697	Nauru
Q702	Federated States of Micronesia
Q709	Marshall Islands
Q710	Kiribati
Q711	Mongolia
Q712	Fiji
Q717	Venezuela
Q733	Paraguay
Q734	Guyana
Q739	Colombia
Q748	Buddhism
Q754	Trinidad and Tobago
Q757	Saint Vincent and the Grenadines
Q760	Saint Lucia
Q763	Saint Kitts and Nevis
Q766	Jamaica
Q769	Grenada
Q778	The Bahamas
Q781	Antigua and Barbuda
Q784	Dominica
Q785	Jersey
