Q17	Japan
Q328	English Wikipedia
Q1860	English
Q8447	French Wikipedia
Q29682	Sumiyoshi Shrine
Q30239	Chinese Wikipedia
Q31478	Ōchi district
Q31671	Ono district
Q32422	Hiraoka Shrine
Q39351	Samukawa district
Q44438	Mino district
Q44439	Toyota district
Q44611	Kawachi district
Q48183	German Wikipedia
Q48744	Samukawa Shrine
Q52048	Tsushima
Q60581	Tagata Shrine
Q63471	Omura Shrine
Q65320	Iwa Shrine
Q82799	name
Q84008	Hiroshima Gokoku Shrine
Q84028	Suwa Shrine
Q94317	Kikuchi Shrine
Q94760	Kotohira-gū
Q115768	Sendai Tōshō-gū
Q116140	Tado Taisha
Q131277	Gifu Prefecture
Q133753	Shiogama Shrine
Q135732	Ōagata Shrine
Q137707	Katō Shrine
Q167136	Kengun Shrine
Q167146	Fujisaki Hachimangū
Q172253	Amatsu Shrine
Q172382	Watatsu Shrine
Q172417	Kota Shrine
Q177837	Japanese Wikipedia
Q179461	religious text
Q188619	hierarchy
Q188712	Empire of Japan
Q191763	Itsukushima Shrine
Q195684	Yahiko Shrine
Q195714	Sasamuta Shrine
Q195715	Yusuhara Hachimangū
Q199699	Tsurumine Hachiman Shrine
Q211522	Sannō Shrine
Q216353	title
Q218813	Suwa taisha
Q218828	Togakushi Shrine
Q242803	Yasukuni Shrine
Q245731	Ōyamato Shrine
Q245734	Shitori Shrine
Q245830	Tottori Tōshō-gū
Q245834	Nawa Shrine
Q246370	Niukawakami Shrine
Q246447	Ube Shrine
Q246455	Tatsuta Shrine
Q246463	Kamochi Shrine
Q246469	Wakasa Shrine
Q246479	Ikoma Shrine
Q246667	Hakuto Shrine
Q251156	Tōzan Shrine
Q251160	Ōgamiyama Shrine
Q251682	Yūtoku Inari Shrine
Q259705	Higo Province
Q266830	Noma district
Q276779	Kifune Shrine
Q276781	Umenomiya Taisha
Q276831	Mitami Shrine
Q278828	Suzuka district
Q283483	Kanō Tenmangū
Q287165	Meiji Jingū
Q288248	Tokorozawa Shinmei Shrine
Q288312	Kumano Shrine
Q289250	Shinano Province
Q335606	Yushima Tenmangū
Q335612	Nezu Shrine
Q335618	Kumano Hayatama Taisha
Q372380	Katori Jingū
Q376858	Otokuni district
Q384971	Oi district
Q385141	Heian Jingū
Q385402	Ōmi district
Q385407	Ōmi Jingū
Q385793	Ōsaka Tenmangū
Q402091	Taga Taisha
Q402368	Takeda Shrine
Q403338	Takebe taisha
Q421597	Okuni Shrine (Mori)
Q464291	Kamiyuge Shrine
Q482062	Atsumi district
Q482065	Atsuta Jingū
Q488618	Tanzan Shrine
Q488935	Chōsen Jingū
Q498698	Mekari Shrine
Q500368	Shizuoka Sengen Shrine
Q500413	Akihasan Hongū Akiha Shrine
Q500763	Kibitsuhiko Shrine
Q500955	Imamiya Shrine
Q501266	Nonomiya Shrine
Q513737	Hyūga Province
Q514506	Owari Province
Q521316	Fuwa district
Q521319	Takekoma Inari Shrine
Q522936	Hazu district
Q524158	kami
Q531886	Kitami Province
Q545397	Mita Hachiman Shrine
Q546197	Ōmiwa Shrine
Q552687	Aichi district
Q564302	Tamasaki Shrine
Q582846	Izumo Province
Q583589	Ujigami Shrine
Q607770	Kushiro Province
Q611108	Washinomiya Shrine
Q611460	Izusan Shrine
Q611678	Ōkunitama Shrine
Q631373	Kashii-gū
Q650253	Takamahiko Shrine
Q650772	Mishima Taisha
Q653180	Fujisan Hongū Sengen Taisha
Q654417	Tomioka Hachiman Shrine
Q656451	Hiyoshi Taisha
Q661395	Nagata Shrine
Q662176	Kitano Tenmangū
Q666514	Echigo Province
Q667475	Satsuma Province
Q670049	Asakusa Shrine
Q674313	Shinmeisha Shrine
Q677245	Inba district
Q685886	Ama district
Q687168	Ise Jingū
Q692714	Yasaka Shrine
Q696362	Izumo Taisha
Q696641	Nikkō Tōshō-gū
Q698078	Ana Hachimangū
Q700448	Kamigamo Shrine
Q701403	Tsurugaoka Hachimangū
Q701414	Inaba Shrine
Q701620	Shimogamo Shrine
Q701927	Futarasan Shrine
Q702042	Hie Shrine
Q703633	Hikawa Shrine
Q703904	Oyamazumi Shrine
Q704219	Terukuni Shrine
Q704430	Udo Jingū
Q704622	Kirishima Jingū
Q704636	Naminoue Shrine
Q704686	Miyazaki Jingū
Q704695	Kagoshima Jingū
Q704702	Shirayama Hime Shrine
Q704855	Hōkoku Shrine
Q704865	Hida Ichinomiya Minashi Shrine
Q704876	Kasama Inari Shrine
Q704890	Tosa Shrine
Q704898	Hōfu Tenmangū
Q704962	Munakata Taisha
Q704967	Nangū Taisha
Q705035	Kumano Hongū Taisha
Q705121	Minase Jingū
Q705126	Kono Shrine
Q705136	Tsushima Shrine
Q705151	Ōtori Taisha
Q705154	Niutsuhime Shrine
Q705281	Hirose Shrine
Q705297	Nishinomiya Shrine
Q705303	Shirahige Shrine
Q705310	Hakone Shrine
Q705542	Ōmiwa Shrine
Q705547	Awa Shrine
Q705635	Shiramine Jingū
Q705916	Masumida Shrine
Q705949	Sumiyoshi Taisha
Q706499	Kashima Jingū
Q708550	Ueno Tōshō-gū
Q708859	Isonokami Jingū
Q708921	Taiwan Grand Shrine
Q709822	Toyokuni Shrine
Q710086	Ikuta Shrine
Q710098	Iwashimizu Hachimangū
Q710302	Matsunoo Taisha
Q710333	Kashihara Jingū
Q710351	Kamakura-gū
Q710359	Kumano Nachi Taisha
Q710786	Dazaifu Tenmangū
Q710826	Hokkaidō Jingū
Q712162	Kunōzan Tōshō-gū
Q712617	Akama Jingū
Q712824	Kibitsu Shrine
Q712958	Nan'yō Shrine
Q713021	Atago Shrine
Q713177	Yoshida Shrine
Q713188	Minatogawa Shrine
Q714559	Kasuga-taisha
Q714742	Hakozaki Shrine
Q714828	Fushimi Inari-taisha
Q715632	Usa Jingū
Q715639	Aso Shrine
Q715647	Kōra Taisha
Q717682	Kanda-myōjin
Q723417	Ōasahiko Shrine
Q726661	Hanishina district
Q733727	Semboku district
Q738971	Hirano Shrine
Q749276	Yamashiro Province
Q766445	Okinawa Prefecture
Q767312	Chita district
Q768158	Mikawa Province
Q780284	Katori district
Q780420	Nakashima district
Q787290	Nukata district
Q812767	Shinto
Q843882	Ōmi Province
Q845945	Shinto shrine
Q857330	Tosa Province
Q858076	Kai Province
Q860928	Izu Province
Q864053	Kii Province
Q864148	Bungo Province
Q864156	Mino Province
Q864159	Chikugo Province
Q864163	Settsu Province
Q864166	Ise Province
Q864170	Suruga Province
Q865650	Ōhara district
Q865839	Kushida Shrine
Q870911	Gifu Gokoku Shrine
Q871375	Iwakiyama Shrine
Q874428	Ōsaki Hachimangū
Q876032	Dewa Province
Q888184	Hinokuma Jingū
Q906899	Etchū Province
Q906926	Hizen Province
Q907382	Nagato Province
Q907389	Mutsu Province
Q907398	Musashi Province
Q907457	Awa Province
Q907469	Kaga Province
Q907495	Yamato Province
Q907829	Iyo Province
Q924766	Hoi district
Q924940	Umi Hachimangū
Q929682	Sanuki Province
Q931658	Gamo district
Q936036	Mimasaka Province
Q938038	Kodama district
Q940481	Aso district
Q954511	Tamba Province
Q961396	Toyokuni Shrine
Q961511	Kamo district
Q965029	Aki Province
Q981002	Ōsumi Province
Q988501	Ihara district
Q998709	Oyama Shrine
Q1006139	Uma district
Q1032507	Haguri district
Q1040184	Ezo
Q1042045	Kanzaki district
Q1042053	Kawabe district
Q1042060	Sayo district
Q1042066	Kako district
Q1042141	Ako district
Q1042150	Ibo district
Q1042243	Taka district
Q1042353	Ika district
Q1042360	Taki district
