Q134918808|Lfr|"Temple Saifuku-ji"
Q135462643|Lzh|"二山神社"
Q134886110|Lpa|"ਸੇਨਗੇਨ ਮੰਦਿਰ"
Q135433578|Lda|"Homan-helligdommen"
Q11379322|Lmai|"इज़नगि मंदिर"
Q11510773|Lit|"Tempio Nichikō-ji"
Q11390577|Leu|"Yakurahime santutegia"
Q135156064|Lde|"Atago Schrein"
Q22119381|Lkm|"សុគិយម មំទិរ"
Q135434155|Ljv|"Kuil Ise"
Q11475474|Lfa|"معبد گاندهنجی"
Q135155250|Lzh-hans|"大宫大神"
Q134736805|Luk|"Храм Сонкодзі"
Q135186136|Ltl|"Dambanang Kawara"
Q134534807|Lms|"Wihara Keirin-ji"
Q11519189|Lzh-hk|"木母寺"
Q134957846|Lhr|"Suwa hram"
Q112679747|Lnew|"हियोशि मंदिर"
Q135040729|Lit|"Santuario Arasaka"
Q134956822|Lbn|"হাচিমানা মন্দির"
