qid,en_label,ja_label,source_lang,source_label,target_lang,prefix,cleaned_input,tokiponized,toki_pona_label,has_tok_label,existing_tok_labels
Q68665227,Ichida Shrine,伊知多神社,id,Kuil  Ichida,tok,Kuil,ichida,Isita,tomo sewi Isita,True,tomo sewi Isita
Q11607230,Abashiri Shrine,網走神社,id,Kuil Abashiri,tok,Kuil,abashiri,Apasili,tomo sewi Apasili,True,tomo sewi Apasili
Q11450339,Abe Shrine,安倍神社,id,Kuil Abe,tok,Kuil,abe,Ape,tomo sewi Ape,True,tomo sewi Ape
Q119929586,Abe Shrine,阿部神社,id,Kuil Abe,tok,Kuil,abe,Ape,tomo sewi Ape,True,tomo sewi Ape
Q133571571,Abe Shinzō Shrine,安倍神像神社,id,Kuil Abe Shinzō,tok,Kuil,abeshinzō,Apesinso,tomo sewi Apesinso,True,tomo sewi Apesinso
Q11657249,Abe Ōji Shrine,阿倍王子神社,id,Kuil Abe Ōji,tok,Kuil,abeōji,Apejosi,tomo sewi Apejosi,True,tomo sewi Apejosi
Q11657965,Abeno Shrine,阿部野神社,id,Kuil Abeno,tok,Kuil,abeno,Apeno,tomo sewi Apeno,True,tomo sewi Apeno
Q131993155,Abettōshinmeigū,阿別当神明宮,id,Kuil Abettōshinmeigū,tok,Kuil,abettōshinmeigū,Apetosinmeku,tomo sewi Apetosinmeku,True,tomo sewi Apetosinmeku
Q11450674,Abiromi Shrine,安弘見神社,id,Kuil Abiromi,tok,Kuil,abiromi,Apilomi,tomo sewi Apilomi,True,tomo sewi Apilomi
Q135195036,Abito Shrine,阿比多神社,id,Kuil Abito,tok,Kuil,abito,Apito,tomo sewi Apito,True,tomo sewi Apito
Q85884328,Abo Shrine,阿保神社,id,Kuil Abo,tok,Kuil,abo,Apo,tomo sewi Apo,True,tomo sewi Apo
Q11651340,Abumita Kitsuki Shrine,鐙田杵築神社,id,Kuil Abumita Kitsuki,tok,Kuil,abumitakitsuki,Apumitakituki,tomo sewi Apumitakituki,True,tomo sewi Apumitakituki
Q11554359,Aburahi Shrine,油日神社,id,Kuil Aburahi,tok,Kuil,aburahi,Apulapi,tomo sewi Apulapi,True,tomo sewi Apulapi
Q11657364,Abushina Shrine,阿夫志奈神社,id,Kuil Abushina,tok,Kuil,abushina,Apusina,tomo sewi Apusina,True,tomo sewi Apusina
Q11657446,Achi Shrine,阿智神社,id,Kuil Achi,tok,Kuil,achi,Asi,tomo sewi Asi,True,tomo sewi Asi
Q11657447,Achi Shrine,阿智神社,id,Kuil Achi,tok,Kuil,achi,Asi,tomo sewi Asi,True,tomo sewi Asi
Q135099002,Achieno Shrine,阿知江神社,id,Kuil Achieno,tok,Kuil,achieno,Asijeno,tomo sewi Asijeno,True,tomo sewi Asijeno
Q11657712,Achihayao Shrine,阿遅速雄神社,id,Kuil Achihayao,tok,Kuil,achihayao,Asipajo,tomo sewi Asipajo,True,tomo sewi Asipajo
Q135040568,Achiheisoheno Shrine,阿知江いそ部神社[注 2],id,Kuil Achiheisoheno,tok,Kuil,achiheisoheno,Asipesopeno,tomo sewi Asipesopeno,True,tomo sewi Asipesopeno
Q135039659,Achiko Shrine,阿治古神社,id,Kuil Achiko,tok,Kuil,achiko,Asiko,tomo sewi Asiko,True,tomo sewi Asiko
Q135270277,Achiko Shrine,阿治古神社,id,Kuil Achiko,tok,Kuil,achiko,Asiko,tomo sewi Asiko,True,tomo sewi Asiko
Q135070027,Achikouisobu Shrine,阿知江いそ部社[注 2],id,Kuil Achikouisobu,tok,Kuil,achikouisobu,Asikowisopu,tomo sewi Asikowisopu,True,tomo sewi Asikowisopu
Q135039913,Achino Shrine,阿智神社,id,Kuil Achino,tok,Kuil,achino,Asino,tomo sewi Asino,True,tomo sewi Asino
Q135194069,Achino Shrine okumiya,阿智神社 奥宮,id,Kuil Achino okumiya,tok,Kuil,achinookumiya,Asinokumija,tomo sewi Asinokumija,True,tomo sewi Asinokumija
Q135040969,Achisukino Shrine,阿遅須伎神社,id,Kuil Achisukino,tok,Kuil,achisukino,Asisukino,tomo sewi Asisukino,True,tomo sewi Asisukino
Q115739544,Adachi Shrine,足立神社,id,Kuil Adachi,tok,Kuil,adachi,Atasi,tomo sewi Atasi,True,tomo sewi Atasi
Q135193313,Adachi Shrine (Kamikisaki),足立神社(上木埼),id,Kuil Adachi (Kamikisaki),tok,Kuil,adachi,Atasi,tomo sewi Atasi,True,tomo sewi Atasi
Q28682714,Adachi Shrine (Urawa-ku),足立神社,id,Kuil Adachi (Urawa-ku),tok,Kuil,adachi,Atasi,tomo sewi Atasi,True,tomo sewi Atasi
Q65291930,Adakaya Shrine,阿太加夜神社,id,Kuil Adakaya,tok,Kuil,adakaya,Atakaja,tomo sewi Atakaja,True,tomo sewi Atakaja
Q11451521,Adatara Shrine,安達太良神社,id,Kuil Adatara,tok,Kuil,adatara,Atatala,tomo sewi Atatala,True,tomo sewi Atatala
Q11658004,Ae Shrine,阿閇神社,id,Kuil Ae,tok,Kuil,ae,Awe,tomo sewi Awe,True,tomo sewi Awe
Q17190840,Aedohashihime Shrine,饗土橋姫神社,id,Kuil Aedohashihime,tok,Kuil,aedohashihime,Awetopasipime,tomo sewi Awetopasipime,True,tomo sewi Awetopasipime
Q11499487,Aekuni Shrine,敢國神社,id,Kuil Aekuni,tok,Kuil,aekuni,Awekuni,tomo sewi Awekuni,True,tomo sewi Awekuni
Q65260948,Afuchi Shrine,安布知神社,id,Kuil Afuchi,tok,Kuil,afuchi,Apusi,tomo sewi Apusi,False,
Q135186246,Afukako Shrine,多気町井内林,id,Kuil Afukako,tok,Kuil,afukako,Apukako,tomo sewi Apukako,False,
Q135039287,Afukakotano- Shrine,相鹿木大御神社,id,Kuil Afukakotano-,tok,Kuil,afukakotano,Apukakotano,tomo sewi Apukakotano,False,
Q135039277,Afukamuyamano Shrine,相鹿牟山神社 二座,id,Kuil Afukamuyamano,tok,Kuil,afukamuyamano,Apukamujamano,tomo sewi Apukamujamano,False,
Q135039281,Afukano- Shrine,相鹿上神社,id,Kuil Afukano-,tok,Kuil,afukano,Apukano,tomo sewi Apukano,False,
Q11451153,Afuku Kahaku Shrine,安福河伯神社,id,Kuil Afuku Kahaku,tok,Kuil,afukukahaku,Apukukapaku,tomo sewi Apukukapaku,False,
Q134598761,Afuri Shrine,阿夫利神社,id,Kuil Afuri,tok,Kuil,afuri,Apuli,tomo sewi Apuli,False,
Q134602873,Afuri Shrine,阿夫利神社,id,Kuil Afuri,tok,Kuil,afuri,Apuli,tomo sewi Apuli,False,
Q134596594,Afuri Shrine,天降神社,id,Kuil Afuri,tok,Kuil,afuri,Apuli,tomo sewi Apuli,False,
Q11616983,Aga Shrine,英賀神社,id,Kuil Aga,tok,Kuil,aga,Aka,tomo sewi Aka,False,
Q11657692,Aga Shrine,阿賀神社,id,Kuil Aga,tok,Kuil,aga,Aka,tomo sewi Aka,False,
Q11608139,Agata Shrine,縣神社,id,Kuil Agata,tok,Kuil,agata,Akata,tomo sewi Akata,False,
Q11608137,Agata Shrine,縣神社 (大網白里市),id,Kuil Agata,tok,Kuil,agata,Akata,tomo sewi Akata,False,
Q11608138,Agata Shrine (Gero City),縣神社,id,Kuil Agata (Gero),tok,Kuil,agata,Akata,tomo sewi Akata,False,
Q11608141,Agata Shrine (Gifu),縣神社 (岐阜市),id,Kuil Agata (Gifu),tok,Kuil,agata,Akata,tomo sewi Akata,False,
Q112669207,Agatai Shrine,縣居神社,id,Kuil Agatai,tok,Kuil,agatai,Akata,tomo sewi Akata,False,
Q135500733,Agatanushi Shrine (Ibara),縣主神社 (井原市),id,Kuil Agatanushi (Ibara),tok,Kuil,agatanushi,Akatanusi,tomo sewi Akatanusi,False,
Q11608132,Agatanushi Shrine (Minokamo),縣主神社 (美濃加茂市),id,Kuil Agatanushi (Minokamo),tok,Kuil,agatanushi,Akatanusi,tomo sewi Akatanusi,False,
Q134957306,Agehari Shrine,挙張神社,id,Kuil Agehari,tok,Kuil,agehari,Akepali,tomo sewi Akepali,False,
Q117304643,Agetsuchiasahi Inari Shrine,上土朝日稲荷神社,id,Kuil Agetsuchiasahi Inari,tok,Kuil,agetsuchiasahiinari,Aketusijasapinali,tomo sewi Aketusijasapinali,False,
Q135000793,Ageōntake Shrine,上尾御嶽神社,id,Kuil Ageōntake,tok,Kuil,ageōntake,Akejontake,tomo sewi Akejontake,False,
Q134956716,Ago Shrine,安居神社,id,Kuil Ago,tok,Kuil,ago,Ako,tomo sewi Ako,False,
Q11655187,Aguchi Shrine,開口神社,id,Kuil Aguchi,tok,Kuil,aguchi,Akusi,tomo sewi Akusi,False,
Q85884332,Aguma Shrine,阿具麻神社,id,Kuil Aguma,tok,Kuil,aguma,Akuma,tomo sewi Akuma,False,
Q712617,Akama Jingū,赤間神宮,id,Kuil Agung Akama,tok,Kuil Agung,akama,Akama,tomo sewi suli Akama,False,
Q482065,Atsuta Jingū,熱田神宮,id,Kuil Agung Atsuta,tok,Kuil Agung,atsuta,Atuta,tomo sewi suli Atuta,True,tomo sewi suli Atuta
Q488935,Chōsen Jingū,朝鮮神宮,id,Kuil Agung Chosen,tok,Kuil Agung,chosen,Tejosen,tomo sewi suli Tejosen,True,tomo sewi suli Tejosen
Q653180,Fujisan Hongū Sengen Taisha,富士山本宮浅間大社,id,Kuil Agung Fujisan Hongu Sengen,tok,Kuil Agung,fujisanhongusengen,Pusisanponkusenken,tomo sewi suli Pusisanponkusenken,True,tomo sewi suli Pusisanponkusenken
Q714828,Fushimi Inari-taisha,伏見稲荷大社,id,Kuil Agung Fushimi Inari,tok,Kuil Agung,fushimiinari,Pusiminali,tomo sewi suli Pusiminali,True,tomo sewi suli Pusiminali
Q11246131,Fuyo Jingū,扶余神宮,id,Kuil Agung Fuyo,tok,Kuil Agung,fuyo,Pujo,tomo sewi suli Pujo,True,tomo sewi suli Pujo
Q385141,Heian Jingū,平安神宮,id,Kuil Agung Heian,tok,Kuil Agung,heian,Kejan,tomo sewi suli Kejan,True,tomo sewi suli Kejan
Q11616915,Hikosan Jingū,英彦山神宮,id,Kuil Agung Hikosan,tok,Kuil Agung,hikosan,Kikosan,tomo sewi suli Kikosan,True,tomo sewi suli Kikosan
Q888184,Hinokuma Jingū,日前神宮・國懸神宮,id,Kuil Agung Hinokuma,tok,Kuil Agung,hinokuma,Kinokuma,tomo sewi suli Kinokuma,True,tomo sewi suli Kinokuma
Q656451,Hiyoshi Taisha,日吉大社,id,Kuil Agung Hiyoshi,tok,Kuil Agung,hiyoshi,Kijosi,tomo sewi suli Kijosi,True,tomo sewi suli Kijosi
Q710826,Hokkaidō Jingū,北海道神宮,id,Kuil Agung Hokkaido,tok,Kuil Agung,hokkaido,Kokato,tomo sewi suli Kokato,True,tomo sewi suli Kokato
Q11392795,Hyōzu Taisha,兵主大社,id,Kuil Agung Hyōzu,tok,Kuil Agung,hyōzu,Kijosu,tomo sewi suli Kijosu,True,tomo sewi suli Kijosu
Q246479,Ikoma Shrine,往馬坐伊古麻都比古神社,id,Kuil Agung Ikoma,tok,Kuil Agung,ikoma,Ikoma,tomo sewi suli Ikoma,False,
Q11502342,Imahie Jingū,新日吉神宮,id,Kuil Agung Imahie,tok,Kuil Agung,imahie,Imapije,tomo sewi suli Imapije,False,
Q687168,Ise Jingū,伊勢神宮,id,Kuil Agung Ise,tok,Kuil Agung,ise,Ise,tomo sewi suli Ise,True,tomo sewi suli Ise
Q708859,Isonokami Jingū,石上神宮,id,Kuil Agung Isonokami,tok,Kuil Agung,isonokami,Isonokami,tomo sewi suli Isonokami,False,
Q10884977,Izanagi Jingū,伊弉諾神宮,id,Kuil Agung Izanagi,tok,Kuil Agung,izanagi,Isanaki,tomo sewi suli Isanaki,False,
Q696362,Izumo Taisha,出雲大社,id,Kuil Agung Izumo,tok,Kuil Agung,izumo,Isumo,tomo sewi suli Isumo,False,
Q10896675,Izumo-daijingū,出雲大神宮,id,Kuil Agung Izumo,tok,Kuil Agung,izumo,Isumo,tomo sewi suli Isumo,False,
Q704695,Kagoshima Jingū,鹿児島神宮,id,Kuil Agung Kagoshima,tok,Kuil Agung,kagoshima,Kakosima,tomo sewi suli Kakosima,False,
Q10893844,Kantō Jingū,関東神宮,id,Kuil Agung Kanto,tok,Kuil Agung,kanto,Kanto,tomo sewi suli Kanto,False,
Q710333,Kashihara Jingū,橿原神宮,id,Kuil Agung Kashihara,tok,Kuil Agung,kashihara,Kasipala,tomo sewi suli Kasipala,False,
Q706499,Kashima Jingū,鹿島神宮,id,Kuil Agung Kashima,tok,Kuil Agung,kashima,Kasima,tomo sewi suli Kasima,False,
Q714559,Kasuga-taisha,春日大社,id,Kuil Agung Kasuga,tok,Kuil Agung,kasuga,Kasuka,tomo sewi suli Kasuka,True,tomo sewi suli Kasuka
Q372380,Katori Jingū,香取神宮,id,Kuil Agung Katori,tok,Kuil Agung,katori,Katoli,tomo sewi suli Katoli,False,
Q11129346,Kehi Jingū,氣比神宮,id,Kuil Agung Kehi,tok,Kuil Agung,kehi,Kepi,tomo sewi suli Kepi,False,
Q704622,Kirishima Jingū,霧島神宮,id,Kuil Agung Kirishima,tok,Kuil Agung,kirishima,Kilisima,tomo sewi suli Kilisima,False,
Q715647,Kōra Taisha,高良大社,id,Kuil Agung Kora,tok,Kuil Agung,kora,Kola,tomo sewi suli Kola,False,
Q11581011,Kōtai Jingū,皇大神宮,id,Kuil Agung Kotai,tok,Kuil Agung,kotai,Kota,tomo sewi suli Kota,True,tomo sewi suli Naku
Q11568887,Kumano Taisha,熊野大社,id,Kuil Agung Kumano,tok,Kuil Agung,kumano,Kumano,tomo sewi suli Kumano,False,
Q335618,Kumano Hayatama Taisha,熊野速玉大社,id,Kuil Agung Kumano Hayatama,tok,Kuil Agung,kumanohayatama,Kumanopajatama,tomo sewi suli Kumanopajatama,False,
Q705035,Kumano Hongū Taisha,熊野本宮大社,id,Kuil Agung Kumano Hongu,tok,Kuil Agung,kumanohongu,Kumanoponku,tomo sewi suli Kumanoponku,False,
Q710359,Kumano Nachi Taisha,熊野那智大社,id,Kuil Agung Kumano Nachi,tok,Kuil Agung,kumanonachi,Kumanonasi,tomo sewi suli Kumanonasi,False,
Q710302,Matsunoo Taisha,松尾大社,id,Kuil Agung Matsunoo,tok,Kuil Agung,matsunoo,Matuno,tomo sewi suli Matuno,False,
Q287165,Meiji Jingū,明治神宮,id,Kuil Agung Meiji,tok,Kuil Agung,meiji,Mesi,tomo sewi suli Mesi,False,
Q705121,Minase Jingū,水無瀬神宮,id,Kuil Agung Minase,tok,Kuil Agung,minase,Minase,tomo sewi suli Minase,False,
Q650772,Mishima Taisha,三嶋大社,id,Kuil Agung Mishima,tok,Kuil Agung,mishima,Misima,tomo sewi suli Misima,False,
Q704686,Miyazaki Jingū,宮﨑神宮,id,Kuil Agung Miyazaki,tok,Kuil Agung,miyazaki,Mijasaki,tomo sewi suli Mijasaki,False,
Q704962,Munakata Taisha,宗像大社,id,Kuil Agung Munakata,tok,Kuil Agung,munakata,Munakata,tomo sewi suli Munakata,False,
