shrine,shrineLabel,website
http://www.wikidata.org/entity/Q135187107,Asai Shrine,https://www.aichi-jinjacho.or.jp/search_detail.html?id=bb10f2cc-3e65-4e3f-aad0-e4259400d028
http://www.wikidata.org/entity/Q11517375,Asamiya Shrine,https://aichi-jinjacho.or.jp/search_detail.html?id=99d5ba77-83a7-4ea4-9b52-83d2d07bb8aa
http://www.wikidata.org/entity/Q135040524,Ashii Shrine,http://www.hyogo-jinjacho.com/data/6308105.html
http://www.wikidata.org/entity/Q134392373,Asora Hachimangū,https://www.gifu-jinjacho.jp/syosai.php?shrno=1254
http://www.wikidata.org/entity/Q135187137,Ayabusuma Shrine,https://www.gifu-jinjacho.jp/syosai.php?shrno=163&shrname=%E2%98%85%E7%B6%BE%E8%A1%BE%E7%A5%9E%E7%A4%BE%E2%98%85
http://www.wikidata.org/entity/Q11657390,Azaka Shrine,http://kyoka.mie-jinjacho.or.jp/shrine/%E9%98%BF%E5%B0%84%E5%8A%A0%EF%BC%88%E9%98%BF%E5%9D%82%EF%BC%89%E7%A5%9E%E7%A4%BE/
http://www.wikidata.org/entity/Q135186477,Azaka Shrine,http://kyoka.mie-jinjacho.or.jp/shrine/%E9%98%BF%E5%B0%84%E5%8A%A0%E7%A5%9E%E7%A4%BE%EF%BC%88%E5%A4%A7%E9%98%BF%E5%9D%82%EF%BC%89/
http://www.wikidata.org/entity/Q134595030,Chiba Prefectural Shrine Association,http://www.jinjacho.or.jp/
http://www.wikidata.org/entity/Q97172890,Fukasawa Shrine,http://www.tokyo-jinjacho.or.jp/setagaya/5212/
http://www.wikidata.org/entity/Q22119988,Hachiman Shrine,https://miyagi-jinjacho.or.jp/jinja-search/detail.php?code=310020365
http://www.wikidata.org/entity/Q135187123,Hachiman Shrine,https://www.aichi-jinjacho.or.jp/search_detail.html?id=ef671948-18f7-4f72-a17e-0cecfe178fbf
http://www.wikidata.org/entity/Q137485181,Hachiman Shrine,https://www.gifu-jinjacho.jp/syosai.php?shrno=2220
http://www.wikidata.org/entity/Q135069027,Hakanishi Shrine,http://www.jinja-net.jp/jinjacho-nara/jsearch3nara.php?jinjya=5808
http://www.wikidata.org/entity/Q135187226,Hakusan Shrine,https://aichi-jinjacho.or.jp/search_detail.html?id=48277132-20fb-4f42-9c1c-9416e49d06db
http://www.wikidata.org/entity/Q135187186,Hassho Shrine,https://www.aichi-jinjacho.or.jp/search_detail.html?id=76d49a73-d760-4ec8-bc52-f14274370338
http://www.wikidata.org/entity/Q135069122,Higashiotani Himemikoto Shrine,https://jinja-net.jp/jinjacho-nara/jsearch3nara.php?jinjya=33875
http://www.wikidata.org/entity/Q135069120,Higashiotanihimemikoto Shrine,https://jinja-net.jp/jinjacho-nara/jsearch3nara.php?jinjya=34055
http://www.wikidata.org/entity/Q135039352,Hisatsuchino Shrine,https://jinja-net.jp/jinjacho-mie/jsearch3mie.php?jinjya=63753
http://www.wikidata.org/entity/Q135069253,Hiyoshi Shrine,https://www.aichi-jinjacho.or.jp/search_detail.html?id=5774f478-7651-4a58-8953-b95df7f4c403
http://www.wikidata.org/entity/Q135069253,Hiyoshi Shrine,https://www.aichi-jinjacho.or.jp/search_detail.html?id=a67502c8-1c06-4260-9623-96fd4b8dccda
http://www.wikidata.org/entity/Q135040685,Hyōzu Shrine,http://www.hyogo-jinjacho.com/data/6322009.html
http://www.wikidata.org/entity/Q135270268,Hyōzu Shrine,http://www.hyogo-jinjacho.com/data/6322009.html
http://www.wikidata.org/entity/Q135155035,Ibaraki Prefectural Shrine Association,http://www.ibaraki-jinjacho.jp
http://www.wikidata.org/entity/Q135039423,Ide Shrine,https://jinja-net.jp/jinjacho-mie/jsearch3mie.php?jinjya=2870
http://www.wikidata.org/entity/Q135187179,Ide Shrine,https://www.aichi-jinjacho.or.jp/search_detail.html?id=5d89916e-5ec4-46ad-b4b4-74dcd9d1cb65
