shrine,shrineLabel,website
http://www.wikidata.org/entity/Q11429413,墨俣神社,https://www.gifu-jinjacho.jp/syosai.php?shrno=2
http://www.wikidata.org/entity/Q11642697,還来神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=5
http://www.wikidata.org/entity/Q126722303,伊豆神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=11
http://www.wikidata.org/entity/Q11462117,小椋神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=17
http://www.wikidata.org/entity/Q11642755,那波加神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=21
http://www.wikidata.org/entity/Q656451,日吉大社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=23
http://www.wikidata.org/entity/Q385407,近江神宮,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=51
http://www.wikidata.org/entity/Q11625756,蝉丸神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=56
http://www.wikidata.org/entity/Q65247874,三尾神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=58
http://www.wikidata.org/entity/Q65291510,長等神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=60
http://www.wikidata.org/entity/Q134592680,蛭子神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=63
http://www.wikidata.org/entity/Q3082076,天孫神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=64
http://www.wikidata.org/entity/Q135580174,彦田稲荷神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=65
http://www.wikidata.org/entity/Q85882705,石坐神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=67
http://www.wikidata.org/entity/Q135579977,平野神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=68
http://www.wikidata.org/entity/Q66673849,膳所神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=70
http://www.wikidata.org/entity/Q11603782,篠津神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=71
http://www.wikidata.org/entity/Q11496660,戸隠神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=82
http://www.wikidata.org/entity/Q11382603,佐久奈度神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=88
http://www.wikidata.org/entity/Q403338,建部大社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=112
http://www.wikidata.org/entity/Q11464225,小野神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=117
http://www.wikidata.org/entity/Q97202442,天皇神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=118
http://www.wikidata.org/entity/Q131925932,千代神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=132
http://www.wikidata.org/entity/Q97161713,彦根神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=134
http://www.wikidata.org/entity/Q11564971,滋賀県護国神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=135
http://www.wikidata.org/entity/Q11618829,荒神山神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=185
http://www.wikidata.org/entity/Q11633365,豊国神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=190
http://www.wikidata.org/entity/Q11653283,長濱八幡宮,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=195
http://www.wikidata.org/entity/Q11358693,上坂神社,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=254
