"item","itemLabel","officialWebsite","shrineDetailTemplate","templateNotes","templateConfidence"
"http://www.wikidata.org/entity/Q135249824","Aichi Prefectural Shrine Association","http://aichi-jinjacho.or.jp/","https://www.aichi-jinjacho.or.jp/search_detail.html?id={uuid}","shrine search system appears restricted (login); site shows shrine map/search entry but no per-shrine detail URL found; UUID id parameter","confirmed"
"http://www.wikidata.org/entity/Q135249386","Akita Prefectural Shrine Association","http://akita-jinjacho.sakura.ne.jp/","https://akita-jinjacho.sakura.ne.jp/shrine_search/{slug}/","name-based slug (URL-encoded)","confirmed"
"http://www.wikidata.org/entity/Q135249383","Aomori Prefectural Shrine Association","http://www.aomori-jinjacho.or.jp/","https://www.aomori-jinjacho.or.jp/jinja/{area}/sub_{code}.html","list pages like /jinja/sub_1*.html; no per-shrine detail URL found; list pages like sub_1.html; no per-shrine detail URL found; area segment (e.g., Tosei) + code like 1a_047","confirmed"
"http://www.wikidata.org/entity/Q134595030","Chiba Prefectural Shrine Association","http://www.jinjacho.or.jp/","","shrine search system appears restricted (login)","no-template-found"
"http://www.wikidata.org/entity/Q135249421","Ehime Prefectural Shrine Association","http://ehime-jinjacho.jp/","https://ehime-jinjacho.jp/jinja/?p={id}","WordPress post id; no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249399","Fukui Prefectural Shrine Association","http://www.jinja-fukui.jp/","https://www.jinja-fukui.jp/detail/index.php?ID={id}","ID like YYYYMMDD_HHMMSS (from detail pages); ID like YYYYMMDD_HHMMSS (from detail pages)","confirmed"
"http://www.wikidata.org/entity/Q135249886","Fukuoka Prefectural Shrine Association","https://fukuoka-jinjacho.or.jp/","","site provides area lists only; no per-shrine detail URL found; area list pages only; no per-shrine detail URL found","no-template-found"
"http://www.wikidata.org/entity/Q135249388","Fukushima Prefectural Shrine Association","http://fukushima-jinjacho.or.jp/","","interactive search; per-shrine detail URL not exposed","no-template-found"
"http://www.wikidata.org/entity/Q135249403","Gifu Prefectural Shrine Association","http://www.gifu-jinjacho.jp/","https://www.gifu-jinjacho.jp/syosai.php?shrno={shrno}","numeric shrno; shrname param sometimes present; no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249764","Gunma Prefectural Shrine Association","http://www.gunma-jinjacho.jp/","","list page at /jinja/ without per-shrine detail URLs","no-template-found"
"http://www.wikidata.org/entity/Q135249866","Hiroshima Prefectural Shrine Association","http://www.hiroshima-jinjacho.jp/","https://www.hiroshima-jinjacho.jp/branch/{branch}/{slug}.html","branch slug + shrine slug (confirmed on official site); no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249444","Hokkaido Prefectural Shrine Association","http://www.hokkaidojinjacho.jp/top.html","https://hokkaidojinjacho.jp/{slug}/","slug is shrine name, URL-encoded (name-based); no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249839","Hyogo Prefectural Shrine Association","http://www.hyogo-jinjacho.com/","https://www.hyogo-jinjacho.com/data/{code}.html","numeric shrine code","confirmed"
"http://www.wikidata.org/entity/Q135155035","Ibaraki Prefectural Shrine Association","http://www.ibaraki-jinjacho.jp","https://www.ibarakiken-jinjacho.or.jp/ibaraki/{region}/jinja/{id}.html","template observed on ibarakiken-jinjacho.or.jp (current site); region segment varies; no shrine DB; only link list and general content found","confirmed"
"http://www.wikidata.org/entity/Q135249398","Ishikawa Prefectural Shrine Association","http://www.ishikawa-jinjacho.or.jp/","https://www.ishikawa-jinjacho.or.jp/shrine/{id}/","shrine search system appears restricted (login); id format like j0001 (fixed prefix + 4 digits)","confirmed"
"http://www.wikidata.org/entity/Q135249735","Iwate Prefectural Shrine Association","http://www.jinjacho.jp/","","no shrine DB; only link list and general content found","no-template-found"
"http://www.wikidata.org/entity/Q134988735","Kagawa Prefectural Shrine Association","http://www.kagawakenjinjacho.or.jp/","https://kagawakenjinjacho.or.jp/shrine/{slug}/","name-based slug; disambiguation suffix like -4 possible","confirmed"
"http://www.wikidata.org/entity/Q135250101","Kagoshima Prefectural Shrine Association","http://www.kagojinjacho.or.jp/","https://www.kagojinjacho.or.jp/shrine-search/area-{area}/{city}/{id}/","area slug + city slug + numeric id","confirmed"
