prefecture,note,status,length,verdict,title,keywords,url
Gifu,syosai.php?shrno=193,200,5705,OK_SHRINE_CONTENT,(no title),"神社,祭神,由緒,住所",https://www.gifu-jinjacho.jp/syosai.php?shrno=193
Gifu,syosai.php?shrno=2286,200,5701,OK_SHRINE_CONTENT,(no title),"神社,祭神,由緒,住所",https://www.gifu-jinjacho.jp/syosai.php?shrno=2286
Gifu,syosai.php?shrno=142,200,5167,OK_SHRINE_CONTENT,(no title),"神社,祭神,由緒,住所",https://www.gifu-jinjacho.jp/syosai.php?shrno=142
Gifu,syosai.php?shrno=798,200,5255,OK_SHRINE_CONTENT,(no title),"神社,祭神,由緒,住所",https://www.gifu-jinjacho.jp/syosai.php?shrno=798
Gifu,syosai.php?shrno=1254,200,5684,OK_SHRINE_CONTENT,(no title),"祭神,鎮座,由緒,住所",https://www.gifu-jinjacho.jp/syosai.php?shrno=1254
Hyogo,data/6301007,200,8896,OK_SHRINE_CONTENT,保久良神社｜兵庫県神社庁　神社検索,"神社,祭神,例祭,主祭神",https://www.hyogo-jinjacho.com/data/6301007.html
Hyogo,data/6308105,200,8373,OK_SHRINE_CONTENT,芦井神社｜兵庫県神社庁　神社検索,"神社,祭神,例祭,主祭神",https://www.hyogo-jinjacho.com/data/6308105.html
Hyogo,data/6322009,200,8150,OK_SHRINE_CONTENT,武内兵主神社｜兵庫県神社庁　神社検索,"神社,祭神,例祭,主祭神",https://www.hyogo-jinjacho.com/data/6322009.html
Hyogo,data/6308071,200,8422,OK_SHRINE_CONTENT,イソ部神社(イソは山篇に石)｜兵庫県神社庁　神社検索,"神社,祭神,例祭,主祭神",https://www.hyogo-jinjacho.com/data/6308071.html
Shizuoka,id=4413061,200,6259,OK_SHRINE_CONTENT,湊神社 - 静岡県神社庁,"神社,祭神,鎮座,由緒",http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id=4413061
Shizuoka,id=4409164,200,5529,OK_SHRINE_CONTENT,若宮正八幡社 - 静岡県神社庁,"神社,鎮座",http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id=4409164
Shizuoka,id=4402102,200,5554,OK_SHRINE_CONTENT,奈胡谷神社 - 静岡県神社庁,"神社,鎮座",http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id=4402102
Shizuoka,id=4402140,200,5520,OK_SHRINE_CONTENT,神明神社 - 静岡県神社庁,"神社,鎮座",http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id=4402140
Shizuoka,id=4415065,200,5959,OK_SHRINE_CONTENT,神明宮 - 静岡県神社庁,"神社,祭神,鎮座,由緒",http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id=4415065
Shizuoka,id=4413004,200,5920,OK_SHRINE_CONTENT,六所神社 - 静岡県神社庁,"神社,祭神,鎮座,由緒",http://www.shizuoka-jinjacho.or.jp/shokai/jinja.php?id=4413004
Aichi,uuid=bb10f2cc,200,7159,OK_SHRINE_CONTENT,氏神様をさがそう | 愛知県神社庁,"神社,祭神,鎮座,住所",https://www.aichi-jinjacho.or.jp/search_detail.html?id=bb10f2cc-3e65-4e3f-aad0-e4259400d028
Aichi,uuid=de0a002d,200,7159,OK_SHRINE_CONTENT,氏神様をさがそう | 愛知県神社庁,"神社,祭神,鎮座,住所",https://www.aichi-jinjacho.or.jp/search_detail.html?id=de0a002d-afb7-445a-9056-0b307ed4d4a9
Aichi,uuid=c3f9cf79,200,7159,OK_SHRINE_CONTENT,氏神様をさがそう | 愛知県神社庁,"神社,祭神,鎮座,住所",https://www.aichi-jinjacho.or.jp/search_detail.html?id=c3f9cf79-b0b0-4b51-ba37-2dcd86867ca7
Aichi,uuid=90cc869d,200,7159,OK_SHRINE_CONTENT,氏神様をさがそう | 愛知県神社庁,"神社,祭神,鎮座,住所",https://www.aichi-jinjacho.or.jp/search_detail.html?id=90cc869d-739e-4208-b108-91f4c98ba3de
Ishikawa,j1706,403,0,HTTP_403,,,https://www.ishikawa-jinjacho.or.jp/shrine/j1706/
Ishikawa,j1590,403,0,HTTP_403,,,https://www.ishikawa-jinjacho.or.jp/shrine/j1590/
