page_title,qid
Abito Shrine,Q135195036
Abo Shrine,Q85884328
Abo Shrine (Moto‑Abo),Q135193375
Aburahi Shrine,Q11554359
Abushina Shrine,Q11657364
Achi Shrine (Q11657447),Q11657447
Achieno Shrine,Q135099002
Achie‑nobe Shrine,Q135195253
Achihaseno Shrine,Q135040230
Achiheisoheno Shrine,Q135040568
Achiko Shrine,Q135039659
Achiko Shrine (Q135270277),Q135270277
Achikouisobu Shrine,Q135070027
Achino Shrine,Q135039913
Achino Shrine okumiya,Q135194069
Achisukino Shrine,Q135040969
Adachi Shrine,Q115739544
Adachi Shrine (Kamikisaki),Q135193313
Adatara Shrine,Q11451521
Adatara Shrine (Q135194444),Q135194444
Afuchi Shrine,Q65260948
Afukako Shrine,Q135186246
Afukakotano- Shrine,Q135039287
Afukamuyamano Shrine,Q135039277
Afukamuyamano Shrine former site,Q135186196
Afukano- Shrine,Q135039281
Afuku Kahaku Shrine,Q11451153
Agata Shrine (Gifu),Q11608141
Aguasa Shrine,Q85884332
Ahachino Shrine (Q135229657),Q135229657
Ahano Shrine (Q135039173),Q135039173
Ahano Shrine (Q135039244),Q135039244
Ahanono Shrine,Q135039930
Ahasano Shrine,Q135039939
Ahashimano-isahano Shrine,Q135039455
Ahichino Shrine,Q135040534
Ahimino Shrine,Q135040300
Ahitano Shrine,Q135040419
Aijikaue Shrine (Legendary Site C),Q135186396
Ajiga Shrine,Q135186738
Ajiga Shrine (Q135186739),Q135186739
Ajika Shrine,Q11657713
Ajiko Shrine,Q110858812
Ajimano Shrine,Q135194649
Ajimino Shrine,Q135041427
Akaba Shrine,Q20042898
Akafuchino Shrine,Q135040608
Akagi Shrine,Q135039965
Akahikono Shrine,Q135039578
Akahono Shrine,Q135039839
Akakino Shrine former site,Q135194281
Akakunino Shrine,Q135040544
Akamino Shrine,Q135039844
Akanabe Shrine,Q11617261
Akanta Shrine,Q48758374
Akao Shibutaru Gunbe Shrine,Q135192665
Akaou Shrine,Q135069462
Akatano Shrine,Q135041010
Akatanushino Shrine,Q135098951
Akiba Shrine (Q135186229),Q135186229
Akishika Shrine,Q135070119
Akitomi Shrine,Q85884553
Akono Shrine,Q135041060
Akotanino Shrine,Q135040700
Akuhino Shrine,Q135039560
Akunami Shrine,Q28682730
Ama no iwa to wake no kami Shrine,Q135027312
Ama-no-Iwato-wake no Kami Shrine,Q135019513
Ama-no-iwato-wake-toyotamahimeno Shrine,Q135041351
Ama-no-iwato-wake-toyotamahimeno Shrine (Q135270444),Q135270444
Amahakarino Shrine,Q135041209
Amahibiki-no-Mikoto Shrine,Q135039865
Amahinatorino- Shrine,Q135040747
Amakohino Shrine,Q135041158
Amamurakumo Shrine,Q135198111
Amamurakumono Shrine,Q135041330
Amano Hachiman Shrine,Q135197900
Amano Shrine,Q135041512
Amano Shrine (Q135040693),Q135040693
Amano Shrine (Q135041281),Q135041281
Amano Shrine (Q135270269),Q135270269
Amanohashidate Shrine,Q107410068
Amanohinatorino Shrine,Q135040967
Amanohitokuhatano Shrine Site,Q135186661
Amanohohino- Shrine,Q135041106
Amanoihatowakenoyasukunitama- Shrine,Q135041454
Amanokagoyamano Shrine,Q135039290
Amanokaguyama Shrine,Q135069203
Amanokaguyama Shrine (Q98082987),Q98082987
Amanokawa no Mikoto Shrine,Q135193728
Amanotakutsutamano- Shrine,Q135041530
Amano‑Kaguyama Shrine,Q135186297
Amasashihikonomikoto Shrine,Q127783765
Amasashinowake Shrine,Q11442221
Amashirohikono Shrine,Q135040973
Amashirohimeno Shrine,Q135040974
Amatakekanakusano Shrine,Q135041144
Amatamitsu- Shrine,Q135039285
Amatarashi Shrine,Q11659781
Amateruno Shrine,Q135041549
Amaterutamano- Shrine,Q135040531
Amatsu Shrine,Q135197898
Amatsu Shrine (Q135195030),Q135195030
Amatsu Shrine (Q172253),Q172253
Amatsukahano- Shrine,Q135039870
Amatsukasahiko Shrine,Q107410066
Amatsukasahiko Shrine (Q107410067),Q107410067
Amatsukasahikono Shrine,Q135041313
Amatsuno Shrine,Q135041133
Amatsunumahikono Shrine,Q135041333
Amatsunumahikono Shrine (Q135270441),Q135270441
Amawake Toyohime Shrine,Q11442354
Amayo Shrine,Q135069908
Amayo Shrine (Yasaka Shrine Keidai-sha),Q135194538
Amayono Shrine,Q135040144
Amayono Shrine former site,Q135194539
Ame-no-Yahorotsu-hime Shrine (subsidiary of Oshio Hachimangū),Q135194521
"Amehikagehime Shrine (Nishibaba, Nakanoto Town)",Q135194884
"Amehikage‑Hime Shrine (Ninomiya, Nakanoto Town)",Q135194883
Amehikake- Shrine,Q135040317
Amehikake- Shrine (Q135289776),Q135289776
Amehimewakamikono Shrine,Q135098991
Ameihatowakeno Shrine,Q135041190
Amekunihimeno Shrine,Q135040141
Amekunitsuhikono Shrine,Q135040140
Amemahitotsunono Shrine,Q135041171
Ameno-tanakahimeno Shrine,Q135041507
Amenohayatamahimeno- Shrine,Q135039761
Amenohitokuhatano Shrine,Q135039363
Amenoihatowakenotono Shrine,Q135039864
Amenokunitsuhiko Shrine (small subsidiary within Oshio Hachimangū precinct),Q135194523
