title,current_qid,pairs,best_qid,match_type,wd_label,wd_description,overlap_p11250,note
Amenokumahito no Mikoto,,ja:天熊人命;en:Amenokumahito no Mikoto,,no-hit,,,,
Catechism of Tenrikyo,,en:Catechism of Tenrikyo,,no-hit,,,,
Corridor-type kofun,,en:Corridor-type kofun,,no-hit,,,,
Engishiki Ranks,,en:Engishiki Ranks,,no-hit,,,,
Enuma no Kuni no Miyatsuko,,ja:江沼国造,,no-hit,,,,
Fire-Pacification Festival,,ja:鎮火祭;en:Fire-Pacification Festival,,no-hit,,,,
Gary Luscombe,,en:Gary Luscombe,,no-hit,,,,
Hyakushu (Honda Chikaatsu),,en:Hyakushu (Honda Chikaatsu),,no-hit,,,,
Ibaraki no Kuni no Miyatsuko,,ja:茨城国造,,throttled,,,,
Iku no Kuni no Miyatsuko,,ja:伊久国造,Q85876227,exact-label,伊久国造,,,
Inaba no Kuni no Miyatsuko,,ja:稲葉国造,Q85882968,exact-label,稲葉国造,,,
Isachi-no-Sukune,,ja:海上五十狭茅,Q11558664,exact-label,海上五十狭茅,稚桜宮朝征韓供奉、為活田大神神主,,
Iwaki no Kuni no Miyatsuko,,ja:石城国造,Q11585422,exact-label,石城国造,,shinto:Ishikami no Kuni no Miyatsuko,MERGE: QID already used by another page
Iwase no Kuni no Miyatsuko,,ja:石背国造,Q11587159,exact-label,石背国造,,,
Izanagi Jingu,,en:Izanagi Jingu;en:Izanagi Jingu,Q10884977,search-hit,Izanagi Jingū,"Shinto shrine located in Awaji, Hyōgo Prefecture, Japan",shinto:Izanagi Jingū,MERGE: QID already used by another page
Japan,,en:Japan,Q17,exact-label,Japan,island country in East Asia,,
Kai clan,,ja:甲斐氏,Q11577901,exact-label,甲斐氏,日本の氏族,,
Kanesune-no-Mikoto,,ja:襲髄命,Q109361305,exact-label,襲髄命,古墳時代の豪族・出雲国造の一人,,
Kashiwade-no-Areshi,,ja:膳余磯,Q57887871,exact-label,膳余磯,古墳時代の豪族,,
Kehi Jingū,,en:Kehi Jingū;en:Kehi Jingu;en:Kehi Jingū,Q11129346,exact-label,Kehi Jingū,"Shinto shrine in Fukui Prefecture, Japan",shinto:Kehi Shrine,MERGE: QID already used by another page
Kofun interior gallery,,en:Kofun interior gallery,,no-hit,,,,
Kōtai Shrine (disambiguation),,en:Kōtai Shrine (disambiguation),,no-hit,,,,
List of Gongen,,en:List of Gongen,,no-hit,,,,
List of Kuni no Miyatsuko,,ja:国造;ja:国造一覧,Q2483673,exact-label,国造,古代日本の行政機構において地方を治める官職の一種,shinto:Kuni no miyatsuko,MERGE: QID already used by another page
List of Shikinaisha in Awa Province,,en:List of Shikinaisha in Awa Province,,throttled,,,,
List of early Tenrikyo disciples,,en:List of early Tenrikyo disciples,,no-hit,,,,
Michi no Hikari and the Bible,,en:Michi no Hikari and the Bible,,no-hit,,,,
Michi no Taigen,,en:Michi no Taigen,,no-hit,,,,
Migukurumitama Shrine,,,Q11608777,exact-label,Migukurumitama Shrine,"Shinto shrine in Osaka Prefecture, Japan",,
Mike Shrine (Ise),,,Q17211721,search-hit,Mike Shrine,"Shinto shrine in Mie Prefecture, Japan",,
Minase Jingu,,en:Minase Jingu;en:Minase Jingu,Q705121,search-hit,Minase Jingū,"Shinto shrine in Osaka Prefecture, Japan",,
Missionary Office,,,Q11452939,search-hit,Missionary Messenger,Former Japanese government organization,,
Miwa Shrine (Kiryu),,,Q11608848,search-hit,Miwa Shrine,,,
Mukuda no Kuni no Miyatsuko,,ja:馬来田国造,Q11667981,exact-label,馬来田国造,,shinto:Makuta Kuni no Miyatsuko,MERGE: QID already used by another page
Nectarean Shower of Holy Doctrines,,en:Nectarean Shower of Holy Doctrines,Q11574306,exact-label,Nectarean Shower of Holy Doctrines,main sutra of the Seicho-no-Ie religion,,
Okimono omikuji,,en:Okimono omikuji,,no-hit,,,,
Osashi,,ja:男狭磯,Q119380325,exact-label,男狭磯,,,
Reigakushō,,en:Reigakushō,,no-hit,,,,
Roy Tetsuo Forbes,,en:Roy Tetsuo Forbes,,no-hit,,,,
Seicho-No-Ie Holy Sutras,,en:Seicho-No-Ie Holy Sutras,,no-hit,,,,
Shinsokan prayer,,en:Shinsokan prayer,,no-hit,,,,
Shintō Montai,,en:Shintō Montai,,no-hit,,,,
Shiramine Jingū,,en:Shiramine Jingū;en:Shiramine Jingū,Q705635,exact-label,Shiramine Jingū,"Shinto shrine in Kyoto Prefecture, Japan",,
Tenkei Mikyōsho,,en:Tenkei Okyōsho,,no-hit,,,,
Tenrikyo Resource Wiki,,en:Tenrikyo Resource Wiki,,no-hit,,,,
Tenso Shrine,,de:Tenso Schrein;en:Tenso Shrine,,throttled,,,,
Why am I me?,Q18455813,en:Why am I me;ja:なぜ私は私なのか;ko:아찔한 질문;zh:為什麼我是我,Q18455813,search-hit,"Why am I me, rather than someone else?",philosophical question,,
Ōku no Kuni no Miyatsuko,,ja:大伯国造,,no-hit,,,,
乎止与命,,ja:乎止与命,Q97706258,exact-label,乎止与命,,shinto:Otoyo no mikoto,MERGE: QID already used by another page
千葉国造,,ja:千葉国造,Q11405960,exact-label,千葉国造,,,
吉備品治国造,,ja:吉備品治国造,,no-hit,,,,
小市国造,,ja:小市国造,Q21652684,exact-label,小市国造,,,
山背久我国造,,ja:山背久我国造,,no-hit,,,,
无邪志国造,,ja:无邪志国造,Q11504612,exact-label,无邪志国造,,shinto:Musashi no Kuni no Miyatsuko,MERGE: QID already used by another page
椎根津彦,,ja:椎根津彦,Q11120574,exact-label,椎根津彦,記紀に登場する国つ神,shinto:Saonetsuhiko,MERGE: QID already used by another page
道奥菊多国造,,ja:道奥菊多国造,Q11641674,exact-label,道奥菊多国造,,shinto:Michinoku Kikuta Kuni-no-Miyatsuko,MERGE: QID already used by another page
針間国造,,ja:針間国造,,no-hit,,,,
